N	3gram	Tiupa_Hudo	StatiiOP
1	в том что	8	47
2	для того чтобы	5	19
3	с точки зрения	3	14
4	с другой стороны	6	13
5	не может быть	4	11
6	в то же	7	9
7	в самом деле	2	9
8	то же время	7	9
9	тем не менее	3	8
10	к тому что	2	8
11	том что он	2	7
12	по отношению к	10	6
13	в этом смысле	3	6
14	и в самом	3	4
15	тем или иным	2	4
16	в связи с	3	4
17	с одной стороны	3	4
18	так или иначе	4	4
19	того или иного	4	4
20	бы то ни	2	3
21	в русской литературе	2	3
22	можно сказать что	3	3
23	в известном смысле	2	3
24	в том числе	3	3
25	а с другой	2	3
26	более или менее	6	3
27	состоит в том	5	3
28	в значительной степени	2	3
29	мы имеем в	3	2
30	может быть и	2	2
31	той или иной	5	2
32	и в то	2	2
33	в отличие от	7	2
34	по большей части	2	2
35	то ни было	2	2
36	но он не	2	2
37	том числе и	2	2
38	в свою очередь	2	2
39	в той или	2	2
