N	2gram	Propp_Morf	Vvedenie
1	и т	62	45
2	т е	25	40
3	т д	60	39
4	в том	10	38
5	в этом	18	35
6	и в	17	35
7	том что	7	30
8	может быть	61	30
9	не только	8	26
10	для того	3	23
11	того чтобы	4	22
12	таким образом	26	21
13	также и	6	20
14	не может	19	19
15	то что	10	19
16	потому что	7	18
17	со стороны	5	16
18	о том	6	16
19	только в	3	16
20	так как	20	15
21	представляет собой	17	14
22	и не	16	13
23	что в	10	13
24	того что	3	12
25	что такое	3	12
26	точки зрения	7	12
27	в данном	2	11
28	то же	10	11
29	как мы	8	11
30	ясно что	5	11
31	вопрос о	10	10
32	не в	3	10
33	прежде всего	14	10
34	но в	4	10
35	между тем	5	10
36	из этих	2	9
37	тем не	7	9
38	и как	6	9
39	все же	9	9
40	представляют собой	16	9
41	но не	8	9
42	не менее	7	9
43	это не	6	8
44	можно было	4	8
45	с другой	9	8
46	в качестве	8	8
47	самом деле	4	7
48	как и	4	7
49	как бы	6	7
50	этот вопрос	4	7
51	смысле слова	4	7
52	но и	9	7
53	было бы	5	7
54	сказать что	4	6
55	его в	4	6
56	не могут	7	6
57	как например	2	6
58	хотя бы	5	6
59	иное как	2	6
60	об этом	5	6
61	и даже	2	6
62	но если	10	6
63	тем что	4	6
64	в какой	3	6
65	на вопрос	2	6
66	так например	3	6
67	на этот	2	6
68	с тем	2	6
69	а в	8	6
70	уже не	4	6
71	в которых	2	6
72	могут быть	21	6
73	в то	4	6
74	один из	7	6
75	в руки	4	6
76	и что	3	6
77	и его	3	6
78	все это	2	6
79	этом случае	10	6
80	вовсе не	6	6
81	данном случае	2	5
82	независимо от	4	5
83	дело не	2	5
84	не что	2	5
85	есть и	4	5
86	и тем	3	5
87	д но	4	5
88	одним из	2	5
89	с этой	3	5
90	что он	5	5
91	что иное	2	5
92	по своему	2	5
93	наука о	2	5
94	как уже	3	5
95	как это	7	5
96	или вообще	2	5
97	в различных	2	5
98	а потому	2	5
99	другой стороны	5	5
100	в целом	5	5
101	всяком случае	2	5
102	что и	10	5
103	говорить о	4	5
104	а не	11	5
105	в первом	5	5
106	но с	2	5
107	хотя и	5	5
108	приходим к	3	5
109	во всяком	2	5
110	в результате	8	4
111	мы имеем	19	4
112	одной стороны	2	4
113	и ее	5	4
114	по отношению	7	4
115	только что	3	4
116	связана с	3	4
117	этом отношении	2	4
118	из двух	3	4
119	еще не	4	4
120	в интересах	2	4
121	и изучение	3	4
122	отношению к	7	4
123	в чем	2	4
124	с одной	2	4
125	к тому	5	4
126	одной из	2	4
127	но все	4	4
128	и для	4	4
129	не имеет	2	4
130	в виде	3	4
131	ответ на	2	4
132	в одном	2	4
133	из них	4	4
134	с точки	6	4
135	быть названо	4	4
136	можно сказать	2	4
137	так называемых	2	4
138	в каком	2	3
139	одна из	5	3
140	в очень	2	3
141	что это	3	3
142	а также	7	3
143	с этим	14	3
144	так же	4	3
145	в начале	3	3
146	в собственном	3	3
147	и наоборот	4	3
148	что она	2	3
149	к этому	4	3
150	в другом	2	3
151	от того	4	3
152	во второй	2	3
153	и здесь	7	3
154	или же	7	3
155	если бы	3	3
156	при помощи	12	3
157	в свое	2	3
158	в сущности	3	3
159	раньше чем	5	3
160	в этих	17	3
161	в частности	2	3
162	как в	5	3
163	не с	2	3
164	как такового	2	3
165	вообще не	2	3
166	к нему	3	3
167	входит в	4	3
168	и к	4	3
169	на этом	4	3
170	однако в	2	3
171	из которых	5	3
172	то это	5	3
173	в в	2	3
174	что же	2	3
175	совсем не	3	3
176	здесь не	3	3
177	вряд ли	2	3
178	наряду с	7	3
179	все эти	5	3
180	связи с	12	3
181	и тогда	3	3
182	и есть	3	3
183	как будто	2	3
184	в этой	3	3
185	собственном смысле	3	3
186	того как	2	3
187	чем в	2	3
188	собой в	2	2
189	это еще	2	2
190	в таких	3	2
191	ничего не	5	2
192	д а	2	2
193	первом случае	3	2
194	у нас	3	2
195	мы должны	3	2
196	во всех	6	2
197	но как	3	2
198	д все	2	2
199	или нет	2	2
200	бы в	2	2
201	не существует	3	2
202	в обоих	2	2
203	в форме	6	2
204	что именно	2	2
205	в связи	10	2
206	подобно тому	6	2
207	а с	2	2
208	и при	3	2
209	этого не	2	2
210	с изучением	2	2
211	и другие	6	2
212	так и	10	2
213	ни к	2	2
214	чаще всего	11	2
215	от других	2	2
216	наших дней	2	2
217	и др	12	2
218	на котором	4	2
219	увидим что	2	2
220	вопросу о	2	2
221	тому что	5	2
222	д в	2	2
223	это уже	3	2
224	на то	3	2
225	если это	3	2
226	состоит в	3	2
227	а если	4	2
228	в своих	2	2
229	ни одна	4	2
230	вопрос что	3	2
231	к отдельным	2	2
232	но это	6	2
233	до наших	2	2
234	в основу	2	2
235	что мы	2	2
236	мы можем	5	2
237	тому как	5	2
238	точно так	2	2
239	себя в	2	2
240	несмотря на	4	2
241	с теми	4	2
242	а затем	10	2
243	тогда как	2	2
244	мы не	8	2
245	в тех	8	2
246	что они	5	2
247	возникает вопрос	3	2
248	значение и	3	2
249	по их	5	2
250	должна быть	2	2
251	из таких	2	2
252	случае не	4	2
253	в научной	2	2
254	например в	2	2
255	если же	5	2
256	из его	2	2
257	по существу	13	2
258	во втором	7	2
259	учение о	5	2
260	мы уже	4	2
261	быть и	2	2
262	этих случаях	15	2
