N	2gram	Berdyaev_O	VLabPisa
1	в этом	12	29
2	не только	11	26
3	и в	19	26
4	может быть	11	23
5	хотя бы	3	20
6	и не	13	20
7	т е	4	18
8	не может	4	17
9	в том	5	15
10	в его	7	15
11	прежде всего	9	13
12	все это	6	13
13	что в	4	11
14	не могут	3	10
15	но и	13	10
16	о том	3	10
17	к этому	2	9
18	для него	5	9
19	в своем	2	8
20	том что	2	8
21	могут быть	3	8
22	все эти	4	8
23	было бы	3	8
24	это не	3	7
25	то что	5	7
26	как и	6	7
27	в нем	10	7
28	не было	9	7
29	а не	11	7
30	художественном творчестве	2	6
31	не в	11	6
32	в себе	3	6
33	все же	2	6
34	у него	22	6
35	так и	2	6
36	и его	4	6
37	никогда не	9	5
38	сказать что	2	5
39	как бы	3	5
40	и есть	3	5
41	и ее	3	4
42	ее в	2	4
43	что он	3	4
44	с тем	2	4
45	что все	2	4
46	что для	2	4
47	когда он	3	4
48	в единстве	2	4
49	в самом	5	4
50	в ее	2	4
51	в своей	2	4
52	в этой	5	4
53	с его	4	4
54	и от	3	3
55	и к	2	3
56	и он	8	3
57	его в	2	3
58	него в	5	3
59	для того	3	3
60	в дневнике	2	3
61	его не	2	3
62	того что	3	3
63	что у	2	3
64	а в	5	3
65	в творчестве	5	3
66	даже и	2	3
67	человека и	10	3
68	что не	4	3
69	того чтобы	4	3
70	что и	2	3
71	что они	2	3
72	момент в	2	3
73	и потому	2	2
74	ума и	2	2
75	должно быть	2	2
76	в другом	2	2
77	мысль о	2	2
78	и никогда	2	2
79	достоевского и	5	2
80	еще не	3	2
81	в которой	2	2
82	и для	2	2
83	ни с	7	2
84	но в	2	2
85	он в	2	2
86	в своих	3	2
87	можно ли	2	2
88	по себе	2	2
89	человека в	11	2
90	он сам	4	2
91	о его	5	2
92	он не	7	2
93	достоевский о	2	2
94	хотя и	2	2
95	лишь в	7	2
