N	2gram	Bakhtin_Pr	EvropaiC
1	таким образом	10	34
2	в том	8	31
3	и в	38	24
4	том что	3	20
5	все эти	5	19
6	не может	27	18
7	то что	8	18
8	может быть	26	17
9	все же	6	15
10	точки зрения	8	14
11	в этом	15	13
12	все это	3	13
13	в своем	5	12
14	самом деле	6	12
15	между тем	7	12
16	по отношению	21	11
17	но и	9	11
18	отношению к	19	11
19	культуры и	3	11
20	не только	9	10
21	так и	5	10
22	во всех	11	10
23	как и	7	10
24	все что	3	10
25	как бы	22	10
26	и не	42	9
27	не в	7	9
28	что в	7	9
29	и все	3	9
30	на то	2	9
31	при этом	5	9
32	и что	2	9
33	если бы	3	8
34	для того	2	8
35	в самом	7	8
36	того чтобы	2	8
37	с точки	6	8
38	ясно что	3	8
39	на самом	4	7
40	о которых	2	7
41	в психике	6	7
42	что он	2	7
43	того что	2	7
44	о котором	2	7
45	не менее	4	7
46	о том	4	7
47	что и	2	7
48	по существу	2	7
49	в мире	3	6
50	отличается от	2	6
51	только в	13	6
52	все они	5	6
53	еще не	7	6
54	и при	2	6
55	в то	4	6
56	должна быть	4	6
57	и для	11	6
58	с другой	7	6
59	и на	3	6
60	мы можем	6	6
61	несмотря на	3	6
62	начало и	3	6
63	с ним	5	6
64	и от	3	5
65	его в	9	5
66	в себе	4	5
67	должно быть	5	5
68	к этому	2	5
69	как к	2	5
70	лишь в	2	5
71	что это	2	5
72	что все	2	5
73	далеко не	5	5
74	но в	4	5
75	столь же	2	5
76	и с	17	5
77	и к	3	5
78	другой стороны	4	5
79	в целом	3	5
80	в его	43	5
81	никогда не	5	4
82	не могут	2	4
83	мы должны	2	4
84	что эта	2	4
85	хотя бы	4	4
86	то ни	3	4
87	тем не	3	4
88	которых мы	4	4
89	отношение к	10	4
90	и у	2	4
91	то же	5	4
92	в их	10	4
93	том же	2	4
94	в области	11	4
95	в виде	2	4
96	совершенно не	7	4
97	и проч	28	4
98	не есть	6	4
99	и конец	2	4
100	из которых	2	4
101	связи с	2	4
102	этой области	2	4
103	в таком	3	4
104	он не	3	4
105	в дальнейшем	3	4
106	хотя и	3	4
107	ибо в	2	4
108	данном случае	4	3
109	и вообще	2	3
110	тем самым	4	3
111	это не	5	3
112	и потому	4	3
113	от него	3	3
114	в начале	2	3
115	в тех	3	3
116	ни было	3	3
117	а лишь	2	3
118	в этих	2	3
119	конечно не	5	3
120	и других	2	3
121	в связи	2	3
122	и наконец	6	3
123	у нас	2	3
124	вследствие этого	3	3
125	прежде всего	13	3
126	отличие от	5	3
127	с одной	3	3
128	но не	12	3
129	и это	3	3
130	в данном	4	3
131	а в	6	3
132	бы то	3	3
133	на почве	3	3
134	не вполне	2	3
135	в нем	15	3
136	в ней	4	3
137	что оно	2	3
138	должны быть	4	3
139	было бы	8	3
140	в истории	2	3
141	во всем	2	3
142	в нашем	4	3
143	как мы	7	3
144	мы будем	3	3
145	чем в	2	3
146	одна из	2	2
147	все то	3	2
148	другими словами	2	2
149	помнить что	3	2
150	независимо от	13	2
151	но как	2	2
152	а к	2	2
153	и ее	2	2
154	есть только	2	2
155	высшей степени	5	2
156	то есть	46	2
157	в другом	2	2
158	на него	3	2
159	которые могут	2	2
160	должен быть	2	2
161	ценности и	2	2
162	на первый	2	2
163	в виду	4	2
164	не было	2	2
165	он должен	2	2
166	в частности	2	2
167	тем как	5	2
168	не знает	3	2
169	в высшей	5	2
170	от них	2	2
171	не имеет	9	2
172	также и	3	2
173	к нему	10	2
174	она не	2	2
175	следует что	2	2
176	они не	3	2
177	в самой	2	2
178	в котором	2	2
179	только при	2	2
180	у в	3	2
181	в своих	2	2
182	в свою	2	2
183	одной стороны	3	2
184	на этом	2	2
185	и те	2	2
186	между ними	4	2
187	отнюдь не	19	2
188	где находится	2	2
189	в них	5	2
190	с ними	4	2
191	говорить о	3	2
192	себя и	3	2
193	не более	2	2
194	и его	16	2
195	же время	3	2
196	и только	4	2
197	не следует	2	2
198	и весь	2	2
199	и более	2	2
200	в себя	2	2
201	но с	3	2
202	имеет место	5	2
203	я не	2	2
204	вовсе не	2	2
205	в основе	5	2
