N	2gram	Berdyaev_N	OGranits
1	и в	16	13
2	прежде всего	4	9
3	и не	11	8
4	не может	16	8
5	может быть	7	8
6	и пр	3	7
7	и т.п	2	7
8	не только	5	6
9	то что	4	6
10	хотя бы	2	5
11	но в	2	4
12	лишь в	6	4
13	в своей	3	4
14	все это	5	4
15	мы не	2	4
16	никогда не	6	3
17	и для	4	3
18	и все	4	3
19	связана с	2	3
20	в ее	3	3
21	с этим	2	3
22	как и	7	3
23	не в	6	3
24	в себе	2	3
25	что в	9	3
26	но для	2	3
27	за пределы	3	3
28	так и	2	3
29	но и	3	3
30	могут быть	2	2
31	в этом	7	2
32	смысле слова	3	2
33	в них	4	2
34	и должно	2	2
35	в том	8	2
36	думать что	2	2
37	с одной	2	2
38	не имеет	4	2
39	роль в	2	2
40	с другой	3	2
41	а в	2	2
42	том что	2	2
43	и к	5	2
44	не менее	4	2
45	все эти	2	2
46	так же	2	2
47	в нем	5	2
48	а не	17	2
49	в ней	5	2
50	как в	3	2
51	другой стороны	2	2
52	одной стороны	2	2
53	к тому	3	2
