N	2gram	Nazirov_Vr	EvropaiC
1	таким образом	2	34
2	в том	3	31
3	и в	8	24
4	том что	3	20
5	не может	2	18
6	то что	7	18
7	может быть	4	17
8	все же	6	15
9	точки зрения	2	14
10	в этом	8	13
11	все это	4	13
12	в своем	3	12
13	между тем	5	12
14	но и	7	11
15	не только	9	10
16	мы знаем	2	10
17	как и	6	10
18	как бы	4	10
19	и не	5	9
20	что в	7	9
21	и все	7	9
22	на то	3	9
23	при этом	4	9
24	и что	8	9
25	так же	4	8
26	с точки	2	8
27	что он	4	7
28	не менее	2	7
29	о том	4	7
30	в этой	2	7
31	вместе с	2	7
32	в мире	2	6
33	еще не	2	6
34	в то	5	6
35	несмотря на	4	6
36	тогда как	2	6
37	с ним	4	6
38	его в	3	5
39	в себе	2	5
40	к этому	3	5
41	из них	2	5
42	у него	5	5
43	далеко не	3	5
44	но в	6	5
45	столь же	2	5
46	и с	6	5
47	в его	3	5
48	никогда не	2	4
49	в одну	2	4
50	и то	2	4
51	в конце	3	4
52	отношение к	2	4
53	и у	3	4
54	целый ряд	4	4
55	то же	5	4
56	том же	2	4
57	а с	2	4
58	одним из	3	4
59	в в	2	4
60	связи с	3	4
61	он не	3	4
62	при помощи	2	3
63	это не	4	3
64	в начале	6	3
65	тем более	2	3
66	в связи	3	3
67	и это	2	3
68	а в	2	3
69	в нем	6	3
70	в ней	4	3
71	для нас	4	3
72	же не	2	3
73	в эти	2	3
74	в истории	4	3
75	же как	2	3
76	одна из	2	2
77	но как	2	2
78	к ним	2	2
79	и ее	2	2
80	на первый	2	2
81	в виду	4	2
82	не было	5	2
83	в среде	2	2
84	в глазах	2	2
85	для него	2	2
86	в эту	2	2
87	что у	3	2
88	в котором	6	2
89	их в	2	2
90	давно уже	3	2
91	в своих	4	2
92	в свою	2	2
93	отнюдь не	2	2
94	в них	2	2
95	он тоже	2	2
96	и уже	3	2
97	и его	3	2
98	же время	5	2
99	о которой	2	2
100	я не	3	2
