N	3gram	Vinokur_Vv	Problema
1	тем не менее	9	56
2	о том что	13	39
3	в том что	15	37
4	и т д	39	33
5	то же самое	3	30
6	в связи с	2	29
7	в данном случае	4	28
8	той или иной	3	26
9	по крайней мере	4	26
10	во всяком случае	5	25
11	с точки зрения	4	25
12	с другой стороны	5	25
13	в конце концов	2	23
14	сама по себе	3	21
15	сам по себе	2	21
16	и то что	3	20
17	в этом смысле	10	19
18	для того чтобы	22	17
19	в то же	6	17
20	точно так же	2	16
21	и тем не	3	15
22	до сих пор	7	14
23	не что иное	5	14
24	в этом случае	6	14
25	что иное как	5	14
26	как будто бы	2	14
27	можно было бы	4	13
28	не может быть	10	12
29	можно сказать что	3	12
30	и в этом	4	12
31	так или иначе	4	12
32	есть не что	3	11
33	дело в том	3	11
34	с одной стороны	4	11
35	тех или иных	3	11
36	вместе с тем	3	10
37	не только в	4	10
38	что же касается	2	9
39	может быть и	2	9
40	не говоря уже	2	9
41	по этому поводу	3	9
42	потому что он	2	8
43	только в том	2	8
44	заключается в том	3	8
45	в том или	2	7
46	обратить внимание на	2	7
47	в значительной мере	2	7
48	и то же	2	6
49	само по себе	4	6
50	в самом деле	6	6
51	в этом отношении	4	6
52	хотя бы и	2	5
53	в собственном смысле	3	5
54	в том виде	3	5
55	что в нем	2	5
56	до н э	6	5
57	а также и	2	5
58	одно и то	2	5
59	в зависимости от	3	5
60	том или ином	2	5
61	как мы видели	3	4
62	вопрос о том	5	4
63	этой точки зрения	2	4
64	и потому что	2	4
65	также и в	3	4
66	но все же	4	4
67	на том что	2	4
68	всяком случае не	2	4
69	в этих случаях	2	4
70	подобно тому как	2	4
71	как мы уже	2	4
72	в том чтобы	5	4
73	после того как	2	3
74	но в то	3	3
75	с этой точки	2	3
76	к выводу что	6	3
77	в чем же	3	3
78	что может быть	3	3
79	вовсе не в	2	3
80	одного и того	2	3
81	именно в этом	3	3
82	всего то что	2	3
83	в отличие от	4	3
84	одной стороны и	3	3
85	в известном смысле	3	3
86	и того же	2	3
87	с тем что	3	3
88	по сравнению с	4	3
89	можно говорить о	3	2
90	каждой из них	2	2
91	в известной мере	2	2
92	по отношению к	4	2
93	одной и той	2	2
94	и в самом	3	2
95	это не только	2	2
96	и в том	4	2
97	но также и	10	2
98	не могут не	2	2
99	в свою очередь	2	2
100	т д все	2	2
101	и т п	5	2
102	широком смысле слова	4	2
103	одна от другой	2	2
104	и той же	2	2
105	в до н	2	2
106	вовсе не только	2	2
107	то что остается	2	2
108	или иначе но	2	2
109	а так как	2	2
110	принять во внимание	2	2
111	что в этом	2	2
