N	3gram	Tiupa_Narr	Problemy
1	то же время	3	26
2	в то же	3	26
3	с точки зрения	2	25
4	по отношению к	6	18
5	не может быть	5	14
6	с другой стороны	4	9
7	в том что	8	8
8	бы то ни	3	7
9	в отличие от	5	6
10	то ни было	3	6
11	той или иной	4	5
12	к тому же	4	5
13	подобно тому как	2	5
14	можно было бы	2	5
15	но все же	4	5
16	в той или	2	5
17	тем не менее	3	4
18	и не в	4	4
19	более или менее	2	4
20	о том что	6	4
21	сами по себе	2	4
22	в этом отношении	3	4
23	в данном случае	4	3
24	все же не	4	3
25	можно сказать что	4	3
26	этой точки зрения	2	2
27	а не в	2	2
28	не только в	2	2
29	в значительной степени	2	2
30	в том или	2	2
31	в свою очередь	3	2
