N	2gram	Nazirov_Tr	Literetu
1	и не	7	47
2	не только	8	46
3	и в	18	44
4	может быть	7	43
5	при этом	3	41
6	но и	4	41
7	в том	2	39
8	в этом	9	38
9	своего рода	3	37
10	том что	4	32
11	в частности	2	30
12	то что	4	29
13	в мире	3	28
14	в году	9	26
15	то же	5	26
16	как и	5	23
17	в то	5	23
18	не в	2	22
19	так и	5	22
20	не может	5	22
21	же время	6	21
22	в себе	4	20
23	прежде всего	4	19
24	как бы	7	18
25	то есть	3	17
26	в его	3	17
27	в этой	4	16
28	тем самым	3	15
29	в целом	4	15
30	я не	4	15
31	что он	6	14
32	и даже	4	14
33	в своем	3	13
34	как это	3	13
35	уже не	2	13
36	и его	6	13
37	в данном	2	12
38	еще не	4	12
39	о том	2	12
40	никогда не	2	11
41	данном случае	2	11
42	это не	5	11
43	еще в	2	11
44	отличие от	2	11
45	с его	2	11
46	и сам	3	11
47	как в	3	11
48	в отличие	2	11
49	столь же	2	11
50	что в	4	10
51	отнюдь не	3	10
52	в ее	2	10
53	и на	7	10
54	потому что	2	10
55	не случайно	2	10
56	к тому	2	9
57	один из	3	9
58	что я	4	9
59	одна из	2	8
60	в конце	3	8
61	все же	5	8
62	но в	6	8
63	уже в	3	8
64	в глазах	2	8
65	для него	3	8
66	и я	2	8
67	и как	3	8
68	тем что	2	8
69	до конца	2	7
70	друг друга	2	7
71	в самом	2	7
72	и с	7	7
73	в одном	2	7
74	он и	2	7
75	в нем	4	7
76	он не	2	7
77	его в	2	6
78	и он	3	6
79	и то	2	6
80	то и	2	6
81	с ее	3	6
82	у него	6	6
83	как будто	3	6
84	права на	2	5
85	одном из	2	5
86	так что	2	5
87	и за	2	5
88	он сам	7	5
89	в романе	10	5
90	несмотря на	5	5
91	что и	2	5
92	должно быть	3	5
93	а я	5	5
94	как у	2	5
95	русской литературы	2	5
96	к жизни	5	5
97	со мной	2	4
98	знает что	2	4
99	с тем	2	4
100	и все	4	4
101	но при	2	4
102	но это	4	4
103	один в	3	4
104	и что	4	4
105	не мог	2	4
106	вопрос о	2	3
107	ничего не	2	3
108	от всего	2	3
109	так же	4	3
110	о чем	3	3
111	отношение к	2	3
112	нет в	2	3
113	в первом	2	3
114	в ходе	2	3
115	в душе	2	3
116	это уже	2	3
117	я люблю	4	3
118	времени в	2	3
119	и до	2	3
120	все эти	3	3
121	он был	2	3
122	который в	2	3
123	бы и	2	3
124	не так	2	3
125	из своих	2	3
126	я все	2	3
127	не имеет	2	3
128	я к	2	3
129	на страницах	3	3
130	не просто	2	3
131	с ним	3	3
132	перед нами	2	2
133	у достоевского	5	2
134	если б	2	2
135	еще раз	2	2
136	что вы	3	2
137	не был	2	2
138	по словам	2	2
139	а как	2	2
140	она как	2	2
141	собой но	2	2
142	к нему	3	2
143	о жизни	2	2
144	жизнь и	3	2
145	в русском	2	2
146	и ее	2	2
147	не за	2	2
148	по поводу	2	2
149	человеческой личности	2	2
150	по мнению	2	2
151	в это	2	2
152	этот образ	4	2
153	xix веке	2	2
154	романа и	3	2
155	мог бы	3	2
156	раз и	2	2
157	для искусства	2	2
158	в поле	3	2
159	в таком	2	2
160	чем он	2	2
