N	3gram	Tiupa_Lite	Vladivir
1	в том что	15	29
2	о том что	3	22
3	тем не менее	4	18
4	и то что	2	14
5	дело в том	2	13
6	во всяком случае	2	12
7	в связи с	4	12
8	в то же	12	10
9	с точки зрения	4	10
10	не может быть	5	10
11	то же время	12	9
12	в данном случае	6	6
13	в отличие от	6	6
14	с другой стороны	5	6
15	так или иначе	8	6
16	не говоря уже	3	5
17	не только в	4	5
18	в сравнении с	2	5
19	по крайней мере	2	4
20	еще в году	4	4
21	говоря уже о	2	4
22	в этом отношении	5	4
23	в том же	3	4
24	можно было бы	2	4
25	с одной стороны	8	4
26	ничего общего с	2	3
27	в том числе	2	3
28	только то что	2	3
29	только в том	2	3
30	а с другой	2	3
31	в свою очередь	2	3
32	и прежде всего	4	2
33	тех пор пока	2	2
34	при этом в	3	2
35	за то что	2	2
36	для своего времени	2	2
37	в этом случае	2	2
38	имел в виду	2	2
39	до тех пор	2	2
