N	2gram	Bakhtin_Fr	PoTuStor
1	может быть	4	17
2	и в	67	16
3	мы можем	5	9
4	в этом	27	9
5	и только	2	9
6	таким образом	20	9
7	прежде всего	19	9
8	и с	18	8
9	точки зрения	7	8
10	не может	9	8
11	и его	19	8
12	сказать что	12	7
13	не только	23	7
14	с его	11	7
15	и это	5	6
16	с точки	5	6
17	конечно не	5	6
18	самом деле	6	6
19	и к	7	6
20	для него	4	6
21	при этом	5	6
22	ни в	5	5
23	все эти	12	5
24	как бы	18	5
25	только для	4	5
26	нуждается в	3	5
27	еще не	5	5
28	в чем	6	5
29	как мы	16	4
30	и на	12	4
31	все это	15	4
32	на самом	8	4
33	его в	10	4
34	в его	17	4
35	и ее	2	4
36	но и	23	4
37	и не	23	4
38	и все	18	4
39	но в	20	4
40	с самого	3	4
41	в этой	13	4
42	но мы	3	4
43	с ее	7	4
44	и наконец	5	4
45	так как	16	4
46	и их	6	4
47	все что	3	4
48	только в	6	4
49	в нем	20	4
50	а потому	2	4
51	хотя бы	2	4
52	можно сказать	4	4
53	так и	14	4
54	в один	2	4
55	для всех	4	4
56	мысли и	6	4
57	самого начала	3	4
58	и даже	6	4
59	и она	3	3
60	что в	14	3
61	и притом	2	3
62	жизни и	11	3
63	и как	7	3
64	на этой	3	3
65	а в	4	3
66	в том	16	3
67	их в	2	3
68	и вот	4	3
69	в общем	5	3
70	с другими	3	3
71	между ними	4	3
72	в области	2	3
73	до сих	3	3
74	и есть	5	3
75	во время	15	3
76	но оно	4	3
77	большинстве случаев	6	3
78	в большинстве	6	3
79	чем не	3	3
80	как это	5	3
81	то что	9	3
82	во всех	20	3
83	мира и	10	3
84	сих пор	3	3
85	вместе с	5	3
86	в одном	7	3
87	и др	11	3
88	на этом	7	3
89	том что	13	3
90	в основе	6	3
91	один из	6	2
92	никогда не	6	2
93	все остальные	3	2
94	по своему	5	2
95	мы видим	6	2
96	есть и	8	2
97	на них	2	2
98	в них	12	2
99	здесь же	4	2
100	в жизни	4	2
101	кажется что	2	2
102	к ним	2	2
103	в одно	2	2
104	для этого	2	2
105	и вообще	3	2
106	же как	4	2
107	и для	4	2
108	и этот	2	2
109	что не	4	2
110	все то	6	2
111	что это	4	2
112	другими словами	3	2
113	и по	3	2
114	вообще не	3	2
115	что и	8	2
116	не менее	4	2
117	на первый	4	2
118	было бы	5	2
119	не могут	3	2
120	и других	2	2
121	о том	8	2
122	то же	18	2
123	они не	5	2
124	с этим	6	2
125	как и	19	2
126	что он	7	2
127	так же	13	2
128	говорить о	5	2
129	образов и	8	2
130	того же	6	2
131	в своей	6	2
132	мы не	6	2
133	себя и	2	2
134	из этих	4	2
135	в самом	7	2
136	находится в	2	2
137	в начале	2	2
138	в частности	4	2
139	и вся	2	2
140	связанные с	7	2
141	он не	9	2
142	у него	4	2
143	не нуждается	2	2
144	своей жизни	2	2
145	ту же	3	2
146	за счет	2	2
147	между собою	6	2
148	если мы	3	2
149	со всеми	6	2
150	момента в	2	2
151	и о	8	2
152	за пределы	4	2
153	к этому	4	2
154	на этих	2	2
155	что на	3	2
156	и образы	13	2
157	нет и	4	2
158	по всему	2	2
159	поэтому и	8	2
160	с помощью	6	2
161	связанных с	6	2
162	в пределах	2	2
163	и т.п	31	2
164	момент в	2	2
165	и этим	2	2
166	есть в	5	2
167	в этот	3	2
168	почти не	2	2
169	мы уже	13	2
170	не будет	2	2
171	с ним	6	2
172	на протяжении	2	2
173	характерно для	3	2
174	но это	10	2
