N	3gram	Vinokur_Vv	Vladivir
1	в том что	15	29
2	о том что	13	22
3	тем не менее	9	18
4	что же касается	2	14
5	и то что	3	14
6	дело в том	3	13
7	во всяком случае	5	12
8	в связи с	2	12
9	в конце концов	2	11
10	в то же	6	10
11	с точки зрения	4	10
12	не может быть	10	10
13	вместе с тем	3	10
14	то же время	6	9
15	в этом смысле	10	9
16	а также и	2	8
17	в свое время	3	7
18	точно так же	2	7
19	в данном случае	4	6
20	в отличие от	4	6
21	как мы видели	3	6
22	с другой стороны	5	6
23	и в этом	4	6
24	так или иначе	4	6
25	само по себе	4	6
26	не говоря уже	2	5
27	и потому что	2	5
28	не только в	4	5
29	и в том	4	5
30	по крайней мере	4	4
31	сам по себе	2	4
32	можно сказать что	3	4
33	как мы уже	2	4
34	не что иное	5	4
35	к этому времени	2	4
36	в этом отношении	4	4
37	также и в	3	4
38	можно было бы	4	4
39	заключается в том	3	4
40	с одной стороны	4	4
41	для того чтобы	22	4
42	что иное как	5	4
43	что в этом	2	4
44	и т д	39	4
45	в том чтобы	5	4
46	уже не только	2	3
47	в самом деле	6	3
48	только в том	2	3
49	во второй половине	2	3
50	что несмотря на	2	3
51	по этому поводу	3	3
52	не в том	2	3
53	хотя бы и	2	3
54	или иначе но	2	3
55	в свою очередь	2	3
56	но вместе с	2	2
57	и то же	2	2
58	второй половины xix	2	2
59	мы уже знаем	2	2
60	после того как	2	2
61	может быть и	2	2
62	с тем что	3	2
63	но в то	3	2
64	до сих пор	7	2
65	одно и то	2	2
66	одной стороны и	3	2
67	а так как	2	2
68	и тем не	3	2
69	что в нем	2	2
70	есть не что	3	2
71	в этом случае	6	2
72	в существенном смысле	2	2
