N	3gram	Ircho_Kome	Myslijsy
1	в том что	15	47
2	по отношению к	4	26
3	тем не менее	3	18
4	в свою очередь	10	14
5	то же время	11	13
6	в то же	11	13
7	во всяком случае	3	12
8	с другой стороны	2	12
9	более или менее	2	12
10	до сих пор	12	12
11	и т п	4	11
12	для того чтобы	8	11
13	в то время	3	10
14	с одной стороны	4	10
15	о том что	7	9
16	потому что в	2	9
17	что и в	2	9
18	до тех пор	5	9
19	вместе с тем	5	8
20	в этом случае	2	8
21	с точки зрения	6	7
22	то же самое	3	6
23	после того как	3	6
24	с самого начала	5	6
25	по его мнению	2	4
26	и тот же	3	4
27	в том же	2	4
28	и в самом	7	4
29	в этом отношении	2	4
30	то время как	3	4
31	один и тот	3	4
32	и в свою	2	4
33	бы то ни	3	3
34	говоря уже о	2	3
35	что он не	3	3
36	не говоря уже	2	3
37	одной стороны и	2	3
38	в связи с	3	3
39	так или иначе	3	3
40	равно как и	3	3
41	что ни одно	2	2
42	по тому что	3	2
43	то ни было	3	2
44	и с этой	2	2
45	о том как	5	2
46	мы можем судить	2	2
47	и тем более	2	2
48	не иначе как	2	2
49	состоит в том	2	2
50	но столь же	2	2
51	но все же	3	2
