N	2gram	Tiupa_Hudo	FransuaR
1	и в	23	367
2	то есть	26	209
3	в этом	12	112
4	и т.п	7	108
5	и не	16	101
6	таким образом	3	100
7	и его	12	99
8	в его	11	98
9	прежде всего	5	92
10	не только	20	87
11	но и	14	84
12	как бы	11	82
13	все эти	2	79
14	вовсе не	2	77
15	в романе	3	77
16	как и	3	76
17	в нем	6	75
18	но в	10	75
19	и др	2	72
20	и на	3	72
21	в том	20	71
22	то же	12	66
23	так и	12	65
24	в этой	2	65
25	в них	2	65
26	в то	8	63
27	все это	2	62
28	во всех	3	62
29	же время	7	55
30	что в	7	52
31	в своем	4	51
32	только в	7	48
33	том что	9	45
34	в году	2	44
35	то что	5	41
36	у него	2	40
37	в самом	7	38
38	точки зрения	11	37
39	с его	6	36
40	может быть	19	35
41	о том	2	35
42	сказать что	4	34
43	в себе	13	34
44	он не	4	32
45	для него	5	32
46	в своей	7	31
47	нового времени	2	31
48	в литературе	2	31
49	так же	2	30
50	никогда не	2	30
51	и потому	2	30
52	один из	2	30
53	потому что	3	30
54	но он	3	30
55	в этих	4	29
56	не может	9	29
57	еще не	4	29
58	его в	4	29
59	не в	9	29
60	при этом	19	29
61	в одном	3	29
62	связи с	3	29
63	что он	5	29
64	в основе	7	28
65	в той	3	28
66	и к	3	28
67	роль в	2	27
68	по своему	3	27
69	и другие	2	27
70	том числе	3	27
71	в области	8	25
72	мира и	2	25
73	отношение к	7	24
74	того чтобы	5	24
75	в ее	6	24
76	в частности	18	24
77	например в	4	24
78	но не	13	24
79	как в	2	24
80	он и	2	24
81	времени и	2	24
82	своего рода	9	23
83	и для	3	23
84	это не	4	23
85	в их	5	23
86	с ним	2	23
87	еще и	2	23
88	к нему	3	23
89	и о	4	22
90	даже в	3	22
91	а в	13	22
92	что и	2	22
93	именно в	2	21
94	в себя	4	21
95	в качестве	31	21
96	в отношении	4	21
97	ни в	5	21
98	одним из	2	21
99	есть в	3	21
100	и как	4	21
101	а также	6	20
102	как раз	3	20
103	одной из	2	20
104	в виду	5	20
105	в значительной	2	20
106	с точки	3	20
107	самом деле	2	20
108	и это	2	20
109	в связи	3	20
110	в форме	4	19
111	того же	3	19
112	их в	3	19
113	хотя и	4	19
114	за пределы	2	19
115	далеко не	4	19
116	с другой	9	19
117	с ее	6	19
118	на этом	2	18
119	на мир	2	18
120	здесь не	2	18
121	превращается в	2	18
122	это и	2	18
123	одна из	2	18
124	числе и	2	17
125	для того	5	17
126	того что	5	17
127	а не	13	17
128	между тем	4	16
129	между ними	5	16
130	в другом	4	16
131	с одной	3	16
132	и одновременно	5	16
133	одно из	2	15
134	никто не	3	15
135	в нашем	2	15
136	и прежде	3	15
137	xix века	2	15
138	а затем	2	15
139	с их	2	15
140	в которой	3	15
141	от всех	2	15
142	в самой	2	15
143	из этих	3	15
144	в данном	4	14
145	несмотря на	2	14
146	и по	2	14
147	в чем	2	14
148	так в	4	13
149	отличие от	7	13
150	на языке	3	13
151	или в	2	13
152	в жизни	3	13
153	в мире	24	13
154	и сам	3	13
155	мира в	2	13
156	не на	5	13
157	о чем	3	13
158	одной стороны	3	13
159	не знает	4	13
160	лишь в	7	12
161	право на	2	12
162	начиная с	2	12
163	во всей	3	12
164	жизни в	2	12
165	в пределах	3	12
166	и ее	3	12
167	по своей	7	12
168	место в	5	12
169	можно сказать	6	12
170	другой стороны	6	12
171	об этом	2	12
172	и более	2	11
173	из этого	2	11
174	уже не	6	11
175	и что	4	11
176	в системе	3	11
177	в узком	3	11
178	слова и	2	11
179	и особенно	2	11
180	и т.д	4	11
181	культуры в	3	11
182	с ними	2	11
183	той или	5	11
184	в отличие	7	11
185	образом и	2	10
186	или иной	9	10
187	значительной степени	2	10
188	на котором	2	10
189	для понимания	2	10
190	по преимуществу	3	10
191	человека и	2	10
192	к тому	4	10
193	по отношению	10	10
194	к которому	4	10
195	в целом	3	10
196	не просто	2	10
197	но как	2	9
198	как это	7	9
199	и то	4	9
200	на время	2	9
201	отношению к	10	9
202	как к	5	9
203	в формах	2	9
204	до известной	2	9
205	известной степени	3	9
206	но на	2	9
207	к жизни	2	9
208	отношения к	4	9
209	с этой	3	8
210	если бы	3	8
211	включает в	2	8
212	более или	6	8
213	или менее	6	8
214	на всех	2	8
215	не менее	5	8
216	речи и	4	8
217	дело не	2	8
218	человека с	3	8
219	времени в	2	7
220	не как	2	7
221	искусства и	3	7
222	в свою	3	7
223	должен быть	2	7
224	тому как	3	7
225	первой части	2	7
226	жить и	2	7
227	себя в	8	7
228	подобно тому	3	7
229	из которых	2	7
230	в таком	3	7
231	в последней	2	7
232	а на	5	7
233	но она	2	7
234	такого рода	12	6
235	свою очередь	2	6
236	в искусстве	9	6
237	входит в	4	6
238	или даже	3	6
239	ее в	2	6
240	жизни как	4	6
241	могут быть	5	6
242	что она	2	6
243	в противоположность	3	6
244	а именно	3	6
245	картины мира	3	6
246	к его	3	6
247	во времени	4	6
248	вещами и	2	6
249	этого слова	2	6
250	не могли	2	6
251	принадлежит к	3	6
252	имеем в	3	6
253	основе своей	2	6
254	не столько	7	6
255	еще один	2	6
256	ни для	2	6
257	говорить о	4	6
258	тем самым	5	5
259	и конец	2	5
260	к своему	2	5
261	своей жизни	2	5
262	начало и	2	5
263	тем более	2	5
264	говорит что	2	5
265	но только	2	5
266	не вполне	2	5
267	значения и	2	5
268	не является	5	5
269	всех и	3	5
270	в произведении	3	5
271	с другими	5	5
272	одного и	3	5
273	ни было	2	5
274	автора и	3	5
275	слова в	3	5
276	если мы	2	5
277	в слове	4	5
278	на основе	2	5
279	бы не	2	5
280	мире и	2	5
281	во втором	4	5
282	себя и	3	5
283	то в	2	5
284	мы имеем	6	5
285	перед лицом	3	5
286	в акте	3	5
287	для которого	2	4
288	он должен	3	4
289	рассказ о	2	4
290	в известном	2	4
291	границ между	2	4
292	в тарасе	2	4
293	о себе	2	4
294	я не	2	4
295	чтобы не	2	4
296	говоря о	3	4
297	в контексте	3	4
298	и больше	2	4
299	при всем	2	4
300	заключается в	2	4
301	тарасе бульбе	2	4
302	и притом	3	4
303	и существенно	2	4
304	самим собой	5	4
305	делает его	2	4
306	который в	2	4
307	быть и	2	4
308	одно и	3	4
309	только и	2	4
310	не случайно	3	4
311	оно не	2	4
312	имеет дело	2	4
313	свою жизнь	2	4
314	втором случае	2	4
315	и тем	4	4
316	картина мира	5	4
317	не входит	2	4
318	из тех	2	4
319	и некоторые	2	4
320	о его	2	4
321	таковы например	2	4
322	в культуре	3	4
323	не могло	2	4
324	по себе	2	4
325	мира с	2	4
326	но их	3	4
327	в организации	2	4
328	в каком	2	3
329	при всей	2	3
330	которого он	2	3
331	в точке	3	3
332	в художественном	5	3
333	которая не	2	3
334	ни к	2	3
335	было и	2	3
336	и того	3	3
337	совершенно иной	2	3
338	со стороны	5	3
339	не всегда	2	3
340	в одно	2	3
341	говорит в	2	3
342	тому что	2	3
343	говорит и	3	3
344	жизни на	2	3
345	для обозначения	2	3
346	бы то	2	3
347	имеет место	3	3
348	внешнем мире	2	3
349	вследствие этого	2	3
350	всякий раз	2	3
351	в силу	4	3
352	от своего	2	3
353	между собой	2	3
354	а с	2	3
355	а для	2	3
356	не будет	3	3
357	между двумя	2	3
358	то ни	2	3
359	во внешнем	2	3
360	или иных	2	3
361	со своей	4	3
362	и весьма	2	3
363	этом смысле	3	3
364	в глаза	2	3
365	что каждый	2	3
366	это своего	2	3
367	и может	2	3
368	тех или	2	3
369	могла бы	2	3
370	жизни но	2	3
371	всей своей	2	3
372	приводит к	6	3
373	сознания в	4	3
374	этих двух	2	3
375	ними и	2	2
376	с самим	2	2
377	ни одно	2	2
378	текст в	3	2
379	в комедии	2	2
380	а только	4	2
381	своей природе	2	2
382	в пространстве	2	2
383	без исключения	4	2
384	внутреннюю свободу	2	2
385	известном смысле	2	2
386	на смену	4	2
387	всей его	2	2
388	что такое	2	2
389	строго говоря	2	2
390	есть как	2	2
391	полноте и	2	2
392	вслед за	2	2
393	способность к	2	2
394	не принадлежит	2	2
395	на свою	2	2
396	с иными	2	2
397	речь идет	2	2
398	это тоже	2	2
399	человеческой жизни	3	2
400	в состав	6	2
401	по мысли	2	2
402	он оказывается	2	2
403	не от	2	2
404	в какой	2	2
405	это отношение	3	2
406	в итоге	2	2
407	мог бы	3	2
408	совпадает с	2	2
409	художественной литературы	2	2
410	можно охарактеризовать	2	2
411	тот кто	2	2
412	таких случаях	2	2
413	отличается от	2	2
414	даль и	2	2
415	языка на	2	2
416	том и	2	2
417	каждый такой	2	2
418	но от	2	2
419	за пределами	3	2
420	на почве	4	2
421	дома и	2	2
422	в сторону	2	2
423	при котором	2	2
424	в конечном	5	2
425	могло быть	2	2
426	миропорядка и	3	2
427	узком значении	2	2
428	к нашему	2	2
429	встречаются в	2	2
430	что может	2	2
431	для такого	2	2
432	более не	2	2
433	случае не	2	2
434	не все	2	2
435	мышления и	2	2
436	конечном счете	5	2
437	в коем	2	2
438	только о	2	2
439	не с	2	2
440	человеческих отношений	2	2
441	коем случае	2	2
442	жизни а	2	2
443	языка в	4	2
444	и внешней	3	2
445	ни был	2	2
