N	2gram	Tiupa_Narr	Komedia
1	и в	22	77
2	и не	34	47
3	в том	20	44
4	том что	15	42
5	о том	5	33
6	едва ли	5	32
7	но и	39	32
8	может быть	24	30
9	таким образом	5	29
10	из них	4	29
11	в то	9	28
12	и его	12	28
13	в этом	23	27
14	потому что	7	27
15	что он	7	26
16	к тому	13	26
17	не только	50	25
18	тому же	9	25
19	вместе с	3	25
20	как и	15	23
21	что в	6	23
22	что и	3	22
23	если бы	9	22
24	в самом	8	22
25	в конце	4	21
26	так и	12	21
27	а в	19	21
28	то же	12	21
29	ясно что	2	21
30	в его	12	20
31	со стороны	14	19
32	во время	2	19
33	к этому	2	19
34	в этой	8	18
35	и т	3	17
36	еще не	6	17
37	и здесь	3	17
38	в нем	9	17
39	же время	7	17
40	все же	10	16
41	у него	13	16
42	не менее	6	16
43	при этом	31	16
44	и сам	4	16
45	сих пор	3	16
46	действующих лиц	8	16
47	он не	8	16
48	до сих	3	16
49	в своем	7	15
50	не в	12	15
51	точки зрения	8	15
52	между тем	5	15
53	прежде всего	7	15
54	один из	8	15
55	на себя	5	15
56	было бы	2	15
57	в которой	2	15
58	и на	5	15
59	ли не	3	14
60	к нему	5	14
61	об этом	8	14
62	на протяжении	12	14
63	в свою	4	14
64	и с	3	14
65	столь же	6	14
66	о чем	6	13
67	то что	14	13
68	самом деле	4	13
69	но в	10	13
70	того же	2	13
71	того чтобы	7	13
72	в двух	2	13
73	что она	3	13
74	мы можем	2	13
75	только что	4	13
76	в одном	5	13
77	как раз	9	13
78	так же	2	12
79	с другой	6	12
80	для того	4	12
81	т п	2	12
82	как это	7	12
83	не по	5	12
84	в качестве	27	12
85	хотя и	8	12
86	в начале	4	12
87	не может	16	12
88	как в	9	12
89	но не	7	12
90	в котором	3	12
91	нового времени	2	12
92	по отношению	5	11
93	наряду с	2	11
94	в частности	23	11
95	одного из	6	11
96	речь идет	3	11
97	как мы	3	11
98	к ней	3	11
99	и даже	4	11
100	на этот	2	11
101	и для	4	11
102	с ним	6	11
103	в целом	5	10
104	к себе	11	10
105	отношение к	2	10
106	ничего не	8	10
107	одной из	2	10
108	и все	7	10
109	в чем	3	10
110	что касается	3	10
111	в глазах	7	10
112	мы не	5	10
113	же в	6	10
114	свою очередь	2	10
115	с его	6	10
116	тем более	2	10
117	на него	4	10
118	с одной	5	10
119	как бы	11	10
120	еще в	4	10
121	более чем	2	10
122	отличие от	6	9
123	тому что	4	9
124	одной стороны	5	9
125	однако в	4	9
126	ответ на	6	9
127	о его	3	9
128	и по	3	9
129	в своей	8	9
130	а также	11	9
131	и еще	2	9
132	отношению к	5	9
133	все что	4	9
134	друг друга	2	9
135	вовсе не	2	9
136	только в	23	9
137	в ней	5	9
138	идет о	3	8
139	и ее	3	8
140	как он	3	8
141	такого рода	17	8
142	по своему	3	8
143	место в	3	8
144	не знает	2	8
145	войны и	4	8
146	связи с	3	8
147	да и	5	8
148	по поводу	3	8
149	другой стороны	2	8
150	можно было	2	8
151	бы в	2	8
152	с этой	3	8
153	что у	6	8
154	если не	4	8
155	не было	3	8
156	во всех	2	8
157	до конца	2	7
158	в себе	14	7
159	в другом	5	7
160	и у	4	7
161	со своим	2	7
162	и к	7	7
163	и о	4	7
164	в других	2	7
165	обращает на	3	7
166	в связи	3	7
167	во всяком	2	7
168	если в	2	7
169	из этих	6	7
170	хотя бы	4	7
171	в результате	4	7
172	дело с	4	7
173	и вот	2	7
174	не является	7	7
175	в этих	3	7
176	не имеет	3	7
177	или иначе	2	7
178	к его	5	7
179	себя внимание	3	7
180	отнюдь не	6	7
181	для нас	2	7
182	всяком случае	2	7
183	после смерти	2	7
184	когда же	2	6
185	в силу	5	6
186	в наиболее	2	6
187	в виду	2	6
188	и тем	9	6
189	в области	4	6
190	так в	4	6
191	на ее	2	6
192	что не	2	6
193	в сущности	2	6
194	и он	8	6
195	это было	3	6
196	тем не	7	6
197	и как	4	6
198	как правило	8	6
199	во второй	2	6
200	человека в	2	6
201	как будто	4	6
202	в отличие	6	6
203	в какой	2	6
204	на то	4	6
205	в своих	2	6
206	с собой	2	6
207	а по	2	6
208	представляет собой	21	6
209	с точки	2	6
210	или в	7	6
211	а не	27	6
212	не мог	7	6
213	никогда не	8	5
214	этом отношении	5	5
215	это не	6	5
216	том как	3	5
217	вслед за	4	5
218	в обоих	4	5
219	одним из	2	5
220	в следующем	2	5
221	в ответ	4	5
222	роль в	4	5
223	все время	2	5
224	к ним	2	5
225	представить себе	3	5
226	участие в	2	5
227	мы имеем	6	5
228	что на	4	5
229	не могла	2	5
230	между собой	3	5
231	в ее	4	5
232	в первом	4	5
233	в действительности	2	5
234	обращается к	3	5
235	который в	2	5
236	сказать что	5	5
237	и от	3	5
238	что это	4	5
239	себя в	4	5
240	в сознании	6	5
241	в мире	8	5
242	в первой	3	5
243	также в	2	5
244	даже если	2	5
245	каждого из	2	5
246	мира в	4	5
247	к своему	2	5
248	восходит к	2	5
249	похожи на	2	5
250	раз в	4	5
251	именно в	5	5
252	что я	4	5
253	приводит к	2	5
254	он и	2	5
255	со своей	3	5
256	жизни и	7	5
257	а на	2	5
258	же самое	3	5
259	и после	3	5
260	у меня	2	5
261	той же	2	5
262	тем же	3	5
263	но он	2	5
264	с помощью	2	5
265	не о	2	4
266	по мнению	2	4
267	не столько	2	4
268	в принципе	6	4
269	и столь	2	4
270	по своей	3	4
271	не всегда	4	4
272	или менее	2	4
273	может служить	5	4
274	все его	4	4
275	времени в	3	4
276	между ними	3	4
277	сомневаться в	2	4
278	же как	2	4
279	когда в	4	4
280	что с	2	4
281	например в	2	4
282	как известно	3	4
283	одна из	5	4
284	одно из	2	4
285	каждый из	3	4
286	и опять	2	4
287	то и	3	4
288	у нее	8	4
289	я не	5	4
290	у нас	4	4
291	времени и	9	4
292	в пределах	2	4
293	нас в	2	4
294	не случайно	2	4
295	далеко не	6	4
296	а то	2	4
297	их в	4	4
298	в городе	2	4
299	в последние	2	4
300	что мы	2	4
301	в той	4	4
302	в поле	3	4
303	человека который	2	4
304	по его	3	4
305	все равно	2	4
306	не следует	3	4
307	в себя	3	4
308	в соответствии	8	3
309	следует признать	2	3
310	и потому	2	3
311	всего лишь	8	3
312	вплоть до	5	3
313	при всей	5	3
314	и притом	3	3
315	с той	2	3
316	как к	3	3
317	для себя	3	3
318	ситуации в	3	3
319	что именно	2	3
320	а как	2	3
321	казалось бы	2	3
322	в году	2	3
323	сам себя	2	3
324	из уст	2	3
325	только на	4	3
326	а его	3	3
327	а с	2	3
328	не являются	2	3
329	видно что	2	3
330	на две	2	3
331	она не	2	3
332	ли в	2	3
333	они не	3	3
334	его и	2	3
335	состоит в	19	3
336	людей и	2	3
337	не столь	2	3
338	ни одного	2	3
339	для них	2	3
340	в виде	2	3
341	в театре	3	3
342	с ними	5	3
343	и когда	3	3
344	о ней	5	3
345	представляют собой	5	3
346	и самого	3	3
347	в герое	4	3
348	интерес к	3	3
349	между двумя	6	3
350	в рамках	6	3
351	но при	5	3
352	если она	3	3
353	в город	2	3
354	каким он	3	3
355	а к	3	3
356	в финале	3	3
357	исходя из	4	3
358	конечном счете	4	3
359	и уже	4	3
360	стало быть	4	3
361	как о	2	3
362	было и	2	3
363	и внутренней	2	3
364	и более	2	3
365	из наиболее	6	3
366	за пределами	3	3
367	более или	2	3
368	будто бы	2	3
369	соответствии с	7	3
370	по себе	4	3
371	всю свою	2	3
372	первого и	2	3
373	на рубеже	2	3
374	ему в	2	3
375	в присутствии	2	3
376	в таком	4	3
377	как на	2	3
378	не к	4	3
379	в нашем	4	3
380	один и	2	3
381	о которой	3	3
382	этих двух	2	3
383	однако не	2	3
384	перед нами	9	2
385	тем самым	9	2
386	как можно	2	2
387	взывает к	2	2
388	о матери	2	2
389	еще раз	3	2
390	свою жизнь	2	2
391	а потом	2	2
392	в конечном	6	2
393	является его	2	2
394	где в	3	2
395	никак не	5	2
396	в произведениях	3	2
397	видя в	2	2
398	слов в	2	2
399	ней в	2	2
400	к ее	3	2
401	во времени	9	2
402	за ними	3	2
403	жизни так	3	2
404	этого не	2	2
405	того что	7	2
406	нем не	2	2
407	со всеми	3	2
408	в детстве	3	2
409	о нем	5	2
410	с матерью	2	2
411	в душе	3	2
412	могло быть	2	2
413	мы узнаем	2	2
414	она была	2	2
415	зависимости от	3	2
416	детей а	2	2
417	ли он	2	2
418	во втором	6	2
419	пока что	2	2
420	выступает в	2	2
421	в известном	4	2
422	и сама	2	2
423	в состав	5	2
424	точно так	2	2
425	здесь не	4	2
426	главное в	2	2
427	в зависимости	3	2
428	все эти	3	2
429	ему было	2	2
430	в центре	4	2
431	должна быть	2	2
432	детьми и	2	2
433	для обозначения	2	2
434	чем это	2	2
435	особенно в	3	2
436	первом случае	3	2
437	то в	4	2
438	быть не	3	2
439	они могут	2	2
440	не уступает	2	2
441	в литературе	8	2
442	но это	2	2
443	однако и	5	2
444	не все	2	2
445	только с	2	2
446	о котором	4	2
447	дело не	3	2
448	ее из	2	2
449	от которого	3	2
450	а о	2	2
451	за которым	2	2
452	то чтобы	2	2
453	с ее	3	2
454	разговоре с	2	2
455	превращается в	2	2
456	жизни в	7	2
