N	2gram	Tiupa_Lite	KFilosof
1	может быть	24	45
2	в его	9	42
3	в нем	4	32
4	не может	10	29
5	и не	19	28
6	и в	26	28
7	по отношению	6	26
8	отношению к	4	22
9	не есть	2	22
10	в себе	8	21
11	и его	7	18
12	только в	8	18
13	в своем	12	17
14	а не	28	17
15	в этом	19	15
16	не в	11	13
17	для него	6	13
18	точки зрения	8	13
19	но не	8	12
20	мир в	5	12
21	в своей	5	11
22	во всех	4	11
23	все эти	2	11
24	это не	4	10
25	в целом	10	10
26	от себя	2	10
27	с точки	4	10
28	и есть	3	10
29	в единственном	2	10
30	в их	3	9
31	для нее	2	9
32	но и	25	9
33	как бы	8	9
34	себя в	7	8
35	не было	5	8
36	лишь в	4	8
37	со стороны	6	8
38	в мире	9	8
39	жизни и	6	8
40	было бы	4	8
41	в себя	5	8
42	но лишь	4	7
43	для себя	6	7
44	должен быть	2	7
45	то что	14	7
46	со мной	2	7
47	уже не	9	7
48	отнюдь не	4	7
49	и только	4	7
50	что и	3	7
51	вовсе не	3	7
52	на основе	2	7
53	мира в	4	6
54	в том	22	6
55	действительного мира	2	6
56	не имеет	2	6
57	я не	8	6
58	но это	2	6
59	и я	7	6
60	он не	4	6
61	никогда не	5	5
62	его в	4	5
63	все же	6	5
64	не только	29	5
65	мы имеем	2	5
66	но как	3	5
67	хотя бы	3	5
68	то же	13	5
69	жизни в	5	5
70	еще не	4	5
71	не знает	3	5
72	а в	5	5
73	но в	5	5
74	культуры и	2	5
75	есть лишь	2	5
76	как и	13	5
77	ко всему	4	5
78	что я	4	5
79	жизни как	3	5
80	в одном	2	5
81	себя и	3	5
82	я и	10	5
83	с ним	2	5
84	в основе	5	5
85	это мир	2	4
86	тем самым	8	4
87	нет в	2	4
88	том что	19	4
89	что в	7	4
90	и жизни	4	4
91	не как	4	4
92	и т.д	8	4
93	не по	2	4
94	ни было	2	4
95	прежде всего	14	4
96	в чем	2	4
97	отношению ко	2	4
98	в своих	5	4
99	для нас	3	4
100	при этом	23	4
101	всех своих	3	4
102	должна быть	3	4
103	мне в	2	4
104	между тем	2	4
105	до конца	3	3
106	ничего не	3	3
107	в то	12	3
108	от него	2	3
109	человека и	2	3
110	в каждом	2	3
111	в другом	3	3
112	тем что	6	3
113	и тем	4	3
114	та же	2	3
115	бы не	3	3
116	для того	2	3
117	самом деле	2	3
118	в виду	4	3
119	себе и	2	3
120	не должен	3	3
121	для этой	2	3
122	не менее	11	3
123	о том	3	3
124	поскольку он	2	3
125	в ней	4	3
126	в свою	2	3
127	могут быть	4	3
128	во мне	2	3
129	и на	5	3
130	что не	3	3
131	того что	7	3
132	мы не	5	3
133	из его	2	3
134	и то	3	2
135	чтобы не	2	2
136	для этого	5	2
137	в соответствии	2	2
138	мышления и	3	2
139	и мы	2	2
140	или иной	3	2
141	в данном	7	2
142	сознания в	14	2
143	можно и	2	2
144	дело в	3	2
145	к этому	2	2
146	дело не	2	2
147	эстетического субъекта	12	2
148	с ее	3	2
149	к себе	3	2
150	тем не	4	2
151	как к	4	2
152	и как	2	2
153	в принципе	7	2
154	себе как	2	2
155	а как	2	2
156	и других	4	2
157	все они	2	2
158	в области	5	2
159	не остается	2	2
160	а с	2	2
161	что он	8	2
162	бытия не	2	2
163	из которых	3	2
164	и за	2	2
165	со всеми	2	2
166	а для	3	2
167	так и	7	2
168	отношении к	2	2
169	что есть	2	2
170	едва ли	5	2
171	в жизни	7	2
172	с тем	2	2
173	это уже	2	2
174	как в	5	2
175	на первом	2	2
176	всей своей	2	2
177	в сознании	3	2
178	сознания не	2	2
179	во главе	2	2
180	ему в	2	2
181	и само	3	2
182	а по	2	2
183	соответствии с	3	2
184	он и	5	2
185	один из	7	2
186	себя как	2	2
187	потому что	5	2
188	раз и	2	2
189	и того	2	2
190	сводится к	4	2
191	слова в	2	2
192	в качестве	21	2
193	же время	12	2
194	ничего общего	2	2
195	ценностный центр	2	2
196	быть не	2	2
197	в этой	7	2
198	ни был	2	2
199	с его	5	2
