N	3gram	Tiupa_Narr	KulturaY
1	и т п	2	93
2	для того чтобы	4	38
3	с точки зрения	2	36
4	в том что	11	33
5	в самом деле	3	29
6	во всяком случае	2	19
7	тем не менее	6	19
8	в зависимости от	3	16
9	до сих пор	3	14
10	по отношению к	5	13
11	в связи с	3	12
12	в этом отношении	5	11
13	не может быть	6	11
14	о том что	3	10
15	того или иного	3	9
16	не только в	12	8
17	а с другой	2	7
18	с одной стороны	5	7
19	в свою очередь	2	7
20	в то же	7	6
21	той или иной	6	6
22	к тому же	8	6
23	то же время	7	6
24	в отличие от	6	6
25	речь идет о	3	5
26	более или менее	2	5
27	в соответствии с	7	5
28	в данном случае	12	5
29	в конечном счете	4	4
30	точно так же	2	4
31	в первом случае	3	4
32	одного и того	2	4
33	к тому что	4	4
34	на то что	2	4
35	состоит в том	5	4
36	и того же	2	4
37	а в том	2	4
38	на себя внимание	3	3
39	в известном смысле	4	3
40	и то же	2	2
41	тем или иным	2	2
42	так и не	2	2
43	хотя и не	2	2
44	вследствие того что	2	2
45	едва ли не	2	2
46	внимание на то	2	2
47	может быть не	2	2
48	у нас нет	2	2
49	в ряде случаев	2	2
50	можно сказать что	5	2
51	сами по себе	2	2
52	обращает на себя	3	2
53	и в то	2	2
54	по большей части	5	2
