N	2gram	Losev_Vlad	VerxiiNi
1	и в	56	26
2	таким образом	6	22
3	с тем	4	18
4	в этом	30	15
5	вместе с	9	15
6	точки зрения	4	13
7	как бы	5	12
8	в том	26	11
9	не только	35	10
10	из этих	5	10
11	и с	27	10
12	может быть	12	10
13	после смерти	8	10
14	что в	24	9
15	так как	11	9
16	в области	3	9
17	связи с	7	9
18	но и	26	9
19	но не	5	8
20	с другой	3	8
21	в общем	4	8
22	главным образом	5	8
23	и у	4	8
24	и не	33	8
25	как на	2	8
26	но все	3	7
27	к нему	6	7
28	потому что	16	7
29	из них	3	7
30	то что	30	7
31	но в	19	7
32	том что	22	7
33	а с	5	7
34	представление о	2	6
35	в отношении	5	6
36	все же	11	6
37	к тому	5	6
38	о том	13	6
39	мы должны	3	6
40	того же	11	6
41	в себе	5	6
42	в конце	22	6
43	несмотря на	7	6
44	всяком случае	8	6
45	что и	6	6
46	все эти	6	6
47	все это	7	6
48	и потому	8	6
49	так и	11	6
50	во всяком	8	6
51	никогда не	15	5
52	одной из	2	5
53	и для	4	5
54	не имеет	2	5
55	более или	5	5
56	так же	4	5
57	и к	10	5
58	отношение к	7	5
59	к жизни	2	5
60	того чтобы	4	5
61	лишь в	3	5
62	в его	18	5
63	для того	4	5
64	а не	5	5
65	тому же	3	5
66	образом в	2	5
67	или менее	5	5
68	на этот	9	4
69	и от	6	4
70	что все	2	4
71	очень мало	2	4
72	а в	20	4
73	в котором	10	4
74	в самом	3	4
75	в нем	7	4
76	не может	12	4
77	при жизни	4	4
78	бога и	3	4
79	то есть	5	4
80	в виде	4	4
81	то же	10	4
82	должен был	3	4
83	и что	11	4
84	и по	10	4
85	в этих	5	4
86	только в	11	4
87	что он	22	4
88	он не	13	4
89	во время	4	4
90	в течение	13	4
91	в этой	4	4
92	в то	15	4
93	учение о	2	4
94	к богу	2	3
95	что это	2	3
96	в своем	10	3
97	так или	3	3
98	не вполне	3	3
99	точно так	2	3
100	или иначе	3	3
101	и если	8	3
102	уже не	6	3
103	хотя бы	5	3
104	к этому	11	3
105	в результате	6	3
106	с ней	3	3
107	в которой	8	3
108	тем не	8	3
109	и даже	23	3
110	и как	7	3
111	если бы	2	3
112	при этом	5	3
113	конце концов	6	3
114	не менее	9	3
115	по учению	2	3
116	к концу	7	3
117	у них	2	3
118	когда он	6	3
119	в качестве	7	3
120	и при	2	3
121	с этой	4	3
122	в связи	9	3
123	и другие	2	3
124	в таком	2	3
125	так что	13	3
126	ясно что	2	3
127	и о	6	3
128	но по	2	3
129	можно сказать	10	3
130	в одном	2	3
131	того что	6	3
132	для него	16	3
133	по своему	5	2
134	сказать что	14	2
135	так например	3	2
136	которые в	2	2
137	о котором	2	2
138	этот факт	2	2
139	начиная с	3	2
140	из этого	6	2
141	и это	4	2
142	не могут	2	2
143	а также	12	2
144	было конечно	2	2
145	в россии	7	2
146	на то	7	2
147	для всех	2	2
148	и сейчас	2	2
149	он в	4	2
150	тех пор	2	2
151	мы имеем	2	2
152	ко всему	4	2
153	в начале	7	2
154	с того	2	2
155	свидетельствует о	3	2
156	ему в	4	2
157	вплоть до	4	2
158	больше чем	2	2
159	одним из	3	2
160	только что	2	2
161	особенно в	2	2
162	к его	5	2
163	в свою	3	2
164	богом и	2	2
165	не могла	3	2
166	именно в	4	2
167	конечно не	5	2
168	если не	4	2
169	время он	3	2
170	еще на	3	2
171	то после	2	2
172	те же	2	2
173	что мы	2	2
174	никто из	2	2
175	в них	5	2
176	только не	2	2
177	и особенно	6	2
178	духовного развития	2	2
179	очень много	2	2
180	и на	7	2
181	в русском	2	2
182	и здесь	3	2
183	и действительно	3	2
184	уже в	9	2
185	еще не	2	2
186	по своей	4	2
187	все что	2	2
188	наконец в	3	2
189	этого последнего	3	2
190	жизни и	8	2
191	иной раз	8	2
192	в новом	2	2
193	не было	12	2
194	и больше	3	2
195	по своим	3	2
196	этом отношении	2	2
197	виде в	2	2
198	этот период	2	2
199	не в	12	2
200	и наконец	2	2
201	то ни	2	2
202	жизни по	2	2
203	на все	3	2
204	и все	8	2
205	же время	7	2
206	один из	4	2
207	уже давно	3	2
208	них не	2	2
209	не к	2	2
210	прежде всего	5	2
211	его не	2	2
212	бы то	2	2
213	и из	5	2
214	тот же	7	2
215	не могло	2	2
216	его от	2	2
217	с его	15	2
218	во всех	4	2
219	взгляд на	4	2
220	по существу	4	2
