N	2gram	Berdyaev_V	Tvorches
1	и в	16	56
2	как бы	5	41
3	в его	4	37
4	не только	2	24
5	но в	3	24
6	и не	20	23
7	а в	2	23
8	как и	4	23
9	и т	2	22
10	в этом	4	22
11	в том	3	21
12	что в	3	21
13	том что	2	19
14	потому что	4	19
15	то что	9	18
16	что он	4	17
17	все это	5	17
18	т д	2	17
19	никогда не	3	16
20	прежде всего	2	16
21	но и	5	16
22	с его	3	15
23	но это	3	15
24	в мире	5	15
25	это не	2	14
26	а не	7	13
27	в котором	4	12
28	в своей	3	11
29	для него	2	11
30	в конце	3	10
31	не в	3	10
32	так и	4	10
33	но не	2	10
34	только в	2	10
35	в нем	4	9
36	один из	2	9
37	человека и	6	8
38	в духе	2	8
39	ивана карамазова	2	8
40	так как	9	8
41	еще не	8	8
42	хотя и	5	8
43	в чем	3	7
44	в этих	3	7
45	уже не	2	7
46	и сам	2	7
47	и все	4	6
48	все эти	3	6
49	о великом	4	6
50	одна из	2	6
51	хотя бы	3	6
52	с ним	2	6
53	великом инквизиторе	5	5
54	это все	2	5
55	в образе	4	5
56	а с	2	5
57	не так	2	5
58	в них	3	5
59	и это	2	5
60	что не	4	5
61	что и	3	5
62	мы не	2	5
63	что они	7	5
64	в истории	8	5
65	тот же	3	5
66	между тем	2	5
67	что я	3	5
68	если не	3	5
69	не было	3	5
70	и потому	7	4
71	добра и	4	4
72	того что	5	4
73	что все	4	4
74	могут быть	2	4
75	и я	4	4
76	и мы	3	4
77	нет ничего	3	4
78	превращается в	3	4
79	тем что	2	4
80	на земле	7	4
81	и есть	4	4
82	его и	2	4
83	легенда о	2	4
84	личности и	3	4
85	говорить о	4	4
86	не есть	6	3
87	ее и	2	3
88	для человека	2	3
89	его к	2	3
90	от него	2	3
91	бога и	5	3
92	и зла	2	3
93	давно уже	2	3
94	людей и	2	3
95	к тому	3	3
96	во главе	2	3
97	в ней	4	3
98	на себя	5	3
99	во мне	4	3
100	по этому	3	3
101	вот почему	2	3
102	да и	2	3
103	и тогда	2	3
104	о свободе	2	3
105	лишь в	3	3
106	человека как	2	3
107	ее в	2	3
108	во имя	32	3
109	не с	2	3
110	к людям	6	3
111	в жизни	3	3
112	нет и	2	3
113	в себя	2	3
114	жизни и	3	3
115	и что	3	3
116	во всяком	2	3
117	в силах	4	2
118	не могут	2	2
119	но мы	2	2
120	вслед за	2	2
121	свободы и	12	2
122	нас и	3	2
123	когда я	2	2
124	нас за	2	2
125	что ты	3	2
126	совесть и	2	2
127	является в	2	2
128	и против	3	2
129	и будет	3	2
130	с тем	2	2
131	тому что	3	2
132	на том	2	2
133	то это	3	2
134	для их	2	2
135	не будет	2	2
136	для них	2	2
137	людей в	3	2
138	того чтобы	2	2
139	когда в	2	2
140	верит в	2	2
141	на этих	2	2
142	мы слышим	2	2
143	совести и	2	2
144	самого себя	2	2
145	это еще	4	2
146	не могли	2	2
147	всемирной истории	3	2
148	сто тысяч	2	2
149	а к	2	2
150	во всех	3	2
151	мира в	2	2
152	не имеет	3	2
153	ни в	3	2
154	их в	3	2
155	а между	2	2
156	все что	4	2
157	восстает против	3	2
158	и теперь	2	2
159	что во	3	2
160	за то	3	2
161	не к	2	2
