N	3gram	Propp_Isto	Myshleni
1	в том что	4	133
2	для того чтобы	3	78
3	по отношению к	2	42
4	с одной стороны	7	39
5	так же как	10	39
6	друг с другом	2	35
7	в этом случае	13	27
8	с другой стороны	10	26
9	вместе с тем	7	26
10	о том что	5	25
11	на то что	3	25
12	не может быть	6	23
13	в то время	3	22
14	то время как	3	20
15	и тем самым	2	19
16	этой точки зрения	2	17
17	до сих пор	7	17
18	как мы видели	2	17
19	в связи с	6	17
20	же как и	4	17
21	с этой точки	2	16
22	в данном случае	2	15
23	и то что	3	15
24	на этот вопрос	2	14
25	мы видели что	2	14
26	подобно тому как	2	14
27	потому что он	5	14
28	это значит что	2	13
29	точно так же	3	13
30	тем не менее	6	12
31	одно и то	2	12
32	в том чтобы	2	12
33	и то же	2	12
34	только тогда когда	2	11
35	в том числе	3	10
36	но вместе с	4	10
37	том числе и	2	10
38	мы видим в	2	9
39	приводит нас к	5	9
40	как и в	4	9
41	что и в	3	8
42	то что он	2	8
43	о том как	4	7
44	и вместе с	3	7
45	и таким образом	2	6
46	в том смысле	2	6
47	совершенно так же	3	6
48	если бы мы	3	6
49	чем перейти к	2	5
50	мы знаем что	8	5
51	но все же	6	5
52	на этой стадии	4	5
53	таким образом мы	3	5
54	так как он	2	5
55	как мы увидим	4	5
56	так как в	3	5
57	не только в	2	5
58	после того как	4	4
59	но и в	2	4
60	таким образом в	2	4
61	так и в	2	4
62	но так как	3	4
63	не потому что	2	4
64	мы видим что	4	4
65	здесь мы видим	2	3
66	то здесь мы	2	3
67	мы имеем в	2	3
68	но мы знаем	3	3
69	привели нас к	2	3
70	на том что	3	3
71	во всех этих	2	2
72	наряду с этим	3	2
73	это приводит нас	3	2
74	мы не знаем	2	2
75	даже если бы	2	2
76	он не может	2	2
77	в этих случаях	7	2
78	в свете этих	2	2
79	что у него	2	2
80	мы увидим ниже	4	2
81	здесь мы имеем	4	2
82	здесь как и	2	2
83	мы уже видели	2	2
