N	2gram	Bakhtin_Pr	Vladivir
1	и в	38	116
2	то что	8	71
3	и не	42	67
4	не только	9	65
5	в этом	15	53
6	в том	8	52
7	том что	3	51
8	что в	7	48
9	но и	9	47
10	в его	43	40
11	и с	17	39
12	то есть	46	37
13	сказать что	4	36
14	и даже	3	36
15	также и	3	36
16	что он	2	32
17	не может	27	31
18	о том	4	30
19	только в	13	30
20	никогда не	5	29
21	как мы	7	29
22	вовсе не	2	27
23	а в	6	27
24	не было	2	26
25	в то	4	25
26	но в	4	25
27	в себе	4	25
28	а к	2	25
29	и его	16	25
30	точки зрения	8	23
31	может быть	26	23
32	он не	3	23
33	в виде	2	22
34	кроме того	3	22
35	ни в	11	22
36	в своей	7	21
37	в своем	5	20
38	прежде всего	13	20
39	и что	2	20
40	и потому	4	19
41	и вообще	2	19
42	так и	5	19
43	не менее	4	19
44	в дальнейшем	3	19
45	по поводу	2	19
46	таким образом	10	19
47	тем не	3	19
48	не в	7	18
49	как это	2	18
50	как и	7	18
51	хотя и	3	18
52	с его	2	18
53	едва ли	3	17
54	что и	2	17
55	у нас	2	17
56	а не	5	17
57	все же	6	16
58	того что	2	16
59	было бы	8	16
60	и все	3	16
61	в котором	2	16
62	не есть	6	16
63	в связи	2	15
64	но это	3	15
65	к этому	2	15
66	несмотря на	3	15
67	то же	5	15
68	в своих	2	15
69	и к	3	15
70	все эти	5	14
71	и как	8	14
72	и на	3	14
73	раз и	2	14
74	можно сказать	2	13
75	да и	3	13
76	и от	3	13
77	что это	2	13
78	дело в	2	13
79	во всем	2	13
80	есть только	2	12
81	и у	2	12
82	ничего не	6	12
83	в нем	15	12
84	связи с	2	12
85	и это	3	12
86	мы должны	2	11
87	и о	5	11
88	я не	2	11
89	при этом	5	11
90	все это	3	11
91	в данном	4	11
92	хотя бы	4	11
93	и здесь	2	11
94	на то	2	11
95	к нему	10	10
96	в ней	4	10
97	что все	2	10
98	в истории	2	10
99	в россии	2	10
100	можно было	4	10
101	еще не	7	10
102	но не	12	10
103	в самом	7	10
104	отнюдь не	19	10
105	с точки	6	10
106	здесь не	4	10
107	с ним	5	10
108	это не	5	9
109	но как	2	9
110	смысле слова	2	9
111	а только	2	9
112	в целом	3	9
113	в начале	2	9
114	по существу	2	9
115	ни с	2	9
116	с другой	7	9
117	этом смысле	3	9
118	же время	3	9
119	отношения к	6	9
120	мы будем	3	9
121	отношение к	10	8
122	в чем	2	8
123	себя в	2	8
124	как бы	22	8
125	и он	2	8
126	должно быть	5	8
127	тем что	2	8
128	в этих	2	8
129	как в	4	8
130	и для	11	8
131	конечно не	5	8
132	к его	2	7
133	другими словами	2	7
134	не имеет	9	7
135	того чтобы	2	7
136	здесь мы	2	7
137	за пределы	12	7
138	если бы	3	7
139	или как	3	7
140	на первый	2	7
141	в таком	3	7
142	и есть	2	7
143	первый план	2	7
144	в нашем	4	7
145	в них	5	7
146	данном случае	4	6
147	его в	9	6
148	в отличие	5	6
149	есть не	2	6
150	том же	2	6
151	к своему	2	6
152	в виду	4	6
153	отличие от	5	6
154	здесь в	2	6
155	можно говорить	2	6
156	другой стороны	4	6
157	на него	3	6
158	и наконец	6	6
159	для того	2	6
160	не с	4	6
161	чем в	2	6
162	но она	2	5
163	и прежде	5	5
164	и тем	3	5
165	в их	10	5
166	в частности	2	5
167	она не	2	5
168	можно только	6	5
169	только при	2	5
170	последние годы	2	5
171	место в	8	5
172	как нечто	3	5
173	то ни	3	5
174	в области	11	5
175	бы то	3	5
176	все то	3	5
177	мы имеем	2	5
178	во всех	11	5
179	далеко не	5	5
180	не вполне	2	5
181	в свою	2	5
182	и только	4	5
183	не к	6	5
184	в каких	2	5
185	всех своих	2	4
186	на самом	4	4
187	тем самым	4	4
188	о которых	2	4
189	не могут	2	4
190	для нее	8	4
191	в тех	3	4
192	не будем	3	4
193	ясно что	3	4
194	которых мы	4	4
195	как к	2	4
196	не могли	2	4
197	и других	2	4
198	совершенно не	7	4
199	одной из	3	4
200	и т	14	4
201	в более	4	4
202	одной стороны	3	4
203	есть его	3	4
204	и во	2	4
205	себя и	3	4
206	но зато	2	4
207	и эта	2	4
208	независимо от	13	4
209	не все	2	4
210	но нельзя	2	4
211	мы можем	6	4
212	мы увидим	3	4
213	и весь	2	4
214	лишь в	2	4
215	ни к	2	4
216	в особенности	2	4
217	этом отношении	2	4
218	не на	5	4
219	и другие	2	4
220	с одной	3	4
221	и более	2	4
222	нет и	3	4
223	на этом	2	4
224	же самое	2	4
225	но с	3	4
226	является как	2	4
227	не имеют	2	3
228	можно и	2	3
229	от него	3	3
230	и ее	2	3
231	в другом	2	3
232	я должен	2	3
233	между ними	4	3
234	творца и	3	3
235	и при	2	3
236	мы здесь	4	3
237	и вся	2	3
238	точка зрения	3	3
239	самом деле	6	3
240	здесь нет	2	3
241	его не	2	3
242	не больше	3	3
243	для понимания	2	3
244	значение для	3	3
245	не нужно	5	3
246	что не	4	3
247	здесь же	2	3
248	и др	8	3
249	отметить что	7	3
250	произведения как	8	3
251	с ними	4	3
252	только как	6	3
253	особенно в	2	3
254	с самим	2	3
255	отличается от	2	3
256	только его	3	3
257	человека как	2	3
258	себе не	2	3
259	в мире	3	3
260	на почве	3	3
261	все что	3	3
262	в какой	2	3
263	оно не	3	3
264	говорить и	2	3
265	о значении	4	3
266	этой области	2	3
267	была бы	2	3
268	человека в	2	2
269	но можно	2	2
270	должно иметь	2	2
271	бытия в	3	2
272	слова не	3	2
273	том как	2	2
274	не является	3	2
275	одна из	2	2
