N	3gram	Medvedev_V	Mirosoze
1	не может быть	8	28
2	в том что	5	9
3	это и есть	3	9
4	для того чтобы	3	7
5	о том что	3	6
6	вместе с тем	4	6
7	после того как	2	5
8	до сих пор	2	5
9	не было бы	4	5
10	от того что	2	4
11	по отношению к	7	4
12	в конце концов	2	4
13	можно было бы	2	4
14	во всяком случае	2	3
15	в своем творчестве	3	3
16	не может не	2	3
17	и никогда не	2	3
18	к тому что	4	3
19	также и в	2	3
20	т е в	2	2
21	подобно тому как	3	2
22	в этом отношении	14	2
23	не только в	2	2
24	хотя бы и	5	2
25	не могут быть	4	2
26	и не может	2	2
27	бы и не	3	2
