N	2gram	Propp_Russ	Istorich
1	и в	59	181
2	и т	13	160
3	т д	12	142
4	т е	41	133
5	может быть	14	115
6	не только	28	114
7	что он	2	111
8	мы имеем	7	102
9	что в	35	90
10	но и	20	85
11	в этом	18	81
12	так как	25	75
13	то что	10	73
14	таким образом	10	72
15	вместе с	16	71
16	в лесу	9	68
17	и не	6	67
18	все же	7	65
19	мы видим	2	65
20	в этих	3	64
21	еще не	7	63
22	не может	6	61
23	так же	7	57
24	то же	6	56
25	в том	33	53
26	том что	33	53
27	в лес	4	53
28	а в	16	52
29	потому что	15	52
30	что и	8	51
31	и что	8	51
32	и здесь	3	51
33	мы видели	3	49
34	о том	14	48
35	а не	3	48
36	его в	9	47
37	не в	2	47
38	мы должны	3	44
39	но в	5	44
40	и пр	4	44
41	это не	14	43
42	и его	2	43
43	в нем	3	42
44	показывает что	9	42
45	только в	4	42
46	как в	10	42
47	этот случай	2	42
48	представление о	5	41
49	или в	7	39
50	в его	3	38
51	для нас	12	38
52	тем что	7	38
53	и на	14	38
54	что здесь	4	37
55	так и	8	37
56	уже не	9	37
57	как и	19	37
58	мы уже	2	37
59	мы можем	2	36
60	мы увидим	8	36
61	здесь мы	3	35
62	с тем	14	35
63	что они	8	35
64	все эти	5	35
65	мы не	11	35
66	не всегда	4	34
67	во время	23	34
68	что это	4	34
69	но не	7	34
70	а именно	2	34
71	связи с	6	34
72	у него	2	34
73	представления о	2	33
74	там где	3	33
75	же как	5	33
76	об этом	11	33
77	в качестве	5	32
78	так в	5	31
79	представляет собой	5	31
80	ничего не	4	31
81	прежде всего	2	31
82	один из	10	31
83	с этим	4	30
84	к нему	3	30
85	но все	3	29
86	как мы	11	29
87	этом случае	9	29
88	но это	5	29
89	например в	3	28
90	что она	4	28
91	и другие	24	28
92	в обряде	3	28
93	и с	12	28
94	как он	2	27
95	так что	4	27
96	в образе	3	27
97	того что	6	27
98	могут быть	3	27
99	мы здесь	2	26
100	в ней	3	26
101	как это	11	26
102	и др	4	26
103	представляют собой	13	26
104	предположить что	5	26
105	вопрос о	4	25
106	в дальнейшем	2	25
107	раньше чем	2	24
108	было бы	3	24
109	в виде	10	24
110	к этому	7	24
111	не менее	3	24
112	на небо	3	24
113	видно что	8	24
114	того как	6	24
115	не будем	5	23
116	все это	12	23
117	когда он	3	23
118	тем не	3	23
119	в доме	2	23
120	в частности	2	23
121	показывают что	3	23
122	в этой	4	23
123	их в	7	23
124	и это	2	23
125	как бы	18	23
126	при этом	11	22
127	и по	10	22
128	с ним	2	22
129	в некоторых	11	22
130	в одном	4	21
131	ее в	7	21
132	должны были	3	21
133	к тому	4	21
134	связано с	3	21
135	в связи	4	21
136	она не	4	20
137	одна из	12	20
138	в свете	5	20
139	в других	24	20
140	из них	12	20
141	после чего	4	20
142	в силу	2	20
143	эта связь	2	20
144	из этих	6	20
145	так например	7	19
146	а затем	5	19
147	и как	2	19
148	после того	3	19
149	что у	3	19
150	с собой	4	19
151	в тех	5	19
152	мы рассмотрим	5	19
153	не совсем	6	19
154	есть и	2	19
155	на то	2	19
156	но он	3	19
157	после этого	6	18
158	что этот	4	18
159	не все	4	18
160	в данном	7	18
161	в дом	10	18
162	в то	3	18
163	нас к	5	17
164	по существу	7	17
165	то и	4	17
166	очень много	2	17
167	в них	10	17
168	дело не	2	17
169	возможно что	2	16
170	этот обряд	7	16
171	всех этих	2	16
172	и действительно	2	16
173	перед нами	2	16
174	и все	4	16
175	между двумя	2	16
176	в котором	2	16
177	этот вопрос	4	16
178	во всех	6	16
179	данном случае	8	15
180	в целом	2	15
181	уже знаем	2	15
182	и то	2	15
183	в особенности	3	15
184	его и	2	15
185	в пределах	2	15
186	друг друга	3	15
187	тот кто	2	15
188	в которых	8	15
189	как будто	6	15
190	но есть	3	15
191	и там	2	15
192	увидим что	2	15
193	что при	2	15
194	у нас	11	14
195	такое же	2	14
196	а также	6	14
197	с этой	2	14
198	в него	2	14
199	должен был	3	14
200	право на	2	14
201	можно было	3	14
202	с ней	7	14
203	из которых	2	14
204	этого обряда	5	14
205	и ее	3	14
206	и наконец	2	14
207	но они	4	14
208	увидим ниже	3	14
209	находится в	3	14
210	на себя	4	14
211	своего рода	3	13
212	что иное	3	13
213	и для	3	13
214	все что	2	13
215	в таких	3	13
216	смерти и	3	13
217	и от	2	13
218	в руки	2	13
219	тогда как	4	13
220	на этом	6	13
221	в своем	3	13
222	или на	11	13
223	и у	5	13
224	не имеет	9	13
225	с ними	6	13
226	эти представления	6	13
227	не просто	3	13
228	в форме	3	13
229	то время	3	13
230	таким же	4	13
231	кроме того	3	12
232	во всем	2	12
233	в их	5	12
234	ответ на	2	12
235	как только	2	12
236	и их	4	12
237	одним из	2	12
238	в более	2	12
239	между прочим	2	12
240	на землю	2	12
241	за ним	3	12
242	чаще всего	3	12
243	случаях когда	2	12
244	в основном	4	12
245	к ней	4	12
246	с обрядом	2	12
247	должно было	5	11
248	от этого	2	11
249	е в	17	11
250	и более	3	11
251	связанные с	5	11
252	главным образом	5	11
253	только с	2	11
254	точки зрения	3	11
255	хотя и	3	11
256	в этот	19	11
257	уже в	2	11
258	иное как	3	11
259	тех случаях	2	11
260	на нее	5	11
261	далеко не	5	11
262	же в	5	11
263	здесь имеем	2	11
264	на которой	2	11
265	д к	11	11
266	некоторое время	2	11
267	не что	3	11
268	такой же	3	11
269	под землей	3	10
270	на этой	3	10
271	в воду	9	10
272	но если	2	10
273	говорит о	3	10
274	к заключению	2	10
275	связанных с	2	10
276	как правило	4	10
277	что эти	2	10
278	ее на	3	10
279	к ним	4	10
280	на земле	3	10
281	их не	2	10
282	там же	15	10
283	и других	9	10
284	можно установить	2	10
285	а с	6	10
286	связаны с	6	10
287	в которой	3	10
288	его к	3	10
289	о чем	7	10
290	в это	4	10
291	а на	8	10
292	от них	4	10
293	не было	3	10
294	не можем	5	10
295	и к	3	10
296	в различных	3	10
297	он должен	2	9
298	к зеленин	8	9
299	сюда же	2	9
300	тот же	2	9
301	силу и	2	9
302	в свою	3	9
303	она в	4	9
304	означает что	2	9
305	тогда когда	4	9
306	по этому	4	9
307	но эти	3	9
308	следующим образом	9	9
309	на этот	3	9
310	этого обычая	5	9
311	очень ясно	2	9
312	что на	5	9
313	на первый	3	9
314	стоит в	3	9
315	том чтобы	3	9
316	или же	2	9
317	дома в	2	9
318	же не	2	9
319	только на	4	9
320	детей и	3	9
321	также не	2	9
322	в течение	7	9
323	и так	2	9
324	приводит к	4	9
325	он же	4	8
326	должен быть	2	8
327	у них	2	8
328	только тогда	3	8
329	одно из	6	8
330	но вместе	3	8
331	для этого	6	8
332	именно в	3	8
333	входит в	4	8
334	тому как	3	8
335	или даже	3	8
336	в отдельности	2	8
337	на другой	2	8
338	обряд и	3	8
339	приводит нас	4	8
340	в жизни	2	8
341	подобно тому	3	8
342	большинстве случаев	2	8
343	но она	3	8
344	и потому	3	8
345	также что	2	8
346	ту же	2	8
347	смерти в	2	8
348	тут же	2	8
349	та же	4	8
350	в целях	4	8
351	в приведенных	2	8
352	и из	3	8
353	с целью	2	8
354	которые в	2	8
355	его с	4	8
356	он был	2	8
357	независимо от	3	8
358	с другими	3	8
359	значит что	2	8
360	не с	5	8
361	на смерть	2	8
362	в земле	6	7
363	на самом	3	7
364	руки и	3	7
365	не противоречит	2	7
366	иногда и	7	7
367	и о	4	7
368	состоит в	18	7
369	того чтобы	6	7
370	если в	3	7
371	как у	2	7
372	еще в	6	7
373	связь между	2	7
374	только у	2	7
375	вплоть до	4	7
376	но эта	2	7
377	когда мы	2	7
378	тому что	4	7
379	составные части	2	7
380	нет в	2	7
381	также в	5	7
382	по всему	2	7
383	в какой	3	7
384	будто бы	10	7
385	землю и	2	7
386	по его	2	7
387	как на	2	7
388	между тем	9	7
389	ее и	2	7
390	на голову	6	7
391	и при	2	7
392	всякого рода	3	7
393	в фольклоре	3	7
394	в эту	3	7
395	не единственный	2	7
396	можно предположить	2	7
397	между собой	4	7
398	этого слова	3	7
399	и и	2	7
400	во многих	14	7
401	становится ясным	2	7
402	из земли	3	7
403	думать что	3	7
404	земли и	5	7
405	в золотой	2	7
406	в области	3	7
407	образом в	2	7
408	заупокойном культе	2	7
409	не столько	3	7
410	на них	4	7
411	и некоторые	3	7
412	в большинстве	2	7
413	с той	2	6
414	для того	6	6
415	а иногда	6	6
416	это показывает	4	6
417	отличие от	4	6
418	из приведенных	3	6
419	как можно	3	6
420	борьбы с	2	6
421	они же	2	6
422	и за	2	6
423	речь будет	2	6
424	не объясняет	5	6
425	домой и	3	6
426	что все	2	6
427	в середине	4	6
428	бросают в	3	6
429	что ее	3	6
430	в русском	4	6
431	будет ниже	2	6
432	на место	2	6
433	заметить что	3	6
434	до того	3	6
435	из леса	6	6
436	быть и	3	6
437	это приводит	2	6
438	его как	2	6
439	не на	2	6
440	в воде	3	6
441	но тем	2	6
442	но что	2	6
443	нечто вроде	2	6
444	должны будем	2	6
445	его от	2	6
446	они и	2	6
447	коня в	2	6
448	к жизни	3	6
449	только по	2	6
450	приведенных материалов	3	6
451	что по	7	6
452	не случайно	2	6
453	что обряд	3	6
454	довольно много	2	6
455	будем здесь	2	6
456	только как	2	5
457	этих обрядов	5	5
458	или не	2	5
459	не имели	2	5
460	только для	3	5
461	представления и	2	5
462	в своих	3	5
463	животных и	4	5
464	это время	4	5
465	иногда в	2	5
466	говорится что	4	5
467	в одно	2	5
468	по своему	2	5
469	для них	5	5
470	описывается как	2	5
471	в ряд	2	5
472	что если	2	5
473	для наших	2	5
474	ее с	2	5
475	наших целей	2	5
476	не означает	2	5
477	основана на	2	5
478	их и	3	5
479	несмотря на	4	5
480	эти обряды	3	5
481	у которых	2	5
482	но даже	2	5
483	в виду	3	5
484	или с	4	5
485	в один	2	5
486	они были	2	5
487	как уже	6	5
488	из воды	5	5
489	леса и	3	5
490	через него	2	5
491	обрядов и	3	5
492	их на	5	5
493	девушки в	3	5
494	что от	4	5
495	этому же	3	5
496	оно не	2	5
497	чтобы они	4	5
498	вокруг него	2	5
499	на все	3	5
500	нас не	3	5
501	этот обычай	15	5
502	других случаях	4	5
503	которые не	3	5
504	при изучении	6	5
505	в таком	5	5
506	в отличие	4	5
507	обрядами и	2	4
508	на берег	2	4
509	и под	4	4
510	и во	2	4
511	в древней	3	4
512	можно сделать	3	4
513	или просто	2	4
514	такую же	2	4
515	себя и	2	4
516	чем в	4	4
517	также на	3	4
518	заключить что	2	4
519	каждый из	3	4
520	так называемая	2	4
521	в разных	3	4
522	такие представления	2	4
523	в народе	2	4
524	или вообще	3	4
525	песни и	7	4
526	и всей	2	4
527	не будут	2	4
528	во всей	2	4
529	с религией	4	4
530	для этой	3	4
531	на колени	2	4
532	что есть	2	4
533	слова в	3	4
534	на деревьях	2	4
535	обряда в	3	4
536	очевидно что	2	4
537	некоторые другие	5	4
538	сообщает что	12	4
539	вывод что	5	4
540	ниже в	3	4
541	в руках	3	4
542	лесу в	2	4
543	встречается и	2	4
544	по материалам	2	4
545	лесу или	3	4
546	чтобы вызвать	3	4
547	который в	2	4
548	на тех	2	4
549	в глаза	3	4
550	как не	2	4
551	иметь в	2	4
552	нас в	2	4
553	живут в	2	4
