N	3gram	Bakhtin_Pr	Marksizm
1	с точки зрения	13	46
2	не может быть	8	25
3	в то же	8	15
4	по отношению к	5	15
5	то же время	8	15
6	в том что	6	14
7	и не может	6	12
8	до сих пор	8	11
9	с самого начала	4	10
10	но в то	3	9
11	в большинстве случаев	9	9
12	может быть и	2	8
13	в отношении к	2	8
14	смысле этого слова	2	7
15	с другой стороны	3	7
16	в смысле совокупности	2	6
17	на то что	2	6
18	как мы уже	5	6
19	той или иной	2	5
20	на этой почве	2	5
21	на самом же	2	5
22	самом же деле	2	5
23	и прежде всего	5	4
24	можно сказать что	6	4
25	о том что	3	4
26	как мы сказали	4	4
27	в нем нет	3	4
28	в зависимости от	3	4
29	тем не менее	2	3
30	более или менее	3	3
31	в пределах одного	6	3
32	друг с другом	6	3
33	в том числе	15	3
34	в авторский контекст	2	3
35	мы не будем	2	3
36	можно было бы	2	3
37	но и в	2	3
38	хотя бы и	2	3
39	выходят за пределы	2	3
40	точки зрения своего	2	3
41	том числе и	13	3
42	смысле совокупности всех	2	3
43	по крайней мере	2	2
44	на чужое слово	2	2
45	в широком смысле	2	2
46	так и в	2	2
47	в эпоху возрождения	6	2
48	как и в	4	2
49	а между тем	2	2
50	мы видели что	2	2
51	является одним из	2	2
52	сама по себе	2	2
53	теперь мы должны	2	2
54	к себе самому	6	2
55	друг от друга	2	2
56	а следовательно и	2	2
57	в собственном смысле	3	2
58	не то что	3	2
59	во всех других	2	2
60	и так сказать	2	2
61	он не знает	2	2
62	в этом смысле	5	2
63	на чужую речь	3	2
64	нет и не	3	2
