N	2gram	Nazirov_Tv	Psycholo
1	то что	9	193
2	и в	40	190
3	в том	13	163
4	что в	17	123
5	потому что	10	114
6	том что	14	113
7	и что	2	108
8	может быть	11	107
9	таким образом	14	102
10	в этом	11	100
11	то есть	16	97
12	все время	3	86
13	в самом	6	82
14	как бы	26	80
15	что он	11	76
16	не только	16	75
17	и не	12	73
18	что она	5	71
19	самом деле	4	70
20	и т	14	69
21	не может	9	68
22	так как	6	63
23	так же	6	63
24	было бы	2	56
25	если бы	4	55
26	то же	19	54
27	о том	9	54
28	при этом	14	52
29	как и	16	51
30	что и	3	50
31	а не	9	50
32	только в	7	46
33	сказать что	3	46
34	по себе	2	46
35	в искусстве	3	45
36	к тому	2	45
37	говорит что	2	45
38	не в	3	45
39	в этой	7	43
40	никогда не	13	42
41	и все	6	42
42	вместе с	4	41
43	как это	2	40
44	но и	10	40
45	при помощи	4	39
46	как раз	2	39
47	того что	3	39
48	т п	4	38
49	и это	2	37
50	мы видим	3	37
51	и как	5	36
52	вовсе не	5	34
53	и если	3	34
54	и его	14	34
55	что все	4	33
56	когда он	4	33
57	все же	9	33
58	тому что	2	33
59	все это	14	32
60	в себе	3	32
61	в ней	2	31
62	мы не	3	31
63	в его	19	31
64	он не	10	31
65	как будто	5	30
66	как в	10	30
67	с одной	2	29
68	в нем	4	29
69	и когда	2	28
70	что они	3	28
71	в основе	3	27
72	с другой	4	27
73	в своих	8	27
74	а в	10	27
75	на деле	3	27
76	и на	12	27
77	так что	4	26
78	и здесь	2	25
79	только что	2	25
80	жизни и	3	25
81	до конца	2	24
82	в целом	7	24
83	указывает на	2	24
84	тем что	2	24
85	в своем	4	23
86	могут быть	4	23
87	что оно	2	23
88	один из	5	23
89	и даже	8	22
90	т д	10	22
91	как она	2	22
92	что у	5	22
93	казалось бы	4	22
94	с этим	2	22
95	между тем	2	22
96	из них	4	22
97	всякий раз	2	22
98	в своей	8	21
99	и вот	2	21
100	в конце	5	21
101	но только	3	21
102	ни в	2	21
103	в котором	8	21
104	в которых	3	21
105	той же	4	21
106	и только	2	21
107	в двух	2	21
108	она не	2	20
109	все эти	3	20
110	в то	23	20
111	тот же	3	20
112	это не	9	20
113	другой стороны	2	20
114	в ее	3	19
115	он говорит	3	19
116	у него	11	19
117	в одном	3	19
118	мы уже	2	19
119	на самом	3	18
120	перед нами	3	18
121	но в	11	18
122	был бы	3	18
123	что с	2	18
124	но не	7	18
125	в которой	5	18
126	с этой	4	18
127	вслед за	2	18
128	есть не	2	18
129	и есть	2	18
130	в виду	3	17
131	одна из	5	17
132	что для	3	17
133	во всяком	2	17
134	у нас	2	17
135	но это	10	17
136	и о	2	17
137	так и	5	16
138	самого начала	3	16
139	та же	4	16
140	не имеет	2	16
141	сводится к	2	16
142	говорит о	3	16
143	и тем	2	16
144	же как	3	16
145	то это	2	16
146	к этому	4	16
147	с самого	3	16
148	в таком	4	16
149	и потому	4	15
150	мы знаем	2	15
151	еще не	5	15
152	не могут	2	15
153	далеко не	3	15
154	только на	2	15
155	в частности	4	15
156	во всех	2	15
157	для него	9	15
158	о котором	2	15
159	что на	3	14
160	не то	2	14
161	хотя бы	5	14
162	столь же	2	14
163	с ним	4	14
164	это и	4	14
165	прежде всего	10	14
166	показывает что	5	14
167	такой же	4	14
168	в жизни	3	14
169	всяком случае	2	14
170	или в	2	14
171	но он	3	14
172	должен был	2	13
173	а с	4	13
174	точка зрения	2	13
175	не могли	2	13
176	именно в	6	13
177	этот вопрос	4	13
178	отнюдь не	9	13
179	едва ли	2	13
180	и он	4	13
181	но если	4	12
182	по самому	2	12
183	того же	2	12
184	действия и	3	12
185	что этот	2	12
186	в нашей	2	12
187	в этих	2	12
188	в рассказе	4	12
189	характера и	3	12
190	может служить	2	12
191	в свою	8	12
192	ничего не	3	12
193	не менее	8	12
194	и другие	4	12
195	что не	5	12
196	и до	2	12
197	например в	3	12
198	я не	5	12
199	это в	3	12
200	об этом	4	12
201	что его	4	12
202	в конечном	4	12
203	и с	9	12
204	и поэтому	2	11
205	как к	2	11
206	отличие от	3	11
207	так например	3	11
208	не будет	2	11
209	ли это	2	11
210	и других	5	11
211	его в	2	11
212	была бы	2	11
213	с его	12	11
214	конечном счете	4	11
215	на этот	3	11
216	уже в	5	11
