N	2gram	Berdyaev_V	formyVre
1	и в	16	148
2	в этом	4	73
3	в нем	4	51
4	прежде всего	2	46
5	и т	2	40
6	и не	20	37
7	в его	4	36
8	но и	5	33
9	не только	2	32
10	но в	3	31
11	жизни и	3	31
12	так и	4	29
13	не в	3	26
14	как и	4	25
15	как бы	5	25
16	только в	2	23
17	то что	9	22
18	в том	3	22
19	все эти	3	21
20	во всех	3	21
21	и для	3	19
22	и все	4	18
23	еще не	8	18
24	человека и	6	17
25	так как	9	17
26	и во	2	16
27	никогда не	3	15
28	в них	3	15
29	лишь в	3	15
30	с его	3	15
31	все это	5	14
32	в конце	3	14
33	а не	7	14
34	а в	2	13
35	того чтобы	2	13
36	в котором	4	13
37	с ним	2	13
38	в истории	8	12
39	не было	3	12
40	конечно не	2	12
41	но не	2	12
42	потому что	4	12
43	что в	3	12
44	в образе	4	11
45	в ней	4	11
46	хотя и	5	11
47	ни в	3	11
48	тот же	3	10
49	уже не	2	10
50	могут быть	2	9
51	всего в	2	9
52	том что	2	9
53	должно быть	3	9
54	мира в	2	9
55	и это	2	9
56	для него	2	9
57	их в	3	9
58	оно не	3	9
59	это не	2	8
60	и потому	7	8
61	к тому	3	8
62	один из	2	8
63	что и	3	8
64	во всяком	2	8
65	и то	2	8
66	в этих	3	8
67	в жизни	3	8
68	в мире	5	8
69	того что	5	7
70	этого мира	3	7
71	т д	2	7
72	ее в	2	7
73	нет ничего	3	7
74	в форме	2	7
75	в себя	2	7
76	не могут	2	6
77	с тем	2	6
78	мы не	2	6
79	нет и	2	6
80	все что	4	6
81	уже на	2	6
82	что было	2	6
83	от этого	3	5
84	что все	4	5
85	что они	7	5
86	и они	3	5
87	хотя бы	3	5
88	в своей	3	5
89	тем что	2	5
90	дороги и	2	5
91	не имеет	3	5
92	да и	2	5
93	мы и	2	5
94	от него	2	4
95	что он	4	4
96	людей и	2	4
97	в чем	3	4
98	что не	4	4
99	для них	2	4
100	нем нет	2	4
101	в последнем	2	4
102	все равно	2	4
103	мир и	2	4
104	его к	2	3
105	но мы	2	3
106	жизни все	2	3
107	в человека	2	3
108	тому что	3	3
109	но это	3	3
110	над ними	2	3
111	вот почему	2	3
112	одна из	2	3
113	не могли	2	3
114	бы и	3	3
115	в прошлом	2	3
116	в первый	3	3
117	на земле	7	3
118	его и	2	3
119	что есть	5	3
120	если не	3	3
121	что мы	4	3
122	на нас	2	3
123	и есть	4	3
124	не к	2	3
125	что их	2	2
126	ее и	2	2
127	на себя	5	2
128	в духе	2	2
129	когда я	2	2
130	бога и	5	2
131	вера в	2	2
132	мира от	4	2
133	его не	2	2
134	которой они	2	2
135	они и	2	2
136	мы это	2	2
137	и против	3	2
138	по этому	3	2
139	до того	2	2
140	на этих	2	2
141	и тогда	2	2
142	их жизнь	2	2
143	и последнее	2	2
144	для нас	2	2
145	должна быть	3	2
146	личности и	3	2
147	что во	3	2
148	говорить о	4	2
149	и сам	2	2
