N	3gram	Vygotskiy_	slovoVRo
1	не может быть	4	19
2	с точки зрения	12	15
3	в отличие от	3	14
4	с одной стороны	10	11
5	в этом случае	5	9
6	во всяком случае	2	8
7	в зависимости от	2	8
8	не может не	3	6
9	с другой стороны	8	6
10	но все же	2	6
11	в том что	33	5
12	в этом отношении	7	5
13	как мы уже	2	5
14	по отношению к	19	5
15	одной стороны и	2	4
16	в лучшем случае	3	4
17	на первый план	2	4
18	для того чтобы	20	4
19	друг с другом	10	4
20	таким образом в	2	4
21	и не может	3	4
22	до сих пор	3	4
23	можно сказать что	7	4
24	в свою очередь	4	4
25	не могут быть	3	4
26	в другом случае	2	3
27	как мы видели	4	3
28	к тому что	5	3
29	включает в себя	2	3
30	в собственном смысле	2	3
31	между этими двумя	2	3
32	в данном случае	3	3
33	в связи с	6	3
34	тех или иных	2	3
35	сама по себе	4	3
36	и в частности	3	2
37	а не как	2	2
38	не только не	7	2
39	мы не можем	2	2
40	же как и	2	2
41	его отношение к	3	2
42	в первом случае	2	2
43	мы уже говорили	2	2
44	о том что	7	2
45	можно было бы	8	2
46	в то время	4	2
47	в известном смысле	7	2
48	с самого начала	8	2
49	этой точки зрения	7	2
50	то время как	4	2
51	с этой точки	7	2
52	но в этом	2	2
53	и в другом	3	2
54	как уже сказано	3	2
55	на каждом шагу	3	2
