N	3gram	Savitsky_E	Psycholo
1	в том что	6	78
2	для того чтобы	5	70
3	на то что	2	55
4	заключается в том	2	36
5	с точки зрения	16	29
6	с одной стороны	8	28
7	не может быть	2	23
8	с другой стороны	2	20
9	во всяком случае	3	14
10	так же как	5	14
11	в этом отношении	3	14
12	само по себе	4	14
13	можно было бы	3	13
14	заключает в себе	3	13
15	и в этом	4	13
16	этой точки зрения	5	12
17	то что в	2	11
18	по сравнению с	2	11
19	только в том	2	10
20	с этой точки	5	10
21	к тому чтобы	2	10
22	в данном случае	2	9
23	друг с другом	3	8
24	в свою очередь	2	7
25	можно сказать что	3	7
26	в этом смысле	3	7
27	того или иного	4	6
28	по себе не	2	6
29	не только в	4	6
30	сказать что в	2	5
31	же как и	3	5
32	нам кажется что	2	5
33	и в частности	2	5
34	из того что	2	4
35	в применении к	3	4
36	бы то ни	4	3
37	в то же	15	3
38	в отношении к	12	3
39	то же время	14	3
40	между тем в	3	3
41	друг от друга	2	3
42	дело идет о	2	3
43	той или иной	4	2
44	как мы видели	2	2
45	тому или иному	2	2
46	так и в	2	2
47	и все другие	2	2
48	то ни было	4	2
49	того что в	2	2
50	очевидно что в	2	2
51	имеет место в	2	2
52	в одном из	2	2
53	выпадает на долю	2	2
54	и только в	2	2
55	одной стороны и	6	2
