N	3gram	Tiupa_Anal	Hudozhes
1	по отношению к	9	10
2	в том что	12	8
3	присутствия в мире	5	7
4	в то же	7	7
5	я в мире	7	7
6	в отличие от	5	7
7	то же время	7	7
8	присутствия я в	5	6
9	с другой стороны	7	6
10	в конечном счете	5	5
11	состоит в том	2	5
12	той или иной	6	5
13	так и не	5	4
14	так или иначе	5	4
15	и его внешней	2	4
16	роли в миропорядке	5	4
17	факторов художественного впечатления	4	4
18	того или иного	5	4
19	не может быть	2	4
20	тот или иной	3	3
21	с точки зрения	2	3
22	с одной стороны	3	3
23	тем не менее	3	3
24	подобно тому как	3	3
25	можно сказать что	2	3
26	и того же	4	3
27	кадров внутреннего зрения	3	3
28	одного и того	4	3
29	всех без исключения	3	3
30	в слове о	2	2
31	внутренней и внешней	2	2
32	и прежде всего	2	2
33	внутренняя граница личности	2	2
34	до известной степени	3	2
35	в русской литературе	5	2
36	либо в сторону	2	2
37	тем или иным	2	2
38	в противном случае	2	2
39	в известном смысле	2	2
40	позволяет говорить о	2	2
41	в имени тебе	3	2
42	и в форме	2	2
43	о полку игореве	3	2
44	не в самом	2	2
45	в таком случае	2	2
46	его эстетической доминантой	2	2
47	сказания или анекдота	2	2
48	так лирический герой	2	2
49	войне и мире	2	2
50	стихотворении пушкина что	2	2
51	как к содержанию	2	2
52	что в имени	3	2
53	в значительной степени	3	2
54	как уже говорилось	2	2
55	том что он	2	2
56	мы имеем дело	4	2
57	в единое целое	2	2
58	включает в себя	2	2
59	в войне и	2	2
60	я с его	2	2
61	слове о полку	2	2
62	отношения к сообщаемому	2	2
63	кто говорит и	2	2
64	в равной степени	2	2
65	однако при этом	2	2
66	сама по себе	3	2
67	в тарасе бульбе	3	2
68	со стороны адресата	2	2
69	в миропорядке судьбы	2	2
70	в свою очередь	7	2
71	индивидуального речевого замысла	2	2
72	в основе своей	2	2
73	в той или	2	2
74	пушкина что в	3	2
