N	2gram	Berdyaev_M	Poddanst
1	не только	42	17
2	и в	61	14
3	и не	26	12
4	в этом	34	10
5	в отношении	6	10
6	но в	12	9
7	то же	4	9
8	в том	9	9
9	хотя бы	8	8
10	в то	2	7
11	только в	7	7
12	быть может	9	6
13	в судьбах	3	6
14	но и	34	6
15	было бы	11	6
16	в ней	23	6
17	xix века	4	6
18	не в	16	5
19	в которых	5	5
20	отношении к	4	5
21	может быть	42	5
22	по себе	2	4
23	что в	12	4
24	если бы	5	4
25	но также	2	4
26	на пути	4	4
27	и потому	17	4
28	в своем	17	4
29	том что	7	4
30	в котором	9	4
31	на путях	4	4
32	в русской	4	4
33	и к	9	4
34	как бы	10	4
35	то что	10	4
36	не может	39	4
37	революция есть	2	4
38	а в	4	4
39	русская революция	2	4
40	и как	3	3
41	с тем	10	3
42	но не	8	3
43	это не	10	3
44	т е	5	3
45	в россии	2	3
46	мы не	2	3
47	я и	3	3
48	для того	4	3
49	в себе	12	3
50	точки зрения	6	3
51	потому что	25	3
52	в нем	26	3
53	между тем	2	3
54	и без	2	3
55	она есть	3	3
56	могут быть	2	3
57	прежде всего	18	3
58	хотя и	2	3
59	для нас	3	2
60	должно быть	5	2
61	не о	2	2
62	в них	5	2
63	мира с	2	2
64	в жизни	7	2
65	в мире	12	2
66	было в	3	2
67	если в	2	2
68	есть не	9	2
69	отношения к	6	2
70	для них	3	2
71	не к	6	2
72	и мы	2	2
73	только это	2	2
74	и это	16	2
75	более чем	3	2
76	духа и	6	2
77	и достоевского	2	2
78	и других	2	2
79	в его	10	2
80	с этим	4	2
81	по сравнению	3	2
82	и вот	7	2
83	бы ни	2	2
84	в европе	2	2
85	русской революции	3	2
86	в начале	2	2
87	еще более	3	2
88	все это	6	2
89	но к	2	2
90	а не	36	2
91	не было	25	2
92	мысль о	2	2
93	и есть	21	2
94	и с	6	2
95	может ли	2	2
96	во всех	3	2
97	в ее	3	2
98	заключает в	3	2
99	есть в	3	2
100	в сфере	2	2
101	к чему	5	2
102	в значительной	2	2
103	того что	13	2
104	думать что	4	2
