N	3gram	Trubetskoy	KulturaY
1	для того чтобы	7	38
2	с точки зрения	8	36
3	в том что	16	33
4	в самом деле	5	29
5	во всяком случае	2	19
6	тем не менее	4	19
7	с другой стороны	4	17
8	до сих пор	15	14
9	по отношению к	11	13
10	в связи с	3	12
11	не может быть	4	11
12	о том что	4	10
13	вместе с тем	3	9
14	на самом деле	7	8
15	в этом случае	4	8
16	в том случае	4	7
17	а с другой	2	7
18	с одной стороны	2	7
19	в свою очередь	2	7
20	в то же	2	6
21	к тому же	5	6
22	то же время	2	6
23	но все же	2	5
24	что же касается	2	5
25	более или менее	8	5
26	в данном случае	3	5
27	одного и того	3	4
28	том что он	2	4
29	в этой области	4	4
30	заключается в том	3	4
31	так же как	3	4
32	лишь в том	5	4
33	на то что	7	4
34	в том и	2	4
35	так или иначе	5	4
36	только то что	2	4
37	и того же	3	4
38	в настоящее время	3	3
39	при этом что	2	3
40	о котором идет	5	3
41	в то время	2	3
42	том случае если	4	3
43	в конце концов	4	3
44	естественно поэтому что	3	3
45	принять во внимание	2	3
46	бы то ни	3	2
47	с течением времени	4	2
48	друг от друга	6	2
49	мы знаем что	7	2
50	а следовательно и	2	2
51	таким образом в	3	2
52	может быть и	4	2
53	ответить на вопрос	2	2
54	ничего общего с	2	2
55	несмотря на то	2	2
56	в вопросе о	2	2
57	того чтобы быть	2	2
58	рано или поздно	2	2
59	и в том	2	2
60	каждый данный момент	3	2
61	в каждый данный	4	2
62	лишь тогда когда	2	2
63	котором идет речь	5	2
64	по сравнению с	5	2
