N	2gram	Savitsky_P	StatiiOP
1	и в	14	103
2	в том	9	89
3	том что	4	77
4	в этом	10	76
5	что в	4	74
6	не только	17	60
7	и т	3	51
8	но и	6	46
9	то что	4	44
10	в его	2	42
11	и не	12	41
12	может быть	5	38
13	т е	3	33
14	было бы	6	32
15	все это	2	29
16	а в	4	27
17	а не	2	27
18	но в	9	26
19	не в	5	23
20	точки зрения	3	23
21	потому что	3	23
22	того что	2	22
23	в области	11	22
24	прежде всего	3	22
25	для того	3	22
26	и пр	5	21
27	это не	3	20
28	в то	7	19
29	только в	7	19
30	не может	4	18
31	но также	4	18
32	с другой	5	18
33	в котором	4	18
34	между прочим	2	17
35	в россии	3	17
36	как на	2	17
37	как бы	4	17
38	в русской	4	17
39	г и	2	16
40	с этим	2	16
41	в ней	6	16
42	если бы	4	16
43	в статье	2	16
44	в отношении	10	15
45	с тем	3	15
46	например в	2	15
47	как раз	2	15
48	между тем	3	14
49	то же	9	14
50	с точки	3	14
51	в своем	4	13
52	со стороны	2	13
53	в качестве	9	13
54	в нем	3	13
55	именно в	2	13
56	из них	2	13
57	не менее	2	12
58	хотя бы	8	12
59	и с	2	11
60	в них	2	11
61	не было	2	11
62	в частности	2	10
63	xix века	6	10
64	не столько	2	10
65	в начале	2	10
66	во всех	2	10
67	но не	3	10
68	же время	7	10
69	д д	2	9
70	и к	4	9
71	для нас	2	9
72	что мы	3	9
73	и тем	2	9
74	и это	2	9
75	могут быть	3	8
76	в общем	2	8
77	а также	4	8
78	и о	5	8
79	заключается в	3	8
80	еще более	2	8
81	в которых	5	8
82	в виде	2	7
83	в эту	2	7
84	тем более	2	7
85	в ее	2	7
86	по себе	4	7
87	в себе	3	6
88	мы не	3	6
89	в жизни	2	6
90	говорить о	2	6
91	не о	2	5
92	и потому	4	5
93	одной стороны	3	5
94	отношении к	5	5
95	думать что	2	5
96	хотя и	3	5
97	с одной	3	5
98	столь же	3	5
99	и если	4	5
100	сомнения что	2	5
101	одна из	2	4
102	в выборе	2	4
103	с о	2	4
104	культуры в	2	4
105	и без	3	4
106	да и	2	4
107	если в	2	4
108	сами по	3	4
109	есть в	2	4
110	в значительной	2	4
111	более чем	2	4
112	в смысле	6	4
113	к л	3	3
114	и других	2	3
115	и как	3	3
116	том числе	2	3
117	и и	2	3
118	бы ни	2	3
119	россии в	5	3
120	е с	6	3
121	во всей	2	3
122	что из	2	3
123	является в	2	3
124	я и	3	3
125	в русском	2	3
126	русский народ	2	3
127	отношения к	2	3
128	не к	2	3
129	тем самым	3	2
130	г о	4	2
131	в русскую	2	2
132	где в	2	2
133	в определенную	2	2
134	на пути	4	2
135	тех кто	4	2
136	нужно было	2	2
137	в сочетании	2	2
138	в полной	2	2
139	для них	2	2
140	л и	4	2
141	было в	2	2
142	в обстановке	7	2
143	тот же	3	2
144	в которую	2	2
145	никак не	2	2
146	исключительно в	2	2
147	время в	2	2
148	мысль о	2	2
149	сравнении с	3	2
150	и вот	2	2
151	п о	5	2
152	в пределах	8	2
153	х и	2	2
154	в последние	2	2
155	но к	2	2
156	л а	2	2
157	о в	5	2
158	россии и	4	2
159	одних и	2	2
