N	3gram	Vygotskiy_	EvropaiC
1	в том что	21	16
2	до сих пор	8	15
3	более или менее	3	8
4	с точки зрения	12	8
5	на самом деле	6	7
6	мы знаем что	3	7
7	для того чтобы	11	7
8	на то что	12	7
9	по сравнению с	3	5
10	в самом деле	13	5
11	том случае если	2	4
12	в том случае	3	4
13	тем не менее	6	4
14	с другой стороны	7	4
15	в конце концов	6	4
16	в этой области	3	4
17	о том что	9	4
18	не может быть	14	4
19	вместе с тем	3	3
20	бы то ни	2	3
21	так же как	8	3
22	в настоящее время	2	3
23	в целом ряде	2	3
24	не в состоянии	4	3
25	таким образом в	2	3
26	в связи с	2	3
27	заключается в том	13	3
28	и то что	3	3
29	он не может	3	2
30	то что у	3	2
31	с одной стороны	6	2
32	заключает в себе	3	2
33	во всяком случае	7	2
34	и в том	2	2
35	в том и	4	2
36	в то время	6	2
37	в том виде	2	2
38	но так как	2	2
39	то же время	2	2
40	как и в	5	2
41	том что он	2	2
42	в то же	2	2
43	именно потому что	2	2
44	принять во внимание	2	2
45	только то что	2	2
46	несмотря на то	2	2
47	в свою очередь	3	2
