N	2gram	Medvedev_F	StatiiOP
1	и в	54	103
2	в том	17	89
3	том что	3	77
4	в этом	39	76
5	что в	10	74
6	не только	14	60
7	и т	22	51
8	но и	18	46
9	то что	14	44
10	что он	8	42
11	в его	30	42
12	и не	34	41
13	может быть	30	38
14	т е	50	33
15	было бы	10	32
16	т д	11	32
17	в этой	10	31
18	вовсе не	18	31
19	все это	11	29
20	тем что	6	29
21	таким образом	28	28
22	а в	11	27
23	а не	11	27
24	но в	9	26
25	так и	24	25
26	этом отношении	7	24
27	и его	27	24
28	все же	8	23
29	не в	16	23
30	так что	2	23
31	точки зрения	21	23
32	потому что	2	23
33	того что	7	22
34	в области	6	22
35	прежде всего	34	22
36	для того	3	22
37	у нас	6	22
38	в которой	5	22
39	как в	12	22
40	того чтобы	4	21
41	и пр	30	21
42	это не	4	20
43	до сих	7	20
44	т п	11	19
45	в то	14	19
46	сих пор	7	19
47	в своей	16	19
48	только в	6	19
49	не может	26	18
50	с другой	8	18
51	в котором	2	18
52	он не	8	18
53	в году	2	17
54	самом деле	12	17
55	в россии	4	17
56	в данном	2	17
57	как на	5	17
58	в самом	17	17
59	как бы	10	17
60	с этим	6	16
61	сказать что	3	16
62	в ней	15	16
63	если бы	8	16
64	в статье	5	16
65	в этих	3	16
66	в отношении	3	15
67	с тем	11	15
68	как и	18	15
69	для него	9	15
70	другой стороны	5	15
71	из этих	4	15
72	и на	10	15
73	как раз	8	15
74	была бы	4	14
75	так например	3	14
76	к тому	6	14
77	между тем	4	14
78	то же	16	14
79	но все	4	14
80	с точки	17	14
81	и что	2	14
82	в своем	12	13
83	в конце	2	13
84	со стороны	7	13
85	тому что	3	13
86	но это	4	13
87	в качестве	2	13
88	в нем	25	13
89	во всяком	6	13
90	в языке	5	13
91	именно в	12	13
92	из них	5	13
93	всяком случае	6	13
94	в той	3	13
95	жизни и	10	13
96	вместе с	8	13
97	не менее	12	12
98	что они	4	12
99	так как	4	12
100	в первой	2	12
101	хотя бы	10	12
102	ни в	3	12
103	в своих	3	12
104	никогда не	6	11
105	вопрос о	3	11
106	и с	17	11
107	в другом	2	11
108	должна была	2	11
109	в них	4	11
110	все эти	12	11
111	и по	3	11
112	из его	2	11
113	это было	3	11
114	на то	2	11
115	не было	7	11
116	ясно что	3	11
117	на самом	8	10
118	так же	5	10
119	в виду	2	10
120	а как	5	10
121	в частности	4	10
122	ничего не	5	10
123	не столько	5	10
124	в целом	7	10
125	что и	10	10
126	отметить что	2	10
127	в истории	10	10
128	во всех	9	10
129	во второй	3	10
130	кроме того	3	10
131	но не	5	10
132	что такое	2	10
133	же время	13	10
134	но он	2	10
135	в каждом	3	9
136	в чем	2	9
137	что же	6	9
138	несмотря на	2	9
139	место в	8	9
140	по этому	2	9
141	там где	3	9
142	можно сказать	2	9
143	вряд ли	2	9
144	в одном	2	9
145	не является	3	9
146	с этой	4	9
147	и для	5	9
148	и к	7	9
149	что эта	2	9
150	и тем	3	9
151	и это	4	9
152	до конца	9	8
153	при помощи	2	8
154	могут быть	7	8
155	отношение к	4	8
156	к которому	2	8
157	в их	16	8
158	к сожалению	2	8
159	и др	8	8
160	той же	2	8
161	в общем	8	8
162	в какой	3	8
163	связи с	12	8
164	к этому	3	8
165	в результате	8	8
166	тем не	2	8
167	и даже	7	8
168	должен был	3	8
169	но ведь	4	8
170	совершенно не	5	8
171	такой же	2	8
172	п в	2	8
173	и о	3	8
174	и более	4	8
175	не имеет	2	8
176	еще более	6	8
177	данном случае	2	7
178	конце концов	2	7
179	в виде	2	7
180	одной из	2	7
181	в эту	3	7
182	точка зрения	3	7
183	во втором	7	7
184	как это	8	7
185	в ее	10	7
186	с самого	2	7
187	то в	3	7
188	отличается от	4	7
189	лишь в	15	7
190	еще не	6	7
191	отношению к	4	7
192	что для	3	7
193	по себе	10	7
194	из этого	2	7
195	на почве	20	7
196	представление о	2	7
197	даже в	2	6
198	идет о	3	6
199	в себе	4	6
200	по отношению	4	6
201	должно было	4	6
202	ни одного	2	6
203	должен быть	5	6
204	том смысле	3	6
205	его не	2	6
206	по существу	8	6
207	к нему	3	6
208	в в	2	6
209	и все	9	6
210	что на	3	6
211	на его	2	6
212	языка и	13	6
213	и во	2	6
214	же как	3	6
215	в литературном	2	6
216	с его	12	6
217	независимо от	5	6
218	его как	5	6
219	мы не	6	6
220	и здесь	8	6
221	в особенности	7	6
222	же и	2	6
223	в жизни	3	6
224	ни на	5	6
225	этот вопрос	2	6
226	этом смысле	3	6
227	этих двух	2	6
228	только не	2	6
229	говорить о	4	6
230	в некоторых	2	6
231	тем же	3	6
232	литературного языка	3	6
233	не о	7	5
234	его в	5	5
235	даже не	2	5
236	это и	7	5
237	что именно	2	5
238	как он	2	5
239	нас не	3	5
240	и потому	9	5
241	в основу	2	5
242	не так	4	5
243	не приходится	4	5
244	она была	3	5
245	в сторону	4	5
246	одного из	4	5
247	одной стороны	5	5
248	что не	4	5
249	отношении к	2	5
250	один из	4	5
251	не была	2	5
252	при этом	14	5
253	думать что	4	5
254	в сущности	3	5
255	не на	3	5
256	никто не	2	5
257	должна быть	11	5
258	хотя и	3	5
259	своей статье	5	5
260	самого начала	2	5
261	или иного	8	5
262	того или	6	5
263	всех этих	6	5
264	не как	7	5
265	к ней	3	5
266	целый ряд	4	5
267	не по	4	5
268	не могло	6	5
269	с одной	5	5
270	на нее	2	5
271	том чтобы	3	5
272	нет и	2	5
273	ее в	3	5
274	столь же	2	5
275	и если	2	5
276	уже не	9	5
277	оно не	6	5
278	во многом	2	5
279	в предисловии	3	5
280	конечно не	5	5
281	и только	5	5
282	в слове	4	5
283	поэзии в	3	4
284	очевидно что	2	4
285	не могут	8	4
286	эти вопросы	2	4
287	от его	3	4
288	одна из	2	4
289	в форме	2	4
290	на этом	2	4
291	нисколько не	2	4
292	что оно	4	4
293	еще в	2	4
294	в развитии	2	4
295	всего в	5	4
296	смысле этого	4	4
297	в такой	3	4
298	русского литературного	2	4
299	но как	2	4
300	общего с	2	4
301	они не	7	4
302	состоит в	3	4
303	предисловии к	3	4
304	и те	2	4
305	в процессе	17	4
306	в поэзии	5	4
307	ничего общего	2	4
308	в связи	11	4
309	е в	2	4
310	что было	2	4
311	в первом	8	4
312	в применении	4	4
313	этого термина	2	4
314	этого слова	4	4
315	должны быть	6	4
316	на язык	5	4
317	как мы	10	4
318	литературы и	6	4
319	если в	3	4
320	для этого	6	4
321	не могли	2	4
322	нет в	2	4
323	научной работы	2	4
324	за пределы	2	4
325	в эпоху	2	4
326	значительной степени	3	4
327	сами по	4	4
328	же это	2	4
329	борьба с	5	4
330	в значительной	3	4
331	на него	3	4
332	как о	8	4
333	и их	13	4
334	и другие	3	4
335	а именно	3	4
336	в последнем	2	4
337	материала и	7	4
338	могло бы	2	4
339	и речи	2	4
340	языка не	2	4
341	но для	4	4
342	места в	2	4
343	не для	4	4
344	чем он	3	4
345	а на	2	4
346	языка в	8	4
347	в смысле	2	4
348	или в	2	4
349	в таком	2	4
350	в основе	7	4
351	или иначе	2	4
352	применении к	4	4
353	все более	4	3
354	перед нами	3	3
355	от него	2	3
356	по истории	2	3
357	говорит в	3	3
358	и наконец	7	3
359	вопроса о	2	3
360	в других	5	3
361	связанных с	2	3
362	от того	2	3
363	как к	5	3
364	или же	4	3
365	слово в	2	3
366	всю свою	2	3
367	вот как	3	3
368	и других	4	3
369	он должен	4	3
370	но именно	2	3
371	поэтическим языком	4	3
372	а вовсе	2	3
373	и вся	2	3
374	или менее	7	3
375	его от	5	3
376	движения в	2	3
377	на котором	2	3
378	себе в	2	3
379	поэтического языка	63	3
380	что о	2	3
381	от них	2	3
382	лучшем случае	3	3
383	без всякой	3	3
384	к этим	2	3
385	она не	8	3
386	к этой	4	3
387	и как	6	3
388	только при	2	3
389	даже и	5	3
390	так в	3	3
391	не могла	3	3
392	почти не	2	3
393	не то	3	3
394	совсем не	2	3
395	здесь не	5	3
396	не будет	2	3
397	но эта	2	3
398	и самый	3	3
399	и ее	15	3
400	бы то	4	3
401	к его	3	3
402	в содержании	7	3
403	бы в	6	3
404	все время	7	3
405	то и	2	3
406	и до	8	3
407	а к	2	3
408	от этого	3	3
409	однако и	3	3
410	бы ни	5	3
411	особенно в	6	3
412	при таком	5	3
413	искусства и	5	3
414	к истории	2	3
415	борьбы с	3	3
416	смысле что	2	3
417	каждого из	3	3
418	наконец в	3	3
419	во всей	4	3
420	со всеми	3	3
421	здесь дело	2	3
422	является в	2	3
423	поэтического слова	3	3
