N	3gram	Tiupa_Narr	Vladivir
1	в том что	11	29
2	о том что	3	22
3	тем не менее	6	18
4	дело в том	2	13
5	во всяком случае	2	12
6	в связи с	3	12
7	более или менее	2	11
8	к тому же	8	11
9	в то же	7	10
10	с точки зрения	2	10
11	не может быть	6	10
12	то же время	7	9
13	на то что	2	8
14	точно так же	2	7
15	в данном случае	12	6
16	в отличие от	6	6
17	и в то	2	5
18	не только в	12	5
19	можно сказать что	5	4
20	в этом отношении	5	4
21	с одной стороны	5	4
22	для того чтобы	4	4
23	на себя внимание	3	3
24	в самом деле	3	3
25	у нас нет	2	3
26	так и не	2	3
27	не только не	2	3
28	а с другой	2	3
29	к тому что	4	3
30	хотя и не	2	3
31	не только на	2	3
32	в свою очередь	2	3
33	а в том	2	3
34	и то же	2	2
35	об этом и	2	2
36	в ответ на	3	2
37	до сих пор	3	2
38	одно и то	2	2
39	и все же	4	2
40	обращает на себя	3	2
41	что у него	2	2
