N	2gram	Medvedev_V	Otkroven
1	у него	6	22
2	и в	26	19
3	но и	10	13
4	и не	20	13
5	в этом	29	12
6	не только	26	11
7	человека в	2	11
8	не в	6	11
9	а не	7	11
10	может быть	23	11
11	человека и	3	10
12	в нем	7	10
13	никогда не	5	9
14	не было	7	9
15	прежде всего	13	9
16	и он	3	8
17	ни с	2	7
18	лишь в	2	7
19	в его	15	7
20	он не	2	7
21	как и	7	6
22	все это	13	6
23	для него	9	5
24	а в	3	5
25	в том	15	5
26	о его	2	5
27	него в	3	5
28	в творчестве	3	5
29	достоевского и	2	5
30	в самом	4	5
31	то что	7	5
32	в этой	4	5
33	и его	6	4
34	что в	11	4
35	он сам	2	4
36	того чтобы	3	4
37	все эти	8	4
38	т е	18	4
39	не может	17	4
40	что не	3	4
41	с его	4	4
42	в себе	6	3
43	и от	3	3
44	о том	10	3
45	это не	7	3
46	не могут	10	3
47	что он	4	3
48	было бы	8	3
49	для того	3	3
50	еще не	2	3
51	и есть	5	3
52	в своих	2	3
53	когда он	4	3
54	и ее	4	3
55	как бы	5	3
56	хотя бы	20	3
57	могут быть	8	3
58	того что	3	3
59	сказать что	5	2
60	можно ли	2	2
61	с тем	4	2
62	мысль о	2	2
63	и для	2	2
64	что все	4	2
65	что и	3	2
66	и никогда	2	2
67	ее в	4	2
68	в дневнике	3	2
69	и потому	2	2
70	в ее	4	2
71	в своем	8	2
72	но в	2	2
73	том что	8	2
74	что для	4	2
75	все же	6	2
76	в своей	4	2
77	он в	2	2
78	ума и	2	2
79	по себе	2	2
80	что у	3	2
81	что они	3	2
82	даже и	3	2
83	должно быть	2	2
84	художественном творчестве	6	2
85	достоевский о	2	2
86	к этому	9	2
87	и к	3	2
88	так и	6	2
89	в которой	2	2
90	хотя и	2	2
91	его не	3	2
92	момент в	3	2
93	в единстве	4	2
94	в другом	2	2
95	его в	3	2
