N	2gram	Nazirov_Tr	Poddanst
1	не только	8	17
2	и в	18	14
3	и не	7	12
4	в этом	9	10
5	но в	6	9
6	то же	5	9
7	в том	2	9
8	в то	5	7
9	же время	6	7
10	но и	4	6
11	а я	5	5
12	не в	2	5
13	может быть	7	5
14	что в	4	4
15	в своем	3	4
16	том что	4	4
17	как бы	7	4
18	то что	4	4
19	не может	5	4
20	и как	3	3
21	с тем	2	3
22	тем самым	3	3
23	это не	5	3
24	столь же	2	3
25	в себе	4	3
26	потому что	2	3
27	в нем	4	3
28	прежде всего	4	3
29	должно быть	3	2
30	и дети	2	2
31	в мире	3	2
32	было в	2	2
33	одна из	2	2
34	в русском	2	2
35	iii в	3	2
36	и это	2	2
37	в его	3	2
38	в виде	2	2
39	все это	4	2
40	в частности	2	2
41	и с	7	2
42	в ее	2	2
43	xix веке	2	2
44	отнюдь не	3	2
