N	2gram	Tiupa_Lite	Istorich
1	и в	26	181
2	и т	2	160
3	может быть	24	115
4	не только	29	114
5	что он	8	111
6	мы имеем	2	102
7	что в	7	90
8	но и	25	85
9	в этом	19	81
10	так как	2	75
11	то что	14	73
12	таким образом	4	72
13	вместе с	5	71
14	и не	19	67
15	все же	6	65
16	в этих	2	64
17	еще не	4	63
18	не может	10	61
19	то же	13	56
20	никогда не	5	56
21	в том	22	53
22	том что	19	53
23	с другой	11	52
24	а в	5	52
25	потому что	5	52
26	что и	3	51
27	и что	2	51
28	о том	3	48
29	а не	28	48
30	его в	4	47
31	не в	11	47
32	другой стороны	5	46
33	превращается в	2	45
34	но в	5	44
35	это не	4	43
36	и его	7	43
37	в нем	4	42
38	только в	8	42
39	как в	5	42
40	в его	9	38
41	для нас	3	38
42	тем что	6	38
43	и на	5	38
44	так и	7	37
45	он не	4	37
46	уже не	9	37
47	как и	13	37
48	с тем	2	35
49	все эти	2	35
50	мы не	5	35
51	но не	8	34
52	связи с	7	34
53	у него	5	34
54	же как	3	33
55	в качестве	21	32
56	так в	6	31
57	представляет собой	5	31
58	ничего не	3	31
59	прежде всего	14	31
60	один из	7	31
61	то это	2	31
62	в русской	13	30
63	с одной	9	30
64	как мы	2	29
65	одной стороны	8	29
66	этом случае	2	29
67	но это	2	29
68	например в	3	28
69	и с	4	28
70	как он	2	27
71	так что	4	27
72	героя в	2	27
73	того что	7	27
74	могут быть	4	27
75	в ней	4	26
76	как это	9	26
77	и др	4	26
78	и он	3	25
79	было бы	4	24
80	к этому	2	24
81	не менее	11	24
82	тем не	4	23
83	в частности	18	23
84	в этой	7	23
85	как бы	8	23
86	при этом	23	22
87	с ним	2	22
88	в одном	2	21
89	в другом	3	21
90	к тому	3	21
91	в связи	4	21
92	одна из	8	20
93	из них	5	20
94	после чего	2	20
95	в силу	4	20
96	из этих	2	20
97	а затем	3	19
98	и как	2	19
99	все еще	2	19
100	с собой	4	19
101	на том	3	19
102	на то	2	19
103	в данном	7	18
104	вовсе не	3	18
105	в то	12	18
106	и говорит	2	18
107	по существу	4	17
108	то и	5	17
109	и только	4	17
110	дело не	2	17
111	со стороны	6	16
112	во всех	4	16
113	данном случае	6	15
114	в целом	10	15
115	в своей	5	15
116	даже в	6	15
117	и то	3	15
118	в особенности	2	15
119	в пределах	4	15
