N	2gram	Bakhtin_Fr	OGranits
1	и в	105	13
2	и его	24	12
3	прежде всего	26	9
4	и не	34	8
5	не может	9	8
6	может быть	11	8
7	в его	24	7
8	и пр	5	7
9	и их	3	7
10	точки зрения	10	7
11	и т.п	26	7
12	не только	24	6
13	мы должны	2	6
14	как бы	33	6
15	таким образом	5	6
16	только в	16	6
17	то что	7	6
18	и т.д	2	5
19	все же	10	5
20	с точки	6	5
21	и эта	5	5
22	и наконец	2	5
23	хотя бы	2	5
24	в процессе	2	5
25	мы можем	2	4
26	еще и	6	4
27	но в	16	4
28	лишь в	4	4
29	то же	6	4
30	не является	4	4
31	в своей	8	4
32	все это	16	4
33	было бы	4	4
34	слов и	2	4
35	на фоне	4	4
36	вполне понятно	2	4
37	никогда не	11	3
38	да и	5	3
39	и для	3	3
40	и все	7	3
41	связана с	8	3
42	в ее	5	3
43	превращается в	6	3
44	отношению к	2	3
45	как и	15	3
46	в пределах	3	3
47	не в	4	3
48	в их	6	3
49	так как	11	3
50	понятно что	2	3
51	в себе	7	3
52	что в	4	3
53	по отношению	2	3
54	точку зрения	2	3
55	но для	3	3
56	самом деле	3	3
57	за пределы	10	3
58	так и	16	3
59	в одном	8	3
60	в искусстве	3	3
61	тела и	7	3
62	здесь мы	2	3
63	но и	20	3
64	в самом	7	2
65	могут быть	4	2
66	мы видим	2	2
67	конечно в	2	2
68	своего рода	2	2
69	в этом	22	2
70	в них	13	2
71	в книге	3	2
72	уже в	5	2
73	в том	17	2
74	тем что	5	2
75	в отношении	7	2
76	несмотря на	5	2
77	в целом	3	2
78	думать что	2	2
79	с одной	2	2
80	роль в	6	2
81	и др	32	2
82	ее в	2	2
83	более того	3	2
84	с другой	3	2
85	там где	3	2
86	от всех	3	2
87	а в	4	2
88	том что	9	2
89	в г	3	2
90	и к	7	2
91	в связи	2	2
92	нужно отметить	3	2
93	в общем	4	2
94	не менее	2	2
95	и следовательно	3	2
96	с ними	2	2
97	все эти	15	2
98	в области	10	2
99	связанные с	2	2
100	так же	2	2
101	от своего	2	2
102	что они	2	2
103	мы уже	18	2
104	в своих	8	2
105	его на	2	2
106	в нем	16	2
107	не на	2	2
108	в тех	5	2
109	при этом	10	2
110	нет ничего	3	2
111	форм и	11	2
112	во всей	4	2
113	в ней	7	2
114	входит в	4	2
115	еще в	3	2
116	в течение	3	2
117	как в	6	2
118	во всем	5	2
119	одной стороны	2	2
120	бы в	2	2
121	между тем	5	2
122	в целях	2	2
123	в чем	2	2
124	связанных с	4	2
125	на язык	2	2
126	имеет место	2	2
127	тот же	4	2
128	в другом	2	2
129	вовсе не	25	2
130	учение о	2	2
131	подойти к	2	2
132	к тому	3	2
133	наконец в	2	2
134	для него	12	2
