N	2gram	Bakhtin_Pr	EvropaiC
1	таким образом	22	34
2	в том	17	31
3	и в	59	24
4	том что	15	20
5	все эти	12	19
6	не может	31	18
7	то что	21	18
8	может быть	38	17
9	до сих	3	15
10	все же	9	15
11	сих пор	3	15
12	точки зрения	36	14
13	в этом	40	13
14	все это	12	13
15	в своем	12	12
16	с этим	2	12
17	самом деле	9	12
18	между тем	5	12
19	по отношению	17	11
20	но и	22	11
21	отношению к	17	11
22	не только	26	10
23	так и	13	10
24	во всех	8	10
25	как и	21	10
26	все что	6	10
27	как бы	40	10
28	в результате	6	9
29	друг с	4	9
30	и не	66	9
31	не в	10	9
32	что в	14	9
33	и все	4	9
34	с другом	4	9
35	потому что	20	9
36	при этом	5	9
37	и что	2	9
38	так же	10	8
39	из этих	2	8
40	если бы	12	8
41	для того	3	8
42	в самом	19	8
43	а и	2	8
44	того чтобы	5	8
45	с точки	21	8
46	на самом	5	7
47	для этого	4	7
48	в сознании	4	7
49	так как	11	7
50	что он	16	7
51	того что	4	7
52	не менее	3	7
53	о том	5	7
54	что и	10	7
55	в этой	5	7
56	по существу	5	7
57	вместе с	2	7
58	в мире	10	6
59	отличается от	3	6
60	только в	15	6
61	все они	4	6
62	еще не	11	6
63	друг от	2	6
64	так что	3	6
65	в то	15	6
66	должна быть	4	6
67	и для	5	6
68	с другой	3	6
69	от друга	2	6
70	и на	15	6
71	мы можем	3	6
72	несмотря на	7	6
73	как на	4	6
74	с ним	13	6
75	и от	3	5
76	его в	6	5
77	но все	8	5
78	по сравнению	2	5
79	в себе	9	5
80	должно быть	4	5
81	к этому	6	5
82	в которой	6	5
83	как к	3	5
84	лишь в	4	5
85	и их	7	5
86	ничем не	2	5
87	из них	8	5
88	у него	9	5
89	что все	5	5
90	далеко не	3	5
91	но в	7	5
92	именно в	8	5
93	а потому	4	5
94	и с	10	5
95	и к	5	5
96	другой стороны	3	5
97	в целом	8	5
98	в его	44	5
99	как будто	4	5
100	сравнению с	2	5
101	никогда не	19	4
102	не могут	6	4
103	мы должны	6	4
104	для меня	2	4
105	всех этих	3	4
106	хотя бы	5	4
107	то ни	3	4
108	в конце	9	4
109	отношение к	4	4
110	и у	6	4
111	социальной жизни	2	4
112	и т.д	2	4
113	конце концов	7	4
114	ее и	2	4
115	то же	15	4
116	в их	5	4
117	в области	3	4
118	а с	4	4
119	одним из	11	4
120	совершенно не	2	4
121	то они	2	4
122	что для	4	4
123	не так	3	4
124	ни один	5	4
125	на вопрос	2	4
126	не есть	2	4
127	из которых	3	4
128	что мы	2	4
129	в таком	2	4
130	он не	11	4
131	мы сказали	2	4
132	в дальнейшем	2	4
133	мы уже	4	4
134	совершенно так	2	4
135	ибо в	2	4
136	даже в	7	3
137	данном случае	3	3
138	вопрос о	4	3
139	тем самым	3	3
140	это не	13	3
141	что если	4	3
142	и потому	9	3
143	и до	5	3
144	от него	3	3
145	в начале	3	3
146	тем более	2	3
147	бы в	7	3
148	ни было	4	3
149	от того	4	3
150	только что	3	3
151	а лишь	3	3
152	в этих	5	3
153	конечно не	7	3
154	и других	8	3
155	и наконец	5	3
156	одного и	2	3
157	как у	4	3
158	у нас	2	3
159	вследствие этого	2	3
160	прежде всего	17	3
161	отличие от	3	3
162	жизнь и	3	3
163	образом в	2	3
164	одно из	2	3
165	в жизни	7	3
166	но не	13	3
167	и это	5	3
168	целом ряде	3	3
169	в данном	3	3
170	а в	9	3
171	бы то	3	3
172	на почве	5	3
173	в нем	38	3
174	в ней	8	3
175	что оно	2	3
176	тогда когда	2	3
177	ко всем	2	3
178	для нас	3	3
179	было бы	10	3
180	и по	4	3
181	таким же	4	3
182	в истории	3	3
183	если же	3	3
184	в нашем	3	3
185	в совершенно	2	3
186	же как	5	3
187	заключается в	3	3
188	уже и	2	3
189	тот же	4	3
190	как мы	10	3
191	двух или	2	3
192	чем в	3	3
193	он все	2	2
194	конечно в	2	2
195	для самого	2	2
196	одна из	4	2
197	все то	5	2
198	другими словами	2	2
199	с которыми	2	2
200	не от	2	2
201	индивидуальном сознании	2	2
202	то и	2	2
203	они могут	2	2
204	только то	3	2
205	в процессе	4	2
206	но как	4	2
207	к ним	3	2
208	и ее	5	2
209	есть только	5	2
210	чтобы быть	2	2
211	не потому	4	2
212	то время	3	2
213	что она	6	2
214	высшей степени	2	2
215	то есть	64	2
216	на него	4	2
217	потому и	2	2
218	для себя	5	2
219	друг друга	10	2
220	зависимости от	5	2
221	как не	9	2
222	входящих в	2	2
223	в виду	2	2
224	не было	5	2
225	следовательно и	2	2
226	между отдельными	2	2
227	в частности	2	2
