N	2gram	Losev_Prob	OGranits
1	и в	48	13
2	и его	11	12
3	прежде всего	15	9
4	и не	29	8
5	не может	6	8
6	может быть	11	8
7	в его	19	7
8	и их	7	7
9	точки зрения	17	7
10	не только	28	6
11	как бы	10	6
12	таким образом	20	6
13	только в	21	6
14	то что	26	6
15	все же	12	5
16	с точки	13	5
17	и наконец	4	5
18	хотя бы	11	5
19	мы можем	5	4
20	еще и	6	4
21	но в	17	4
22	только и	9	4
23	то же	6	4
24	в сознании	3	4
25	не является	2	4
26	в своей	29	4
27	все это	8	4
28	было бы	12	4
29	мы не	7	4
30	в каждом	2	4
31	на фоне	2	4
32	никогда не	7	3
33	да и	5	3
34	и для	11	3
35	общего с	2	3
36	и то	6	3
37	со всей	2	3
38	и все	12	3
39	в ее	6	3
40	с этим	3	3
41	при анализе	2	3
42	отношению к	2	3
43	и уже	2	3
44	как и	10	3
45	не в	16	3
46	в их	4	3
47	ничего общего	6	3
48	так как	10	3
49	в себе	7	3
50	что в	12	3
51	по отношению	2	3
52	но для	2	3
53	самом деле	3	3
54	так и	15	3
55	в которой	7	3
56	для целей	2	3
57	не как	3	3
58	в одном	6	3
59	в искусстве	2	3
60	здесь мы	2	3
61	но и	21	3
62	в самом	7	2
63	могут быть	2	2
64	в этом	31	2
65	смысле слова	12	2
66	в них	5	2
67	для себя	6	2
68	данном случае	5	2
69	уже в	4	2
70	в том	25	2
71	тем что	2	2
72	в отношении	8	2
73	несмотря на	7	2
74	возражать против	2	2
75	если бы	2	2
76	от этого	4	2
77	с одной	5	2
78	не имеет	3	2
79	или иного	2	2
80	всей своей	2	2
81	но так	2	2
82	ее в	2	2
83	с другой	8	2
84	а в	8	2
85	и тем	4	2
86	том что	29	2
87	того или	3	2
88	а как	2	2
89	а также	8	2
90	и к	9	2
91	в связи	11	2
92	в данном	6	2
93	не менее	8	2
94	все эти	12	2
95	в области	3	2
96	что эта	3	2
97	так же	7	2
98	иным как	3	2
99	что они	4	2
100	мы уже	2	2
101	нуждается в	2	2
102	и при	2	2
103	с этой	4	2
104	в своих	3	2
105	его на	3	2
106	в нем	8	2
107	в тех	2	2
108	при этом	6	2
109	и ее	2	2
110	нет ничего	3	2
111	что иное	3	2
112	а не	7	2
113	между собою	2	2
114	чем иным	3	2
115	в ней	4	2
116	вслед за	2	2
117	еще в	6	2
118	как в	3	2
119	другой стороны	8	2
120	во всем	5	2
121	и наиболее	3	2
122	мог бы	2	2
123	и является	6	2
124	не чем	3	2
125	одной стороны	5	2
126	бы в	2	2
127	между тем	2	2
128	в целях	3	2
129	в чем	3	2
130	тот же	6	2
131	иное как	3	2
132	не что	3	2
133	в другом	6	2
134	самого начала	3	2
135	вовсе не	18	2
136	в ряд	3	2
137	в этот	4	2
138	с самого	3	2
139	учение о	4	2
140	к тому	7	2
141	не мог	5	2
142	с помощью	2	2
143	для него	2	2
