N	3gram	Propp_Isto	StatiiOP
1	в том что	6	47
2	и т д	35	32
3	о том что	5	29
4	до сих пор	11	19
5	с другой стороны	7	13
6	не может быть	8	11
7	на то что	5	9
8	можно было бы	5	9
9	вместе с тем	7	9
10	дело в том	3	9
11	на самом деле	2	8
12	тем не менее	7	8
13	не только в	5	8
14	по этому поводу	2	7
15	в то время	3	7
16	но все же	7	7
17	по отношению к	6	6
18	так же как	6	6
19	вопрос о том	2	6
20	т д но	2	6
21	за то что	2	5
22	после того как	2	5
23	с тем что	3	5
24	с самого начала	4	5
25	что он не	4	5
26	то время как	3	5
27	но и в	4	5
28	то что в	2	5
29	в это время	2	4
30	иметь в виду	2	4
31	дело не в	2	4
32	так например в	5	4
33	в другом месте	2	4
34	в связи с	5	4
35	с одной стороны	7	4
36	бы то ни	2	3
37	так как в	2	3
38	в этом случае	3	3
39	более или менее	5	3
40	и тем не	2	3
41	потому что он	2	3
42	о том как	2	3
43	т е с	2	3
44	мы имеем в	4	2
45	то же самое	3	2
46	но если это	2	2
47	если бы мы	2	2
48	а не на	2	2
49	с того что	3	2
50	что это за	5	2
51	в отличие от	3	2
52	то ни было	2	2
53	на этот вопрос	2	2
54	может быть назван	2	2
55	в зависимости от	3	2
56	точно так же	8	2
57	т д и	2	2
58	что мы имеем	3	2
59	и вместе с	2	2
