N	2gram	Berdyaev_N	StatiiOP
1	и в	16	103
2	в том	8	89
3	том что	2	77
4	в этом	7	76
5	что в	9	74
6	не только	5	60
7	о том	4	47
8	но и	3	46
9	то что	4	44
10	и не	11	41
11	может быть	7	38
12	все это	5	29
13	а в	2	27
14	а не	17	27
15	но в	2	26
16	так и	2	25
17	не в	6	23
18	потому что	4	23
19	прежде всего	4	22
20	как в	3	22
21	того чтобы	2	21
22	и пр	3	21
23	это не	4	20
24	в то	2	19
25	в своей	3	19
26	не может	16	18
27	с другой	3	18
28	он не	8	18
29	в россии	3	17
30	с этим	2	16
31	сказать что	3	16
32	в ней	5	16
33	можно было	2	16
34	с тем	3	15
35	как и	7	15
36	другой стороны	2	15
37	я не	2	15
38	и на	2	15
39	у него	2	15
40	к тому	3	14
41	и что	2	14
42	но это	6	13
43	в нем	5	13
44	жизни и	8	13
45	вместе с	2	13
46	не менее	4	12
47	хотя бы	2	12
48	ни в	6	12
49	никогда не	6	11
50	вопрос о	3	11
51	и с	2	11
52	в них	4	11
53	все эти	2	11
54	это было	3	11
55	не было	4	11
56	так же	2	10
57	xix века	5	10
58	в истории	3	10
59	во всех	3	10
60	но не	2	10
61	что такое	3	10
62	такого рода	2	9
63	место в	2	9
64	времени и	2	9
65	и для	4	9
66	и к	5	9
67	и это	2	9
68	могут быть	2	8
69	что она	2	8
70	и даже	2	8
71	такой же	2	8
72	не имеет	4	8
73	что все	2	7
74	как это	2	7
75	в ее	3	7
76	лишь в	6	7
77	еще не	3	7
78	можно назвать	2	7
79	в себе	2	6
80	должно было	2	6
81	должен быть	5	6
82	в новом	2	6
83	по существу	2	6
84	и все	4	6
85	же как	2	6
86	с его	6	6
87	мы не	2	6
88	еще до	2	6
89	время как	2	6
90	в жизни	5	6
91	этом смысле	2	6
92	но я	2	6
93	это и	2	5
94	и потому	4	5
95	одной стороны	2	5
96	думать что	2	5
97	должна быть	3	5
98	хотя и	2	5
99	в духе	3	5
100	как будто	2	5
101	с одной	2	5
102	на протяжении	2	5
103	том чтобы	2	5
104	нет и	2	5
105	в мировой	2	5
106	уже не	2	5
107	конечно не	3	5
108	одна из	2	4
109	не знает	6	4
110	века и	2	4
111	культуры в	5	4
112	стремление к	2	4
113	это есть	7	4
114	который в	2	4
115	для этого	2	4
116	не могли	2	4
117	за пределы	3	4
118	в эпоху	9	4
119	есть в	2	4
120	я уже	2	4
121	в центре	2	4
122	все они	2	4
123	xviii века	2	4
124	но для	2	4
125	не существует	3	4
126	значит что	4	4
127	в смысле	2	4
128	в основе	3	4
129	связана с	2	4
130	и творчества	2	4
131	это связано	2	3
132	к власти	3	3
133	быть в	2	3
134	ведь и	2	3
135	она не	3	3
136	не могла	2	3
137	смысле слова	3	3
138	совсем не	12	3
139	не будет	7	3
140	в наше	3	3
141	все время	2	3
142	наше время	4	3
143	исторической эпохи	3	3
144	не значит	3	3
145	в русском	2	3
146	эпохи и	4	3
147	не к	2	3
148	к подлинному	2	2
149	не имеют	2	2
150	по своему	4	2
151	право и	3	2
152	времени в	2	2
153	французской революции	3	2
154	права на	2	2
155	вот почему	2	2
156	в одну	2	2
157	и от	2	2
158	когда мы	2	2
159	истории и	9	2
160	в наши	3	2
161	с ее	5	2
162	истории к	4	2
163	история в	3	2
164	жизни в	3	2
165	не означает	3	2
166	роль в	2	2
167	как не	8	2
168	с их	2	2
