N	3gram	Vinokur_St	VeschiIm
1	и т д	25	38
2	не может быть	5	24
3	бы то ни	2	12
4	тем не менее	4	11
5	т д и	2	11
6	по крайней мере	2	10
7	в том что	29	9
8	т е в	3	7
9	в самом деле	7	7
10	на то что	5	7
11	с точки зрения	10	6
12	так или иначе	3	6
13	в то же	5	5
14	не только в	4	5
15	т е не	2	5
16	и то что	2	5
17	не только не	2	4
18	более или менее	2	4
19	о том что	19	4
20	в то время	2	4
21	дело в том	7	4
22	то же время	5	4
23	можно было бы	8	3
24	вместе с тем	2	3
25	заключается в том	4	3
26	с одной стороны	2	3
27	с другой стороны	8	3
28	но если это	2	3
29	сами по себе	2	3
30	и даже не	2	3
31	как бы ни	2	2
32	и в и	3	2
33	во всяком случае	8	2
34	в применении к	3	2
35	но все же	3	2
36	что же касается	3	2
37	для того чтобы	13	2
38	в этом отношении	13	2
39	хотя бы и	2	2
40	том что он	6	2
41	к тому что	4	2
42	то что он	3	2
43	нужно сказать что	5	2
44	то что у	2	2
45	в конце концов	2	2
46	так же как	5	2
47	вопрос о том	4	2
48	в данном случае	7	2
49	как раз в	4	2
50	в этом смысле	2	2
51	того что именно	2	2
52	и в этом	4	2
53	в свое время	3	2
