N	2gram	Tiupa_Hudo	Mirosoze
1	и в	34	97
2	может быть	12	64
3	не только	22	63
4	в этом	22	55
5	но и	13	54
6	он не	8	53
7	а не	23	53
8	в нем	5	49
9	не может	10	49
10	у него	13	47
11	и не	15	39
12	никогда не	8	38
13	потому что	7	37
14	в ней	6	37
15	не было	8	36
16	не в	16	34
17	для него	15	31
18	человека в	10	30
19	но он	3	30
20	прежде всего	12	29
21	как и	16	29
22	но в	6	27
23	и он	6	27
24	в мире	10	27
25	о человеке	2	26
26	человека и	4	26
27	и это	7	25
28	в своей	15	25
29	и все	10	24
30	в своем	9	23
31	что в	8	23
32	что он	14	22
33	в самом	7	21
34	в себе	19	20
35	отношение к	3	20
36	до конца	3	19
37	как бы	11	19
38	в его	17	18
39	и потому	3	17
40	того что	5	17
41	любви к	2	17
42	в том	24	16
43	том что	31	16
44	то что	13	16
45	было бы	8	16
46	на земле	2	16
47	и его	8	16
48	быть может	7	15
49	в этой	11	15
50	не знает	2	15
51	в котором	5	15
52	нет ничего	4	14
53	в конце	5	14
54	она не	6	14
55	так как	2	14
56	в творчестве	4	14
57	человек в	3	14
58	та же	5	13
59	друг друга	5	13
60	и на	6	13
61	это не	12	12
62	в человеке	5	12
63	и у	3	12
64	в любви	2	12
65	к нему	2	12
66	в них	3	12
67	все это	2	12
68	но не	7	12
69	он сам	3	12
70	но это	2	11
71	хотя бы	2	11
72	в которой	2	11
73	только в	8	11
74	как в	11	11
75	и для	5	11
76	в русской	4	11
77	уже не	12	11
78	и к	6	11
79	жизни и	10	11
80	так же	3	10
81	это и	2	10
82	один из	6	10
83	о боге	2	10
84	то же	14	10
85	не имеет	2	10
86	в самой	2	10
87	есть и	3	9
88	бы и	2	9
89	а в	11	9
90	к тому	11	9
91	что и	3	9
92	я не	8	9
93	должно быть	2	9
94	он уже	4	9
95	все что	4	9
96	с ним	6	9
97	лишь в	5	9
98	вместе с	2	9
99	вопрос о	2	8
100	ничего не	11	8
101	от него	3	8
102	в этих	7	8
103	они не	2	8
104	жизнь в	3	8
105	человека есть	2	8
106	что не	4	8
107	того чтобы	6	8
108	т е	6	8
109	с его	9	8
110	себя в	11	8
111	человека не	3	8
112	тем что	6	8
113	для того	3	8
114	нет и	2	8
115	о том	21	8
116	и с	10	8
117	еще в	4	8
118	уже в	2	8
119	как он	4	7
120	в духе	6	7
121	более чем	2	7
122	высшей степени	2	7
123	что все	3	7
124	он в	2	7
125	точки зрения	7	7
126	себя и	4	7
127	все еще	3	7
128	что она	10	7
129	на этом	5	7
130	жизни в	12	7
131	в жизни	9	7
132	в нашем	2	7
133	все в	2	7
134	не могу	3	7
135	от нее	2	7
136	чтобы не	3	6
137	его в	5	6
138	личности и	3	6
139	не как	3	6
140	этом он	2	6
141	и она	2	6
142	в ее	16	6
143	и от	6	6
144	что это	2	6
145	можно было	6	6
146	к ней	2	6
147	к концу	2	6
148	если бы	7	6
149	бы не	3	6
150	с этой	3	6
151	же и	3	6
152	по своей	5	6
153	жизнь и	2	6
154	и более	2	6
155	к людям	2	6
156	что у	4	6
157	на то	4	6
158	который был	2	5
159	с собой	2	5
160	в то	12	5
161	в их	2	5
162	так и	19	5
163	все время	2	5
164	они и	2	5
165	от этого	2	5
166	мысли о	3	5
167	как у	2	5
168	человека его	2	5
169	сказать что	3	5
170	интерес к	5	5
171	в основе	3	5
172	да и	5	5
173	одно из	4	5
174	с этим	3	5
175	него и	2	5
176	по преимуществу	6	5
177	с самим	2	5
178	мысли и	2	5
179	бы в	2	5
180	еще не	10	5
181	его и	2	5
182	как будто	7	5
183	сих пор	3	5
184	когда он	2	5
185	личности в	9	5
186	перед ним	2	5
187	до сих	3	5
188	той же	3	5
189	ее и	2	4
190	жизни он	2	4
191	по отношению	15	4
192	как о	3	4
193	сам не	2	4
194	к себе	8	4
195	как к	4	4
196	так что	3	4
197	в такой	2	4
198	духовной жизни	2	4
199	к другому	5	4
200	а с	5	4
201	по своему	3	4
202	они были	2	4
203	в него	2	4
204	тому что	8	4
205	к этой	4	4
206	в центре	4	4
207	место в	3	4
208	и тот	2	4
209	себе и	3	4
210	человеческой жизни	9	4
211	живет в	2	4
212	не была	3	4
213	в начале	3	4
214	все эти	4	4
215	и тогда	2	4
216	что они	4	4
217	себе в	2	4
218	сам он	3	4
219	не все	2	4
220	у всех	3	4
221	человека а	2	4
222	любви и	3	4
223	и даже	4	4
224	и по	3	4
225	что было	3	4
226	ни в	5	4
227	века в	2	4
228	нельзя было	2	4
229	заключает в	2	4
230	и только	2	4
231	все равно	2	4
232	особенно в	3	4
233	его личности	3	4
234	мы не	2	4
235	отношению к	15	4
236	нас в	2	4
237	ни с	2	4
238	не случайно	14	4
239	это была	2	4
240	путь к	2	4
241	в своих	4	4
242	и что	3	4
243	сострадание к	2	4
244	будто бы	6	4
245	возвращается к	3	3
246	жизни не	2	3
247	и сама	3	3
248	о чем	9	3
249	приходит к	3	3
250	в состоянии	3	3
251	и поэтому	2	3
252	долгое время	2	3
253	для себя	9	3
254	на смену	2	3
255	давно уже	3	3
256	и тем	2	3
257	и быть	4	3
258	душу и	2	3
259	своей души	2	3
260	все же	5	3
261	но у	2	3
262	не бывает	3	3
263	она может	2	3
264	это уже	2	3
265	на том	3	3
266	все его	3	3
267	что же	4	3
268	между тем	14	3
269	на его	2	3
270	же как	4	3
271	когда в	4	3
272	и когда	4	3
273	ответить на	2	3
274	эти слова	3	3
275	принадлежит к	2	3
276	хотя и	3	3
277	и то	2	3
278	значительной степени	3	3
279	на человека	2	3
280	бытия и	4	3
281	и эта	3	3
282	в душе	6	3
283	об этом	8	3
284	в значительной	3	3
285	то чтобы	2	3
286	мысль о	2	3
287	я и	7	3
288	превращается в	6	3
289	него в	2	3
290	но ведь	2	3
291	для нас	4	3
292	чем не	2	3
293	в пределах	4	3
294	во всех	2	3
295	счастья и	3	3
296	не с	2	3
297	с другим	2	3
298	о себе	3	3
299	приводит к	5	3
300	в одном	3	3
301	всякий раз	4	3
302	со своей	3	3
303	тому как	4	3
304	ближе к	2	3
305	роль в	2	3
306	но когда	2	3
307	в землю	2	3
308	каждого человека	3	3
309	но с	3	3
310	он все	2	2
311	не о	3	2
312	на самом	2	2
313	личного бытия	3	2
314	к личности	2	2
315	не стал	2	2
316	или иной	2	2
317	в действительности	5	2
318	и об	3	2
319	если в	4	2
320	не имеют	3	2
321	бытия как	3	2
322	такова что	2	2
323	не раз	2	2
324	же о	2	2
325	и каждый	2	2
326	никого не	3	2
327	всего мира	2	2
328	со своим	5	2
329	а как	2	2
330	способность к	2	2
331	другого человека	2	2
332	от своего	2	2
333	такого рода	4	2
334	жизнь есть	3	2
335	к своему	2	2
336	самом деле	6	2
337	тем как	2	2
338	своей жизни	6	2
339	была бы	3	2
340	тот и	2	2
341	и личной	2	2
342	о нем	4	2
343	только потому	2	2
344	не менее	9	2
345	же мало	2	2
346	друг для	3	2
347	тем самым	2	2
348	с того	4	2
349	в мыслях	2	2
350	своей собственной	2	2
351	ему в	3	2
352	личности не	3	2
353	и сам	3	2
354	между ними	2	2
355	не столько	4	2
356	же не	3	2
357	с такой	3	2
358	к жизни	6	2
359	о своей	3	2
360	своей природе	2	2
361	связи с	4	2
362	в сущности	2	2
363	мире не	2	2
364	и ее	3	2
365	столь же	6	2
366	человеку в	2	2
367	смысла жизни	2	2
368	их в	2	2
369	самим собою	2	2
370	когда мы	2	2
371	то в	6	2
372	потребность в	2	2
373	в свои	2	2
374	в последней	2	2
375	личности к	2	2
376	что личность	2	2
377	у нее	10	2
378	это было	2	2
379	также в	2	2
380	этом отношении	4	2
381	перед собой	2	2
382	которая не	3	2
383	или человек	2	2
384	про себя	2	2
385	подобно тому	4	2
386	сознания в	2	2
387	жизни то	3	2
388	только для	4	2
389	и о	8	2
390	не по	2	2
391	ни к	2	2
392	не означает	2	2
393	в пределе	2	2
394	сострадания к	2	2
395	в е	2	2
396	с другой	4	2
397	отказ от	2	2
398	прежде чем	2	2
399	в сфере	2	2
400	что я	4	2
401	которой он	2	2
402	во втором	2	2
403	жизни как	7	2
404	он и	2	2
405	по себе	3	2
406	и уже	3	2
407	же я	2	2
408	этих словах	2	2
409	и уж	2	2
410	для друга	3	2
411	она в	5	2
412	человеческой индивидуальности	4	2
413	своих героев	2	2
