N	3gram	Potebnia_M	Analitik
1	в том что	22	25
2	не может быть	7	19
3	по отношению к	10	18
4	в то же	8	16
5	о том что	5	15
6	в данном случае	3	14
7	то же время	8	14
8	подобно тому как	3	9
9	с одной стороны	4	9
10	с другой стороны	4	9
11	по крайней мере	8	9
12	в свою очередь	6	9
13	в том чтобы	4	9
14	в этом отношении	2	8
15	не только в	4	8
16	как и в	3	8
17	с точки зрения	2	8
18	во всяком случае	3	7
19	в таком случае	2	7
20	тем не менее	7	6
21	одного и того	2	6
22	и того же	2	6
23	но и в	4	5
24	в этом случае	2	5
25	не только не	4	5
26	том что он	2	4
27	для того чтобы	5	4
28	не в том	6	4
29	в произведении искусства	3	4
30	в этом смысле	2	4
31	сама по себе	3	4
32	и т п	7	3
33	то же самое	3	3
34	и как бы	2	3
35	в первом случае	2	3
36	тогда как в	2	3
37	сам по себе	9	3
38	не могут быть	3	3
39	и тот же	2	3
40	одной и той	4	3
41	между тем как	4	3
42	можно сказать что	3	3
43	сами по себе	3	3
44	быть не может	2	3
45	и той же	4	3
46	и в самом	3	3
47	а в том	5	3
48	и то что	3	3
49	в себе не	2	2
50	одно и то	7	2
51	что он не	3	2
52	в эту минуту	4	2
53	в таких случаях	2	2
54	и то же	7	2
55	а тем более	2	2
56	более или менее	6	2
57	не следует однако	2	2
58	состоит не в	2	2
59	того и другого	2	2
60	не в состоянии	4	2
61	со всех сторон	3	2
62	к тому что	3	2
63	упускать из виду	2	2
64	не есть ни	4	2
65	один и тот	2	2
66	до тех пор	5	2
67	до сих пор	4	2
68	смысле этого слова	9	2
69	а между тем	6	2
70	могли бы быть	2	2
71	на то что	3	2
