N	2gram	Propp_Morf	Poddanst
1	не только	8	17
2	и в	17	14
3	и не	16	12
4	в этом	18	10
5	но в	4	9
6	то же	10	9
7	в том	10	9
8	в качестве	8	9
9	хотя бы	5	8
10	в пределах	3	8
11	в то	4	7
12	только в	3	7
13	но и	9	6
14	было бы	5	6
15	с другой	9	5
16	не в	3	5
17	в которых	2	5
18	и пр	45	5
19	может быть	61	5
20	что в	10	4
21	если бы	3	4
22	на пути	4	4
23	том что	7	4
24	а также	7	4
25	мы должны	3	4
26	и к	4	4
27	как бы	6	4
28	то что	10	4
29	не может	19	4
30	а в	8	4
31	же в	3	4
32	что мы	2	3
33	и как	6	3
34	с тем	2	3
35	но не	8	3
36	д а	2	3
37	это не	6	3
38	т е	25	3
39	с точки	6	3
40	в россии	2	3
41	мы не	8	3
42	для того	3	3
43	точки зрения	7	3
44	потому что	7	3
45	одной стороны	2	3
46	между тем	5	3
47	вслед за	5	3
48	могут быть	21	3
49	прежде всего	14	3
50	и т	62	3
51	хотя и	5	3
52	с одной	2	3
53	наряду с	7	3
54	для нас	2	2
55	является в	2	2
56	если в	7	2
57	одна из	5	2
58	к началу	4	2
59	есть нечто	3	2
60	и тем	3	2
61	с этим	14	2
62	не менее	7	2
63	говорить о	4	2
64	со стороны	5	2
65	знать что	2	2
66	в начале	3	2
67	в виде	3	2
68	все это	2	2
69	в частности	2	2
70	а не	11	2
71	и есть	3	2
72	например в	2	2
73	не будем	5	2
74	во всех	6	2
75	к чему	3	2
76	того что	3	2
77	главным образом	5	2
78	из них	4	2
