N	2gram	Nazirov_Vr	Problemy
1	и в	8	106
2	и не	5	90
3	как бы	4	70
4	может быть	4	66
5	т е	3	59
6	в его	3	56
7	в этом	8	52
8	в нем	6	51
9	не может	2	49
10	из подполья	3	48
11	что он	4	44
12	как и	6	44
13	у достоевского	4	43
14	но и	7	40
15	точки зрения	2	40
16	для него	2	39
17	и его	3	39
18	о себе	3	37
19	не только	9	36
20	то же	5	36
21	то что	7	33
22	но в	6	33
23	в то	5	29
24	все это	4	29
25	он не	3	29
26	и все	7	28
27	к себе	2	26
28	же время	5	26
29	с точки	2	25
30	и с	6	25
31	рядом с	2	23
32	таким образом	2	22
33	что я	2	22
34	никогда не	2	20
35	все же	6	20
36	что в	7	19
37	достоевского в	7	19
38	с его	3	19
39	в себе	2	18
40	о нем	6	18
41	уже не	2	18
42	еще не	2	18
43	это не	4	17
44	в том	3	17
45	а в	2	17
46	с ним	4	17
47	так же	4	16
48	в своей	2	16
49	достоевского не	4	15
50	у него	5	15
51	в своем	3	14
52	в конце	3	14
53	я не	3	14
54	как раз	2	14
55	его в	3	13
56	достоевского и	7	13
57	в романе	6	13
58	и это	2	13
59	роман достоевского	2	13
60	в мире	2	13
61	том что	3	12
62	между тем	5	12
63	при этом	4	12
64	но это	2	12
65	и даже	6	12
66	и как	3	12
67	в котором	6	12
68	и что	8	12
69	он сам	2	11
70	тем что	3	11
71	их в	2	11
72	отношение к	2	10
73	в него	2	10
74	далеко не	3	10
75	достоевский в	8	10
76	в них	2	9
77	человека в	3	9
78	что у	3	9
79	в той	2	9
80	но он	3	9
81	но как	2	8
82	уже в	4	8
83	одним из	3	8
84	и о	3	8
85	несмотря на	4	8
86	же не	2	8
87	и он	2	8
88	о том	4	8
89	и у	3	8
90	из них	2	8
91	с которым	2	7
92	в виду	4	7
93	его и	2	7
94	о достоевском	2	7
95	и ее	2	7
96	его с	2	7
97	не было	5	7
98	достоевский не	3	6
99	что ж	2	6
100	а с	2	6
101	не менее	2	6
102	достоевского с	9	6
103	у тургенева	11	6
104	и во	3	6
105	во время	2	6
106	одна из	2	6
107	как же	2	6
108	в начале	6	6
109	в этой	2	6
110	на то	3	6
111	в своих	4	6
112	не мог	2	6
113	отношения к	2	6
114	и то	2	5
115	том же	2	5
116	достоевского к	3	5
117	в чем	3	5
118	человека с	2	5
119	в ней	4	5
120	вместе с	2	5
121	достоевского он	2	4
122	в эту	2	4
123	связи с	3	4
124	он был	3	4
125	эти слова	3	4
126	это в	2	4
127	об этом	5	4
128	он тоже	2	4
129	о чем	2	3
130	ставрогина с	2	3
131	в письме	5	3
132	мы знаем	2	3
133	в повести	2	3
134	так в	2	3
135	достоевский был	2	3
136	в эти	2	3
137	ставрогина и	3	3
138	же в	2	3
139	и уже	3	3
140	б и	2	3
141	раз в	3	3
142	его на	2	2
143	за границей	2	2
144	к этому	3	2
145	письме к	4	2
146	что достоевский	4	2
147	он пишет	2	2
148	ответ на	2	2
149	отнюдь не	2	2
150	с нею	2	2
151	же как	2	2
152	очень хорошо	2	2
153	в россии	5	2
154	петра верховенского	2	2
155	в роман	2	2
156	в этот	3	2
157	целый ряд	4	2
158	он писал	2	2
159	в истории	4	2
160	для нас	4	2
161	я хотел	3	2
162	столь же	2	2
163	в свою	2	2
164	меня но	2	2
165	во многом	4	2
