N	2gram	Trubetskoy	EvropaiE
1	и в	26	37
2	в отношении	6	32
3	точки зрения	13	23
4	что в	9	21
5	не только	10	18
6	с точки	6	17
7	в то	4	16
8	хотя бы	3	15
9	то же	4	15
10	в своем	3	14
11	но в	7	14
12	но и	9	14
13	и не	8	14
14	же время	2	14
15	в качестве	3	14
16	в этом	15	12
17	в том	11	11
18	в области	9	11
19	так и	6	10
20	так же	5	9
21	в смысле	4	9
22	не может	4	9
23	в себе	6	9
24	прежде всего	2	9
25	только в	4	9
26	одной стороны	7	8
27	между тем	2	8
28	с одной	7	8
29	к тому	6	8
30	по своему	2	7
31	с другой	8	7
32	а также	2	7
33	так как	9	7
34	того что	3	7
35	культурных ценностей	4	6
36	том что	7	6
37	вслед за	2	6
38	во всех	2	6
39	то есть	4	6
40	и даже	3	6
41	может быть	10	6
42	и на	2	6
43	с этой	3	6
44	того чтобы	5	6
45	для того	5	6
46	на то	2	6
47	то что	7	6
48	как бы	12	6
49	к которым	2	5
50	но не	8	5
51	и по	4	5
52	и потому	6	5
53	в россии	2	5
54	но если	2	5
55	этой точки	2	5
56	не в	2	5
57	в виде	4	5
58	в течение	4	5
59	же как	3	5
60	одной из	5	5
61	сказать что	2	4
62	не имеет	5	4
63	или иной	2	4
64	можно сказать	3	4
65	именно в	2	4
66	в процессе	2	4
67	в самом	4	4
68	к востоку	4	4
69	несмотря на	6	4
70	ни было	2	4
71	той или	2	4
72	то ни	2	4
73	бы то	2	4
74	никогда не	5	3
75	с тем	18	3
76	и от	4	3
77	и для	5	3
78	и только	4	3
79	из всех	3	3
80	европейской культуры	3	3
81	о том	6	3
82	к ним	3	3
83	ли это	2	3
84	в общем	8	3
85	того же	6	3
86	в которых	4	3
87	востока в	2	3
88	значительная часть	2	3
89	когда он	3	3
90	в свою	2	3
91	и к	5	3
92	в результате	3	3
93	мы можем	2	3
94	этот факт	2	3
95	от них	2	3
96	из них	7	3
97	в них	2	3
98	всяком случае	6	3
99	мы видели	2	3
100	что и	6	3
101	друг с	5	3
102	по своим	2	3
103	этом отношении	2	3
104	потому что	7	3
105	в таком	3	3
106	представляет собой	3	3
107	заключает в	2	3
108	с другом	5	3
109	связано с	2	3
110	как на	8	3
111	во всяком	6	3
112	на восток	2	2
113	и если	3	2
114	представление о	6	2
115	в мире	5	2
116	на этот	4	2
117	если в	3	2
118	в его	5	2
119	начиная с	2	2
120	что это	3	2
121	в эту	2	2
122	утверждать что	2	2
123	к нему	7	2
124	не могут	2	2
125	а в	4	2
126	мы должны	6	2
127	или по	2	2
128	с другими	4	2
129	и сейчас	2	2
130	в котором	4	2
131	далеко не	4	2
132	и с	10	2
133	что все	4	2
134	в значительной	3	2
135	тогда когда	2	2
136	по своей	2	2
137	в одном	3	2
138	течением времени	3	2
139	и как	3	2
140	ко всему	2	2
141	целый ряд	4	2
142	если бы	3	2
143	востока и	2	2
144	в этих	4	2
145	жизни и	2	2
146	в силу	5	2
147	в других	3	2
148	а не	5	2
149	с течением	3	2
150	и что	4	2
151	и наконец	2	2
152	и все	2	2
153	по сравнению	2	2
154	таким образом	22	2
155	он не	4	2
156	главным образом	8	2
157	сравнению с	2	2
158	но по	3	2
159	что эти	3	2
160	не к	2	2
161	в этой	4	2
162	но с	3	2
163	и таким	3	2
164	для этих	2	2
165	вместе с	15	2
166	культурные ценности	2	2
167	культуры и	3	2
