N	3gram	Bakhtin_sl	RusskieA
1	в том что	4	49
2	и т д	7	21
3	тем не менее	2	14
4	в этом случае	4	12
5	о том что	2	10
6	в данном случае	3	8
7	о том же	2	7
8	как мы видели	2	6
9	не может быть	11	6
10	в связи с	2	5
11	к тому что	2	5
12	во всяком случае	7	4
13	в то время	2	4
14	можно было бы	2	4
15	не только на	2	4
16	как мы уже	4	4
17	в отличие от	12	4
18	более или менее	5	3
19	по отношению к	2	3
20	может быть и	2	3
21	с точки зрения	11	3
22	и в том	2	3
23	до сих пор	4	3
24	в свою очередь	3	3
25	в евгении онегине	3	2
26	и связанные с	2	2
27	в этом отношении	2	2
28	в большинстве случаев	11	2
29	как и в	2	2
30	это не значит	2	2
31	не только в	3	2
32	во всех этих	2	2
33	друг с другом	2	2
34	и в этом	2	2
35	с одной стороны	7	2
36	может быть только	3	2
37	и т п	49	2
38	в других случаях	2	2
39	с другой стороны	5	2
