N	3gram	Tiupa_Hudo	Literetu
1	в то же	11	21
2	то же время	11	21
3	в том что	15	21
4	по отношению к	15	12
5	с одной стороны	4	12
6	в данном случае	3	11
7	не может быть	5	11
8	состоит в том	3	11
9	в конечном счете	4	10
10	о том что	14	10
11	так или иначе	3	10
12	в этом отношении	4	10
13	на наш взгляд	6	9
14	с точки зрения	5	8
15	подобно тому как	4	6
16	не только в	4	6
17	между я и	2	6
18	в русской литературе	3	5
19	тем не менее	6	5
20	в связи с	3	5
21	я и ты	2	5
22	но при этом	3	4
23	и т п	10	3
24	себя в другом	2	3
25	то же самое	3	3
26	то что я	2	3
27	в самом деле	5	3
28	только в том	4	3
29	на то что	2	3
30	к себе самому	2	3
31	речь идет о	2	3
32	ту или иную	2	3
33	в равной мере	2	2
34	в первой половине	2	2
35	дело не только	2	2
36	что же касается	2	2
37	то что было	2	2
38	это прежде всего	2	2
39	для того чтобы	2	2
40	автора героя и	2	2
41	так и не	3	2
42	в художественном мире	2	2
43	дамы с собачкой	5	2
44	в этой связи	5	2
45	во второй половине	2	2
46	как нам представляется	2	2
47	не только не	3	2
48	для своего времени	2	2
49	и в самом	4	2
50	если говорить о	2	2
51	все та же	2	2
52	к тому что	8	2
53	в действительности же	2	2
54	несет в себе	4	2
55	можно было бы	5	2
56	в значительной степени	3	2
57	друг для друга	3	2
