N	2gram	Trubetskoy	Otkroven
1	у него	2	22
2	и в	14	19
3	но и	10	13
4	и не	19	13
5	в этом	17	12
6	не только	9	11
7	не в	4	11
8	а не	2	11
9	может быть	9	11
10	в нем	5	10
11	вопрос о	5	10
12	никогда не	5	9
13	потому что	5	9
14	не было	3	9
15	прежде всего	8	9
16	лишь в	3	7
17	в его	4	7
18	от него	2	7
19	он не	5	7
20	как и	4	6
21	все это	6	6
22	для него	6	5
23	а в	5	5
24	в россии	6	5
25	в том	17	5
26	в самом	3	5
27	то что	13	5
28	в этой	4	5
29	что в	4	4
30	он сам	3	4
31	того чтобы	8	4
32	все эти	2	4
33	на земле	4	4
34	не может	22	4
35	в себе	9	3
36	и от	2	3
37	о том	7	3
38	к нему	2	3
39	не могут	4	3
40	что он	6	3
41	и вот	2	3
42	было бы	5	3
43	для того	6	3
44	во имя	5	3
45	еще не	3	3
46	и есть	2	3
47	все что	4	3
48	в этих	2	3
49	в своих	6	3
50	как бы	4	3
51	хотя бы	5	3
52	с ним	2	3
53	того что	3	3
54	и то	4	2
55	можно ли	3	2
56	и на	5	2
57	с тем	6	2
58	что же	4	2
59	россии в	7	2
60	и для	6	2
61	что все	3	2
62	и с	7	2
63	любовь к	2	2
64	что и	3	2
65	ее в	2	2
66	и потому	3	2
67	и ни	3	2
68	в других	2	2
69	в своем	6	2
70	тем что	3	2
71	но в	2	2
72	том что	9	2
73	к этой	4	2
74	что для	3	2
75	все же	4	2
76	ко всем	3	2
77	жизни в	5	2
78	в своей	5	2
79	так как	4	2
80	по себе	2	2
81	что они	3	2
82	так что	2	2
83	даже и	2	2
84	должно быть	3	2
85	и о	2	2
86	не есть	3	2
87	разных сторон	2	2
88	и к	6	2
89	в другом	3	2
90	их не	2	2
91	его в	4	2
