N	2gram	Losev_Vesc	Vladivir
1	и в	44	116
2	то что	47	71
3	и не	57	67
4	не только	48	65
5	у него	3	65
6	в этом	17	53
7	в том	15	52
8	том что	13	51
9	что в	11	48
10	но и	19	47
11	в конце	3	41
12	в его	5	40
13	и с	11	39
14	то есть	2	37
15	сказать что	21	36
16	и даже	12	36
17	также и	9	36
18	так что	9	35
19	учение о	2	35
20	потому что	25	33
21	еще и	11	32
22	что он	7	32
23	не может	44	31
24	о том	11	30
25	только в	23	30
26	никогда не	5	29
27	как мы	6	29
28	для него	8	29
29	вовсе не	11	27
30	а в	6	27
31	не было	4	26
32	в то	11	25
33	но в	8	25
34	в себе	23	25
35	и то	14	25
36	и его	4	25
37	даже и	5	24
38	точки зрения	10	23
39	между прочим	4	23
40	может быть	37	23
41	он не	4	23
42	что же	17	23
43	в виде	3	22
44	так как	17	22
45	кроме того	5	22
46	об этом	5	22
47	ни в	11	22
48	в своей	6	21
49	вместе с	4	21
50	в своем	9	20
51	прежде всего	17	20
52	для нас	2	20
53	и что	22	20
54	и потому	8	19
55	и вообще	6	19
56	так и	4	19
57	не менее	11	19
58	как раз	16	19
59	таким образом	16	19
60	тем не	11	19
61	не в	14	18
62	не был	2	18
63	как это	4	18
64	как и	15	18
65	хотя и	5	18
66	с его	2	18
67	не мог	3	18
68	что и	11	17
69	в этой	4	17
70	то это	5	17
71	у нас	9	17
72	а не	34	17
73	и если	5	17
74	уже не	15	16
75	все же	18	16
76	того что	16	16
77	совсем не	2	16
78	было бы	24	16
79	к тому	3	16
80	и все	6	16
81	для себя	6	16
82	в котором	4	16
83	не есть	79	16
84	но это	14	15
85	к этому	2	15
86	это было	2	15
87	несмотря на	6	15
88	то же	12	15
89	в своих	3	15
90	того же	5	14
91	уже в	2	14
92	в с	2	14
93	тут же	4	14
94	все эти	5	14
95	с а	4	14
96	и как	12	14
97	и на	2	14
98	раз и	2	14
99	мы уже	3	14
100	так же	4	13
101	с тем	8	13
102	можно сказать	8	13
103	да и	5	13
104	и от	4	13
105	что это	18	13
106	в результате	9	13
107	дело в	6	13
108	не просто	23	13
109	жизни и	6	13
110	то время	4	13
111	во всем	2	13
112	есть только	18	12
113	и у	4	12
114	только на	3	12
115	ничего не	12	12
116	в нем	6	12
117	во всяком	4	12
118	содержит в	11	12
119	то в	4	12
120	и это	17	12
121	учения о	2	12
122	если не	3	12
123	по себе	22	12
124	всяком случае	2	12
125	в отношении	7	11
126	мы должны	5	11
127	или менее	4	11
128	и о	4	11
129	я не	7	11
130	все это	7	11
131	это есть	8	11
132	никак не	7	11
133	в данном	6	11
134	хотя бы	9	11
135	в которой	5	11
136	и здесь	5	11
137	то он	2	11
138	на то	9	11
139	более или	4	11
140	но что	9	11
141	конце концов	2	11
142	собственно говоря	5	10
143	к нему	3	10
144	в ней	14	10
145	что все	2	10
146	в качестве	4	10
147	в истории	3	10
148	в россии	2	10
149	можно было	6	10
150	еще не	12	10
151	но не	9	10
152	что для	5	10
153	в самом	13	10
154	отнюдь не	8	10
