N	2gram	Bakhtin_Fr	Otkroven
1	у него	14	22
2	и в	68	19
3	но и	17	13
4	и не	25	13
5	в этом	28	12
6	не только	21	11
7	не в	2	11
8	а не	6	11
9	может быть	10	11
10	и все	16	10
11	в нем	12	10
12	никогда не	2	9
13	потому что	3	9
14	не было	7	9
15	прежде всего	23	9
16	и он	2	8
17	он был	5	8
18	лишь в	3	7
19	в его	21	7
20	до конца	10	7
21	он не	11	7
22	но он	9	7
23	как и	17	6
24	все это	6	6
25	для него	7	5
26	а в	3	5
27	в том	12	5
28	о его	2	5
29	в творчестве	5	5
30	в самом	6	5
31	то что	11	5
32	в этой	15	5
33	отношение к	11	5
34	и его	26	4
35	что в	14	4
36	того чтобы	6	4
37	и мысли	4	4
38	все эти	16	4
39	него и	3	4
40	не может	5	4
41	все в	2	4
42	с его	6	4
43	в себе	5	3
44	и от	4	3
45	о том	5	3
46	это не	5	3
47	к нему	4	3
48	что он	7	3
49	и вот	4	3
50	было бы	4	3
51	для того	5	3
52	еще не	3	3
53	и есть	5	3
54	все что	4	3
55	в этих	8	3
56	в своих	7	3
57	и ее	3	3
58	как бы	7	3
59	хотя бы	2	3
60	это было	2	3
61	с ним	3	3
62	быть может	2	3
63	мысли и	2	3
64	того что	3	3
65	одно из	3	2
66	и то	2	2
67	сказать что	3	2
68	и на	16	2
69	уже в	4	2
70	и для	6	2
71	что все	2	2
72	ничего не	4	2
73	и с	15	2
74	что и	3	2
75	и потому	6	2
76	в ее	5	2
77	в других	4	2
78	в своем	11	2
79	тем что	6	2
80	но в	20	2
81	том что	6	2
82	к этой	3	2
83	что для	2	2
84	все же	6	2
85	ко всем	3	2
86	в своей	11	2
87	он в	2	2
88	ведь это	3	2
89	так как	7	2
90	что у	2	2
91	что они	3	2
92	в истории	5	2
93	своей жизни	3	2
94	даже и	3	2
95	и о	5	2
96	к этому	6	2
97	был еще	3	2
98	и к	4	2
99	так и	8	2
100	и очень	2	2
101	в которой	6	2
102	хотя и	2	2
103	момент в	2	2
104	в другом	3	2
105	в этот	2	2
106	чем в	2	2
107	его в	7	2
