N	3gram	Bakhtin_Fr	EvropaiE
1	с точки зрения	4	16
2	в то же	13	15
3	то же время	13	14
4	с одной стороны	4	8
5	и в то	2	8
6	одной стороны и	2	6
7	в том что	2	6
8	для того чтобы	5	5
9	той или иной	2	4
10	не только в	3	4
11	и прежде всего	3	3
12	во всяком случае	2	3
13	в этом отношении	4	3
14	можно сказать что	2	3
15	можно было бы	2	3
16	в той или	2	3
17	в данном случае	3	2
18	с другой стороны	5	2
19	в большинстве случаев	3	2
20	но в то	7	2
21	как мы видели	4	2
22	в свою очередь	2	2
23	по сравнению с	2	2
24	не может быть	2	2
