N	2gram	Vygotskiy_	VeschiIm
1	т е	3	81
2	не есть	4	79
3	и не	24	57
4	не только	25	48
5	то что	47	48
6	не может	30	46
7	и в	55	45
8	и есть	5	40
9	может быть	35	39
10	и т	36	39
11	т д	10	38
12	а не	18	37
13	что я	4	26
14	потому что	27	25
15	было бы	14	24
16	в себе	6	23
17	что она	11	23
18	по себе	21	23
19	только в	18	23
20	сказать что	12	22
21	и что	28	22
22	в смысле	3	22
23	и следовательно	4	20
24	что такое	2	20
25	как бы	11	20
26	и ее	4	19
27	что это	12	19
28	но и	12	19
29	что же	4	19
30	есть только	7	18
31	все же	9	18
32	в этом	21	18
33	есть не	6	17
34	и это	6	17
35	прежде всего	5	17
36	так как	28	17
37	что мы	9	17
38	оно есть	3	16
39	того что	15	16
40	таким образом	38	16
41	как раз	4	16
42	в том	55	15
43	как и	25	15
44	в ней	3	15
45	уже не	3	15
46	не в	19	14
47	и то	4	14
48	но это	3	14
49	том что	30	13
50	это и	3	13
51	не будет	4	13
52	и больше	2	13
53	и для	9	13
54	в самом	18	13
55	то ни	2	13
56	в себя	3	13
57	ничего не	4	12
58	иное как	2	12
59	но если	2	12
60	вещей и	2	12
61	вещи как	2	12
62	совершенно не	7	12
63	смысл и	2	12
64	что в	39	12
65	точки зрения	32	12
66	она есть	2	12
67	что и	27	12
68	что они	7	12
69	если она	2	12
70	и как	9	12
71	не что	2	12
72	то же	17	12
73	ни было	2	12
74	еще не	2	12
75	что иное	2	12
76	и даже	11	12
77	о том	11	12
78	если мы	21	12
79	и с	5	12
80	есть нечто	4	12
81	не значит	2	12
82	бы то	3	12
83	в то	8	11
84	не менее	9	11
85	что не	2	11
86	вовсе не	7	11
87	тем не	6	11
88	и их	4	11
89	также и	2	11
90	ни в	9	11
91	и только	5	11
92	есть ли	2	10
93	в чем	5	10
94	что оно	4	10
95	с ее	3	10
96	учение об	2	10
97	ясно что	22	10
98	со стороны	5	9
99	так что	8	9
100	в своем	3	9
101	то и	2	9
102	она не	6	9
103	ли это	3	9
104	бы и	5	9
105	должно быть	2	9
106	хотя бы	4	9
107	бы в	3	9
108	в результате	4	9
109	если оно	3	9
110	у нас	4	9
111	на то	17	9
112	но не	5	9
113	но что	3	9
114	и его	14	9
115	с ним	2	9
116	в отношении	3	8
117	его в	3	8
118	и потому	2	8
119	указывает на	6	8
120	что он	17	8
121	но в	5	8
122	в ее	7	8
123	мы не	15	8
124	себя и	3	8
125	все это	11	8
126	это есть	6	8
127	должна быть	3	8
128	можно сказать	2	8
129	по сравнению	3	8
130	с другими	2	8
131	мы имеем	7	8
132	отличается от	4	8
133	в свете	3	8
134	если бы	10	8
135	с тем	11	8
136	что есть	3	8
137	с другой	7	8
138	отнюдь не	11	8
139	в действительности	4	7
140	не потому	3	7
141	от того	6	7
142	значит ли	2	7
143	и тем	5	7
144	из них	4	7
145	самом деле	19	7
146	а в	10	7
147	можно ли	2	7
148	все эти	7	7
149	в сущности	15	7
150	относится к	4	7
151	никак не	7	7
152	или не	2	7
153	сама по	2	7
154	тем что	7	7
155	с этой	8	7
156	ни на	3	7
157	оно не	2	7
158	и тогда	3	7
159	сравнению с	3	7
160	без всякого	2	7
161	никогда не	13	6
162	в каком	3	6
163	вопрос о	3	6
164	независимо от	3	6
165	для себя	2	6
166	когда мы	4	6
167	и все	8	6
168	в нем	5	6
169	между ними	2	6
170	должны быть	6	6
171	и до	2	6
172	в своей	6	6
173	тех или	2	6
174	как мы	2	6
175	одна из	5	6
176	и вообще	3	6
177	можно было	4	6
178	дело в	2	6
179	на почве	3	6
180	этот вопрос	2	6
181	их в	4	6
182	мы говорим	2	6
183	несмотря на	8	6
184	в той	2	6
185	жизни и	5	6
186	с точки	12	6
187	как только	3	6
188	в одном	4	6
189	и если	4	5
190	мы должны	4	5
191	как к	2	5
192	должен быть	2	5
193	и мы	6	5
194	свою очередь	3	5
195	вместе с	10	5
196	как это	8	5
197	того же	3	5
198	точка зрения	6	5
199	и без	3	5
200	тогда когда	7	5
201	то это	3	5
202	мы находим	2	5
203	один из	6	5
204	мы видим	8	5
205	в его	8	5
206	и когда	5	5
207	о ней	4	5
208	а есть	2	5
209	хотя и	3	5
210	на это	2	5
211	во всех	4	5
