N	2gram	Tiupa_Hudo	VerxiiNi
1	и в	34	26
2	в этом	22	15
3	вместе с	2	15
4	точки зрения	7	13
5	как бы	11	12
6	в том	24	11
7	не только	22	10
8	из этих	3	10
9	и с	10	10
10	может быть	12	10
11	что в	8	9
12	так как	2	9
13	связи с	4	9
14	но и	13	9
15	но не	7	8
16	с другой	4	8
17	и у	3	8
18	и не	15	8
19	как на	2	8
20	но все	2	7
21	к нему	2	7
22	потому что	7	7
23	одной стороны	4	7
24	из них	5	7
25	то что	13	7
26	с одной	4	7
27	но в	6	7
28	том что	31	7
29	а с	5	7
30	все же	5	6
31	к тому	11	6
32	о том	21	6
33	в себе	19	6
34	в конце	5	6
35	несмотря на	7	6
36	что и	3	6
37	с точки	5	6
38	и т.д	3	6
39	все эти	4	6
40	все это	2	6
41	и потому	3	6
42	так и	19	6
43	никогда не	8	5
44	в мире	10	5
45	одной из	5	5
46	и для	5	5
47	не имеет	2	5
48	так же	3	5
49	и к	6	5
50	в силу	2	5
51	отношение к	3	5
52	к жизни	6	5
53	того чтобы	6	5
54	лишь в	5	5
55	в его	17	5
56	для того	3	5
57	а не	23	5
58	сих пор	3	5
59	до сих	3	5
60	и от	6	4
61	что все	3	4
62	а в	11	4
63	с другими	2	4
64	в котором	5	4
65	в самом	7	4
66	в нем	5	4
67	не может	10	4
68	и тогда	2	4
69	к своим	2	4
70	в виде	2	4
71	то же	14	4
72	и что	3	4
73	и по	3	4
74	в этих	7	4
75	только в	8	4
76	что он	14	4
77	и только	2	4
78	он не	8	4
79	ничем не	3	4
80	в этой	11	4
81	в то	12	4
82	что это	2	3
83	в рамках	2	3
84	в своем	9	3
85	так или	3	3
86	но с	3	3
87	если в	4	3
88	или иначе	3	3
89	уже не	12	3
90	хотя бы	2	3
91	путь к	2	3
92	в результате	2	3
93	в которой	2	3
94	в значительной	3	3
95	тем не	7	3
96	и даже	4	3
97	если бы	7	3
98	же как	4	3
99	в других	4	3
100	при этом	21	3
101	не менее	9	3
102	как о	3	3
103	к концу	2	3
104	когда он	2	3
105	в качестве	13	3
106	с этой	3	3
107	в связи	3	3
108	и другие	5	3
109	в таком	3	3
110	так что	3	3
111	ясно что	2	3
112	и о	8	3
113	можно сказать	9	3
114	отношению к	15	3
115	в одном	3	3
116	того что	5	3
117	для него	15	3
118	по своему	3	2
119	одно из	4	2
120	сказать что	3	2
121	о котором	2	2
122	говорили о	2	2
123	и это	7	2
124	или иной	2	2
125	но при	3	2
126	а также	4	2
127	на то	4	2
128	в самой	2	2
129	он в	2	2
130	состоит в	8	2
131	одновременно и	5	2
132	больше не	3	2
133	они в	2	2
134	в начале	3	2
135	с того	4	2
136	ему в	3	2
137	между тем	14	2
138	только что	4	2
139	особенно в	3	2
140	не как	3	2
141	выступает в	2	2
142	не могла	4	2
143	именно в	9	2
144	приводит к	5	2
145	в них	3	2
146	только не	3	2
147	и на	6	2
148	уже в	2	2
149	еще не	10	2
150	мысль о	2	2
151	по своей	5	2
152	все что	4	2
153	наконец в	2	2
154	жизни и	10	2
155	не было	8	2
156	по своим	2	2
157	превращается в	6	2
158	когда же	3	2
159	можно назвать	2	2
160	различия между	3	2
161	этом отношении	4	2
162	не в	16	2
163	у всех	3	2
164	только для	4	2
165	то ни	2	2
166	и все	10	2
167	но когда	2	2
168	же время	11	2
169	один из	6	2
170	заключает в	2	2
171	совершенно иной	2	2
172	прежде всего	12	2
173	как от	2	2
174	признать что	2	2
175	не могло	2	2
176	в глазах	11	2
177	с его	9	2
178	во всех	2	2
179	же самое	4	2
180	вслед за	3	2
181	не с	2	2
