N	2gram	Bakhtin_sl	Analitik
1	не только	37	71
2	и в	69	66
3	в качестве	4	61
4	но и	37	57
5	в том	7	52
6	может быть	40	52
7	в частности	3	51
8	в этом	21	51
9	как и	8	50
10	и не	32	48
11	а не	29	42
12	том что	6	40
13	при этом	12	40
14	так и	22	35
15	то есть	46	35
16	не может	27	29
17	как бы	16	29
18	а в	10	28
19	в его	19	27
20	и его	45	27
21	не в	14	26
22	но не	7	26
23	в себе	3	24
24	к тому	3	22
25	и даже	11	22
26	что в	3	22
27	лишь в	6	21
28	о том	5	20
29	по отношению	2	19
30	но в	13	19
31	в своей	8	19
32	то же	17	19
33	в самом	6	19
34	с его	8	19
35	в то	17	18
36	произведения в	2	18
37	в данном	5	18
38	отношению к	2	18
39	или иной	13	17
40	с другой	8	17
41	такого рода	2	17
42	в целом	3	17
43	только в	9	17
44	могут быть	25	16
45	то что	2	16
46	в пределах	27	16
47	что и	2	16
48	не есть	2	15
49	в их	6	15
50	прежде всего	14	15
51	в сущности	18	15
52	уже не	5	15
53	и на	17	15
54	между тем	5	15
55	данном случае	3	14
56	отличие от	13	14
57	не менее	4	14
58	того же	7	14
59	той или	13	14
60	себя в	14	14
61	в отличие	12	14
62	далеко не	7	14
63	столь же	2	14
64	же время	15	14
65	в себя	3	14
66	по себе	4	13
67	ничего не	5	13
68	точки зрения	24	13
69	как раз	3	13
70	этого слова	2	13
71	для него	8	13
72	а также	5	13
73	он не	5	13
74	никогда не	9	12
75	и к	9	12
76	есть не	2	12
77	как это	3	12
78	произведения как	3	12
79	еще не	9	12
80	как в	18	12
81	внутренней речи	3	12
82	и сам	4	12
83	даже в	4	11
84	в свою	4	11
85	это не	8	11
86	нуждается в	3	11
87	по своей	2	11
88	в сочетании	2	11
89	и как	3	11
90	не с	5	11
91	можно сказать	2	11
92	той же	3	11
93	в той	13	11
94	все же	10	10
95	однако в	3	10
96	один из	9	10
97	было бы	3	10
98	того или	2	10
99	особенно в	3	10
100	и одновременно	2	10
101	с одной	7	10
102	именно в	5	10
103	здесь не	6	10
104	отношения к	3	10
105	в своем	9	9
106	того что	4	9
107	не столько	4	9
108	как уже	2	9
109	одной стороны	7	9
110	свою очередь	3	9
111	или иного	2	9
112	другой стороны	5	9
113	за пределы	6	9
114	во всех	25	9
115	в результате	4	9
116	только не	2	9
117	на фоне	11	9
118	автора и	6	9
119	вступает в	2	9
120	говорить о	2	9
121	таким образом	16	9
122	вместе с	3	9
123	перед нами	7	8
124	роль в	4	8
125	что он	2	8
126	дело с	4	8
127	одной из	4	8
128	и все	9	8
129	в контексте	5	8
130	одного из	2	8
131	этом отношении	2	8
132	хотя и	4	8
133	в основе	8	8
134	дело не	2	8
135	не является	3	8
136	с точки	11	8
137	с ним	12	8
138	в другом	4	7
139	в новом	3	7
140	и тем	3	7
141	в свое	3	7
142	место в	2	7
143	на его	9	7
144	в ее	2	7
145	все это	14	7
146	во всяком	9	7
147	одна из	6	7
148	по преимуществу	5	7
149	себя и	2	7
150	несмотря на	2	7
151	героя и	5	7
152	и для	7	7
153	у него	5	7
154	или иначе	2	7
155	приводит к	2	7
156	со своим	13	7
157	в одном	4	7
158	всяком случае	7	7
159	как мы	15	7
160	в таком	5	7
161	жизни но	2	7
162	его в	7	6
163	для всех	2	6
164	должен быть	3	6
165	не знает	3	6
166	те же	3	6
167	в нем	44	6
168	или в	10	6
169	и то	2	6
170	хотя бы	6	6
171	то в	2	6
172	в сознании	3	6
173	из этих	3	6
174	его как	3	6
175	же в	2	6
176	во всем	3	6
177	тем не	2	6
178	и более	3	6
179	о себе	2	6
180	на этом	4	6
181	из них	3	6
182	уже в	2	6
183	вовсе не	16	6
184	в широком	3	5
185	и потому	9	5
186	не могут	7	5
187	не как	4	5
188	входит в	8	5
189	но как	2	5
190	жизни в	2	5
191	совершенно не	2	5
192	так что	2	5
193	в романе	64	5
194	в один	2	5
195	а с	2	5
196	как предмет	4	5
197	в эту	3	5
198	он в	6	5
199	говорит и	2	5
200	в состав	3	5
201	в них	11	5
202	и по	3	5
203	и до	2	5
204	все эти	15	5
205	мы не	4	5
206	в первом	3	5
207	без исключения	2	5
208	этом случае	4	5
209	и здесь	5	5
210	да и	2	5
211	к этому	3	5
212	с другими	8	5
213	бы быть	2	5
214	с ее	6	5
215	мира в	2	5
216	в особенности	10	5
217	как о	2	5
218	для того	2	5
219	и их	6	5
220	в этих	8	5
221	за пределами	3	5
222	ни в	4	5
223	в котором	2	5
224	романа в	5	5
225	в слове	11	5
226	с таким	3	5
227	высказывания в	2	5
228	и особенно	2	5
229	в противовес	2	5
230	все они	9	4
231	в отношении	9	4
232	и ее	3	4
233	до известной	3	4
234	в каждом	5	4
235	наконец в	5	4
236	отношение к	8	4
237	как к	5	4
238	одним из	5	4
