N	2gram	Losev_Prob	RusskieA
1	и в	48	79
2	в том	25	64
3	том что	29	59
4	что в	12	57
5	не только	28	41
6	так как	10	34
7	в этом	31	33
8	и другие	4	33
9	как бы	10	31
10	но и	21	31
11	в других	5	30
12	как и	10	28
13	может быть	11	28
14	и на	9	28
15	в этот	4	26
16	а н	3	25
17	и т	2	23
18	о том	17	23
19	при этом	6	22
20	это не	8	20
21	как мы	5	20
22	а в	8	20
23	там же	2	20
24	из них	4	19
25	xix в	4	18
26	все это	8	18
27	с тем	7	17
28	потому что	21	17
29	то что	26	17
30	об этом	11	17
31	таким образом	20	17
32	вместе с	15	17
33	мы не	7	16
34	один из	2	15
35	будто бы	5	15
36	у нас	17	14
37	мы видели	2	14
38	для нас	14	14
39	не менее	8	14
40	в них	5	14
41	как это	5	14
42	тем не	8	14
43	и не	29	14
44	и с	10	14
45	и что	9	14
46	так что	18	13
47	и по	2	13
48	к этому	2	13
49	не может	6	13
50	еще не	4	13
51	как в	3	13
52	уже не	12	13
53	в виде	25	12
54	мы имеем	3	12
55	тем что	2	12
56	но это	7	11
57	не имеет	3	11
58	далеко не	6	11
59	его в	9	10
60	так и	15	10
61	по существу	2	10
62	между тем	2	10
63	все же	12	10
64	что и	8	10
65	а также	8	10
66	том чтобы	3	10
67	или в	7	10
68	данном случае	5	9
69	о чем	2	9
70	том же	2	9
71	но в	17	9
72	и все	12	9
73	что они	4	9
74	того как	5	9
75	с ней	3	9
76	то же	6	9
77	но не	12	9
78	видно что	2	9
79	земли и	2	9
80	так же	7	8
81	того что	8	8
82	в россии	2	8
83	одно из	2	8
84	в данном	6	8
85	на себя	2	8
86	того чтобы	3	8
87	же в	4	8
88	связи с	11	8
89	представление о	2	8
90	что это	4	8
91	не все	3	8
92	во всех	2	8
93	ее в	2	8
94	для того	4	8
95	в этих	3	8
96	в своем	16	7
97	ничего не	3	7
98	в настоящее	7	7
99	не в	16	7
100	а с	4	7
101	к нему	3	7
102	настоящее время	7	7
103	по этому	5	7
104	было бы	12	7
105	до конца	4	7
106	для этого	2	7
107	из этих	2	7
108	в это	3	7
109	и как	10	7
110	говорится что	4	7
111	это время	3	7
112	еще в	6	7
113	только в	21	7
114	как будто	9	7
115	а не	7	7
116	в этой	14	6
117	не будем	3	6
118	и их	7	6
119	и у	8	6
120	в их	4	6
121	не всегда	5	6
122	только на	2	6
123	тому что	2	6
124	к тому	7	6
125	что этот	6	6
126	в нем	8	6
127	в году	9	6
128	этому поводу	4	6
129	все эти	12	6
130	в качестве	9	6
131	в одном	6	6
132	что она	2	6
133	и о	9	6
134	что здесь	8	6
135	должен был	2	6
136	на земле	11	6
137	после того	3	6
138	и более	3	6
139	и другой	2	6
140	в таком	4	6
141	на самом	2	5
142	вопрос о	2	5
143	и потому	4	5
144	в тех	2	5
145	вплоть до	2	5
146	или же	2	5
147	тогда когда	4	5
148	что он	12	5
149	прежде всего	15	5
150	к ним	3	5
151	в свою	4	5
152	с этим	3	5
153	в то	6	5
154	для них	3	5
155	в связи	11	5
156	не было	4	5
157	тот же	6	5
158	в его	19	5
159	по поводу	2	5
160	что от	3	5
161	то и	7	5
162	его с	2	5
163	можно было	4	5
164	только для	5	5
165	ничего общего	6	5
166	в целях	3	5
167	и для	11	5
168	с другой	8	5
169	и к	9	5
170	отнюдь не	14	5
171	или даже	4	5
172	с ним	4	5
173	мы уже	2	5
174	в таких	2	4
175	которые в	3	4
176	если в	2	4
177	чтобы они	2	4
178	и ее	2	4
179	в глаза	3	4
180	иное как	3	4
181	и а	4	4
182	не что	3	4
183	под названием	5	4
184	и при	2	4
185	всякого рода	2	4
186	нас не	3	4
187	здесь мы	2	4
188	только тогда	3	4
189	от них	2	4
190	они и	2	4
191	но эти	2	4
192	бросается в	3	4
193	в образе	2	4
194	мы приведем	3	4
195	могут быть	2	4
196	и под	2	4
197	на землю	7	4
198	и до	2	4
199	и тогда	4	4
200	в ночь	2	4
201	во всяком	7	4
202	и от	7	4
203	по своему	3	4
204	к ней	2	4
205	несмотря на	7	4
206	не просто	12	4
207	кроме того	5	4
208	природы и	2	4
209	из земли	4	4
210	она в	2	4
211	что иное	3	4
212	но все	6	4
213	что у	6	4
214	что для	2	4
215	именно в	11	4
216	в котором	5	4
217	в своих	3	4
218	уже в	4	4
219	в ней	4	4
220	всяком случае	6	4
221	то время	4	4
222	в середине	2	4
223	во всем	5	4
224	и после	4	4
225	на этой	2	4
226	но он	5	4
227	никогда не	7	3
228	всех этих	3	3
229	за все	3	3
230	его к	2	3
231	том как	2	3
232	в одной	2	3
233	и поэтому	2	3
234	то есть	38	3
235	это и	4	3
236	в виду	3	3
237	только по	2	3
238	тут же	7	3
239	как он	2	3
240	однако как	2	3
241	в одно	6	3
242	а наоборот	2	3
243	мы здесь	2	3
244	и другое	6	3
245	любви и	4	3
246	и это	3	3
247	которые как	3	3
248	точки зрения	17	3
249	большинстве случаев	2	3
250	же не	4	3
251	в области	3	3
252	совсем не	4	3
253	в какой	5	3
254	в ее	6	3
255	и во	2	3
256	iii в	4	3
257	в своей	29	3
258	некоторой степени	4	3
259	он был	5	3
260	до того	3	3
261	свою очередь	2	3
262	значение и	2	3
263	нет и	3	3
264	вся эта	3	3
265	хотя и	10	3
266	и то	6	3
267	это в	2	3
268	по отношению	2	3
269	человека а	2	3
270	в которой	7	3
271	от этого	4	3
272	на него	3	3
273	если бы	2	3
274	на небо	8	3
275	жизни в	7	3
276	до некоторой	4	3
277	а именно	12	3
278	между собою	2	3
279	отношению к	2	3
280	сих пор	3	3
281	что касается	5	3
282	жизнь и	6	3
283	с одной	5	3
284	это конечно	2	3
285	есть в	6	3
286	говорится о	6	3
287	не к	3	3
288	на то	2	3
