N	3gram	Voloshinov	KulturaY
1	для того чтобы	7	38
2	с точки зрения	31	36
3	в том что	9	33
4	в самом деле	13	29
5	можно было бы	2	25
6	во всяком случае	4	19
7	тем не менее	3	19
8	с другой стороны	6	17
9	в зависимости от	2	16
10	до сих пор	10	14
11	по отношению к	9	13
12	в связи с	12	12
13	в этом отношении	4	11
14	не может быть	23	11
15	о том что	2	10
16	в этом смысле	2	10
17	того или иного	2	9
18	на самом деле	5	8
19	не только в	2	8
20	в этом случае	3	8
21	само по себе	2	8
22	чуть ли не	2	7
23	тех пор пока	2	7
24	с одной стороны	2	7
25	до тех пор	2	7
26	в свою очередь	5	7
27	в то же	7	6
28	той или иной	5	6
29	к тому же	2	6
30	то же время	7	6
31	в отличие от	7	6
32	на этот вопрос	3	5
33	но все же	4	5
34	более или менее	3	5
35	так и в	2	5
36	и пр и	5	5
37	как мы видели	4	5
38	тот или иной	2	4
39	пр и пр	5	4
40	в первом случае	3	4
41	одного и того	9	4
42	том что он	3	4
43	так же как	2	4
44	к тому что	4	4
45	на то что	2	4
46	так или иначе	2	4
47	смысле этого слова	6	4
48	и того же	9	4
49	на этой почве	4	3
50	в противном случае	2	3
51	от того что	2	3
52	в таком случае	5	3
53	в настоящее время	6	3
54	не могут быть	3	3
55	ни в какой	2	3
56	в конце концов	3	3
57	сама по себе	2	3
58	и не в	3	3
59	и прежде всего	4	2
60	бы то ни	11	2
61	и то же	3	2
62	лишь с точки	3	2
63	и той же	2	2
64	и пр но	2	2
65	и тем же	2	2
66	то же слово	2	2
67	свое выражение в	2	2
68	а следовательно и	2	2
69	в широком смысле	2	2
70	в большинстве случаев	7	2
71	социального общения и	3	2
72	может быть и	8	2
73	и тот же	3	2
74	сводится к тому	2	2
75	в собственном смысле	2	2
76	собственном смысле слова	2	2
77	как мы знаем	6	2
78	ничего общего с	2	2
79	в том числе	3	2
80	одной и той	2	2
81	в узком смысле	4	2
82	один и тот	3	2
83	рано или поздно	2	2
84	одним и тем	2	2
85	отсюда следует что	5	2
86	можно сказать что	4	2
87	в той или	3	2
88	в ее целом	3	2
89	в данный момент	2	2
90	в двух направлениях	2	2
