N	2gram	Nazirov_Tv	NovoeSre
1	а не	9	17
2	и в	40	16
3	не может	9	16
4	во имя	3	15
5	и не	12	11
6	и есть	2	10
7	что в	17	9
8	жизни и	3	8
9	в том	13	8
10	он не	10	8
11	не будет	2	7
12	может быть	11	7
13	как и	16	7
14	в этом	11	7
15	культуры и	2	7
16	никогда не	13	6
17	ни в	2	6
18	не в	3	6
19	не знает	2	6
20	но это	10	6
21	с его	12	6
22	не только	16	5
23	в жизни	3	5
24	все это	14	5
25	в нем	4	5
26	с ее	3	5
27	в ней	2	5
28	xix века	13	5
29	не во	2	4
30	не имеет	2	4
31	прежде всего	10	4
32	не менее	8	4
33	не было	3	4
34	и потому	4	4
35	то что	9	4
36	о том	9	4
37	это не	9	4
38	потому что	10	4
39	и все	6	4
40	быть может	3	4
41	наше время	4	4
42	значит что	3	4
43	в мире	8	3
44	но и	10	3
45	к жизни	4	3
46	в наше	4	3
47	с другой	4	3
48	не значит	2	3
49	в ее	3	3
50	она не	2	3
51	к тому	2	3
52	в россии	5	3
53	жизни в	9	3
54	в своей	8	3
55	еще не	5	3
56	жизни не	2	3
57	в истории	2	3
58	человека и	6	3
59	дня и	2	3
60	как в	10	3
61	не есть	2	3
62	в духе	6	3
63	сказать что	3	3
64	во всех	2	3
65	не существует	3	3
66	стремится к	3	3
67	бога и	3	3
68	наряду с	6	3
69	не означает	4	3
70	в основе	3	3
71	зависит от	4	2
72	в себе	3	2
73	и должно	2	2
74	что она	5	2
75	как будто	5	2
76	и с	9	2
77	одна из	5	2
78	себя в	3	2
79	но не	7	2
80	что все	4	2
81	и от	8	2
82	не могли	2	2
83	роль в	2	2
84	xix век	2	2
85	сама жизнь	2	2
86	и это	2	2
87	хотя бы	5	2
88	всемирной истории	2	2
89	же как	3	2
90	свободы и	2	2
91	а в	10	2
92	все время	3	2
93	но в	11	2
94	том что	14	2
95	не к	2	2
96	и на	12	2
97	с этим	2	2
98	и что	2	2
99	ли это	2	2
100	все эти	3	2
101	мы не	3	2
102	на протяжении	3	2
103	вот почему	3	2
104	не имеют	4	2
105	стремление к	2	2
106	это и	4	2
107	времени в	13	2
108	у него	11	2
109	времени и	4	2
110	не знал	2	2
111	уже не	6	2
112	как это	2	2
113	другой стороны	2	2
114	так же	6	2
115	так и	5	2
116	ни к	2	2
117	могут быть	4	2
118	такой же	4	2
119	но она	2	2
120	в то	23	2
121	который в	4	2
122	познания и	2	2
123	хотя и	5	2
124	связана с	2	2
125	мысли и	5	2
126	с одной	2	2
127	духовной жизни	2	2
128	xviii века	2	2
129	место в	6	2
130	и даже	8	2
131	более не	4	2
132	сильнее и	2	2
133	вместе с	4	2
134	я не	5	2
