N	2gram	Medvedev_V	UchenyiS
1	и в	26	14
2	не только	26	10
3	а не	7	10
4	и не	20	8
5	прежде всего	13	8
6	то что	7	7
7	не может	17	7
8	вот почему	5	7
9	в этом	29	7
10	в искусстве	6	6
11	может быть	23	6
12	то же	10	5
13	художественного творчества	19	5
14	хотя бы	20	5
15	все это	13	5
16	в художественном	10	5
17	художественное произведение	7	5
18	в конечном	7	4
19	но и	10	4
20	в этой	4	4
21	конечном счете	5	4
22	что такое	2	4
23	с другой	11	4
24	в их	5	4
25	не о	2	3
26	у нас	3	3
27	в частности	12	3
28	не следует	8	3
29	это не	7	3
30	очевидно что	7	3
31	в своей	4	3
32	все же	6	3
33	как и	7	3
34	в то	6	3
35	но в	2	3
36	этой области	3	3
37	же время	5	3
38	и формы	2	3
39	к сожалению	2	3
40	было бы	8	3
41	в области	2	3
42	другой стороны	8	3
43	для него	9	3
44	в самом	4	2
45	в себе	6	2
46	что мы	2	2
47	и у	2	2
48	о чем	2	2
49	же самое	2	2
50	что он	4	2
51	крайней мере	2	2
52	таким образом	32	2
53	формы и	2	2
54	но не	2	2
55	и для	2	2
56	если бы	3	2
57	их и	4	2
58	противном случае	2	2
59	между тем	6	2
60	только в	8	2
61	одним из	5	2
62	художественном творчестве	6	2
63	что она	2	2
64	всех этих	3	2
65	даже и	3	2
66	что и	3	2
67	по крайней	2	2
68	могут быть	8	2
69	меньшей степени	2	2
70	не приходится	2	2
71	но даже	3	2
72	и через	2	2
73	не могут	10	2
74	сих пор	2	2
75	по себе	2	2
76	том что	8	2
77	а как	2	2
78	в его	15	2
79	сводится к	3	2
80	все они	2	2
81	в том	15	2
82	что все	4	2
83	этом отношении	14	2
84	художественного произведения	6	2
85	с его	4	2
86	как раз	4	2
87	должна быть	2	2
88	конце концов	2	2
89	а о	2	2
90	по существу	4	2
91	в противном	2	2
92	не в	6	2
93	думается что	6	2
94	бы и	6	2
95	в конце	3	2
96	в системе	2	2
97	говоря иначе	3	2
98	до сих	2	2
99	художественном произведении	4	2
100	не столько	2	2
