N	3gram	Nazirov_Tv	Literetu
1	в то же	19	21
2	то же время	18	21
3	в том что	8	21
4	по отношению к	3	12
5	в данном случае	2	11
6	в отличие от	2	11
7	не может быть	2	11
8	в конечном счете	4	10
9	о том что	6	10
10	с другой стороны	2	7
11	не только в	2	6
12	едва ли не	2	6
13	в русской литературе	2	5
14	тем не менее	2	5
15	в соответствии с	7	5
16	в связи с	2	5
17	и т п	4	3
18	во всяком случае	2	3
19	на самом деле	2	3
20	по крайней мере	4	3
21	особое место в	2	3
22	в самом деле	2	3
23	том же году	2	3
24	в том же	3	3
25	в одном из	2	3
26	в свою очередь	2	3
27	это прежде всего	3	2
28	это уже не	2	2
29	в этой связи	2	2
30	в xix веке	3	2
31	дело в том	4	2
32	не так как	2	2
