N	3gram	Bakhtin_Fr	Hudozhes
1	по отношению к	2	10
2	в том что	6	8
3	в то же	5	7
4	в отличие от	4	7
5	то же время	5	7
6	для того чтобы	2	5
7	той или иной	5	5
8	так и не	3	4
9	не может быть	5	4
10	с точки зрения	6	3
11	с одной стороны	2	3
12	в том числе	10	3
13	подобно тому как	2	3
14	можно сказать что	3	3
15	имеем в виду	2	3
16	и прежде всего	4	2
17	до известной степени	2	2
18	и в то	2	2
19	начало и конец	2	2
20	том числе и	7	2
21	в значительной степени	4	2
22	включает в себя	3	2
23	в основе своей	2	2
24	в той или	5	2
